pair_key,a_short,b_short,archive_a,archive_b,start_a_utc,start_b_utc,midpoint_delta_minutes,center_separation_deg,status,notes
APPLAUSE:115011 | fa13400,fa13400,APPLAUSE:115011,Harvard DASCH,Schmidtsches Spiegelteleskop (Hamburg),1954-02-05T00:41:44.799987563+00:00,1954-02-05T01:08:26+00:00,0.1866668666666666,16.386130614609435,negative_nine_tile_sample,Nine fixed Harvard tiles: 23 official DASCH detections; all reference-catalogued; zero unmatched Harvard sources.
APPLAUSE:13623 | bi05607,APPLAUSE:13623,bi05607,Lippert-Astrograph (Hamburg),Harvard DASCH,1952-08-14T20:51:12+00:00,1952-08-14T20:41:28.299988003+00:00,0.2716664666666666,34.5286924406838,parked_pixel_followup,True WCS overlap; no DR7 platephot at field centre.
APPLAUSE:12414 | APPLAUSE:139005,APPLAUSE:12414,APPLAUSE:139005,Lippert-Astrograph (Hamburg),Zeiss Double Astrograph,1951-09-01T21:23:08+00:00,1951-09-01T21:04:00+00:00,0.6166666666666667,2.066185774218204,parked_manual_astrometric_solve,High-overlap independent pair; Vatican plate 95875 has no DR4 source_calib; FITS exists but no published WCS.
APPLAUSE:13387 | bi05485,APPLAUSE:13387,bi05485,Lippert-Astrograph (Hamburg),Harvard DASCH,1951-10-24T18:19:40+00:00,1951-10-24T17:21:00.499982745+00:00,1.0916663666666666,37.68222444613895,rejected_spatial_false_positive,Live Harvard cutout: field centre plus 4 cardinal and 4 diagonal interior-edge probes all HTTP422; no solved-WCS overlap sampled.
APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,Zeiss Double Astrograph,Lippert-Astrograph (Hamburg),1951-09-19T19:59:00+00:00,1951-09-19T20:07:22+00:00,1.1166666666666667,4.349922337287497,negative_calibrated_catalogue,"At 10 arcsec due coarse Vatican astrometry, matches collapse to two Gaia stars; no non-Gaia match."
APPLAUSE:115048 | fa13405,fa13405,APPLAUSE:115048,Harvard DASCH,Schmidtsches Spiegelteleskop (Hamburg),1954-02-06T00:37:48.899999743+00:00,1954-02-06T01:07:30+00:00,1.1849999999999998,2.8706875956810087,negative_nine_tile_sample,Nine fixed Harvard tiles: 45 official DASCH detections; all reference-catalogued; zero unmatched. Same Harvard field as 115047.
APPLAUSE:12422 | APPLAUSE:139006,APPLAUSE:12422,APPLAUSE:139006,Lippert-Astrograph (Hamburg),Zeiss Double Astrograph,1951-09-01T22:03:01+00:00,1951-09-01T21:49:00+00:00,1.7333333333333334,2.066185774218204,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,Lippert-Astrograph (Hamburg),Zeiss Double Astrograph,1951-09-19T19:22:29+00:00,1951-09-19T19:17:00+00:00,1.7666666666666666,4.349922337287497,negative_calibrated_catalogue,Six <=3 arcsec matches collapse to one Gaia star repeated by Hamburg multi-exposure plate; no non-Gaia match.
APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,Zeiss Double Astrograph,Lippert-Astrograph (Hamburg),1951-09-19T19:38:00+00:00,1951-09-19T19:47:25+00:00,2.1666666666666665,4.349922337287497,negative_calibrated_catalogue,Six <=3 arcsec matches collapse to one Gaia star; no non-Gaia match.
APPLAUSE:115054 | fa13406,fa13406,APPLAUSE:115054,Harvard DASCH,Schmidtsches Spiegelteleskop (Hamburg),1954-02-06T01:37:39.099999256+00:00,1954-02-06T02:06:20+00:00,2.181666666666666,3.496198386726681,negative_catalogue_pixel_pending,Nine fixed Harvard tiles: zero official DASCH detections; Harvard pixel confirmation pending.
APPLAUSE:13390 | b75958,b75958,APPLAUSE:13390,Harvard DASCH,Lippert-Astrograph (Hamburg),1951-10-24T18:09:58.600012066+00:00,1951-10-24T18:34:37+00:00,2.3066664500000003,9.730294969471826,rejected_spatial_false_positive,Solved Harvard WCS does not intersect Hamburg field.
APPLAUSE:132097 | b76371,b76371,APPLAUSE:132097,Harvard DASCH,"Astrograph, Bamberg Northern Sky Patrol",1952-09-16T19:16:37.200009224+00:00,1952-09-16T19:13:00+00:00,2.3799998333333336,8.648872737864687,parked_pixel_followup,True WCS thin-strip overlap; AP calibrated edge sparse; no corroboration of one AP unmatched-looking source.
APPLAUSE:12404 | APPLAUSE:139004,APPLAUSE:12404,APPLAUSE:139004,Lippert-Astrograph (Hamburg),Zeiss Double Astrograph,1951-09-01T20:33:16+00:00,1951-09-01T20:18:00+00:00,2.4833333333333334,4.349872984569095,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
