legacy_id,unique_id,recno,poss,band,start,duration_s,ra,dec
POSS-I:1006:E,POSS-I:1006:E:rec674,674,1006,E,1954-03-07 07:33:00+00:00,2700.0,175.8504166666667,-6.804722222222222
POSS-I:1006:E,POSS-I:1006:E:rec796,796,1006,E,1954-03-07 09:29:00+00:00,2700.0,187.89458333333334,-18.800555555555555
POSS-I:1006:O,POSS-I:1006:O:rec674,674,1006,O,1954-03-07 08:23:00+00:00,720.0,175.8504166666667,-6.804722222222222
POSS-I:1006:O,POSS-I:1006:O:rec796,796,1006,O,1954-03-07 10:19:00+00:00,720.0,187.89458333333334,-18.800555555555555
POSS-I:1015:E,POSS-I:1015:E:rec666,666,1015,E,1954-03-28 03:12:00+00:00,2700.0,127.78666666666668,-6.486111111111112
POSS-I:1015:E,POSS-I:1015:E:rec728,728,1015,E,1954-03-28 04:20:00+00:00,2700.0,139.74208333333334,-12.61
POSS-I:1015:O,POSS-I:1015:O:rec666,666,1015,O,1954-03-28 04:02:00+00:00,720.0,127.78666666666668,-6.486111111111112
POSS-I:1015:O,POSS-I:1015:O:rec728,728,1015,O,1954-03-28 05:10:00+00:00,720.0,139.74208333333334,-12.61
POSS-I:1023:E,POSS-I:1023:E:rec675,675,1023,E,1954-04-02 06:37:00+00:00,2700.0,181.85833333333332,-6.807222222222222
POSS-I:1023:E,POSS-I:1023:E:rec799,799,1023,E,1954-04-02 08:38:00+00:00,2700.0,205.97708333333333,-18.72861111111111
POSS-I:1023:O,POSS-I:1023:O:rec675,675,1023,O,1954-04-02 07:27:00+00:00,720.0,181.85833333333332,-6.807222222222222
POSS-I:1023:O,POSS-I:1023:O:rec799,799,1023,O,1954-04-02 09:28:00+00:00,720.0,205.97708333333333,-18.72861111111111
POSS-I:1032:E,POSS-I:1032:E:rec263,263,1032,E,1954-04-04 04:47:00+00:00,2700.0,156.09708333333333,35.26555555555556
POSS-I:1032:E,POSS-I:1032:E:rec735,735,1032,E,1954-04-04 06:39:00+00:00,2700.0,181.86333333333334,-12.807222222222222
POSS-I:1032:O,POSS-I:1032:O:rec263,263,1032,O,1954-04-04 05:37:00+00:00,720.0,156.09708333333333,35.26555555555556
POSS-I:1032:O,POSS-I:1032:O:rec735,735,1032,O,1954-04-04 07:29:00+00:00,720.0,181.86333333333334,-12.807222222222222
POSS-I:1062:E,POSS-I:1062:E:rec681,681,1062,E,1954-05-23 06:09:00+00:00,2700.0,217.91000000000003,-6.643333333333333
