exposure_a,archive_a,site_a,start_a_utc,duration_a_s,end_a_utc,time_precision_a,ra_a_deg,dec_a_deg,fov_a_deg,access_a,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,end_b_utc,time_precision_b,ra_b_deg,dec_b_deg,fov_b_deg,access_b,midpoint_delta_minutes,center_separation_deg,classification,validation_needed,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b,_key,status,notes
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30 20:20:13.099994047+00:00,6000.0,1951-01-30 22:00:13.099994047+00:00,service_timestamp,110.37004991642574,-15.422992913911273,89.60784950226463,http://dc.g-vo.org/getproduct/dasch/q/bi05352,APPLAUSE:11788,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:13:52+00:00,120.0,1951-01-30 21:15:52+00:00,calibrated_ut,86.4218,9.05,5.0,https://www.plate-archive.org/,4.648333416666667,34.085490184381804,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,120.0,2.0,0.02,1.0,APPLAUSE:11788 | bi05352,negative_catalogue_pixel_pending,Nine fixed Harvard tiles: zero official DASCH detections; Harvard pixel confirmation pending.
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,Harvard DASCH,DASCH historical observing site unresolved,1951-01-30 20:20:13.099994047+00:00,6000.0,1951-01-30 22:00:13.099994047+00:00,service_timestamp,110.37004991642574,-15.422992913911273,89.60784950226463,http://dc.g-vo.org/getproduct/dasch/q/bi05352,APPLAUSE:11787,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:10:53+00:00,480.0,1951-01-30 21:18:53+00:00,calibrated_ut,86.4218,9.05,5.0,https://www.plate-archive.org/,4.665000083333334,34.085490184381804,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,480.0,8.0,0.08,1.0,APPLAUSE:11787 | bi05352,negative_catalogue_pixel_pending,Nine fixed Harvard tiles: zero official DASCH detections; Harvard pixel confirmation pending.
APPLAUSE:12404,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 20:33:16+00:00,30.0,1951-09-01 20:33:46+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,APPLAUSE:139004,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 20:18:00+00:00,2160.0,1951-09-01 20:54:00+00:00,calibrated_ut,298.9175,39.3308,5.0,https://www.plate-archive.org/,2.4833333333333334,4.349872984569095,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,1.0,0.013888888888888888,APPLAUSE:12404 | APPLAUSE:139004,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
APPLAUSE:139004,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 20:18:00+00:00,2160.0,1951-09-01 20:54:00+00:00,calibrated_ut,298.9175,39.3308,5.0,https://www.plate-archive.org/,APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 20:38:15+00:00,30.0,1951-09-01 20:38:45+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,2.5,4.349872984569095,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,0.013888888888888888,1.0,APPLAUSE:12405 | APPLAUSE:139004,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
APPLAUSE:12414,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 21:23:08+00:00,30.0,1951-09-01 21:23:38+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 21:04:00+00:00,2400.0,1951-09-01 21:44:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,0.6166666666666667,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,1.0,0.0125,APPLAUSE:12414 | APPLAUSE:139005,parked_manual_astrometric_solve,High-overlap independent pair; Vatican plate 95875 has no DR4 source_calib; FITS exists but no published WCS.
APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 21:04:00+00:00,2400.0,1951-09-01 21:44:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,APPLAUSE:12415,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 21:28:07+00:00,30.0,1951-09-01 21:28:37+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,4.366666666666666,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,0.0125,1.0,APPLAUSE:12415 | APPLAUSE:139005,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
APPLAUSE:12422,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 22:03:01+00:00,30.0,1951-09-01 22:03:31+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 21:49:00+00:00,1920.0,1951-09-01 22:21:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,1.7333333333333334,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,1.0,0.015625,APPLAUSE:12422 | APPLAUSE:139006,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01 21:49:00+00:00,1920.0,1951-09-01 22:21:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,APPLAUSE:12423,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01 22:08:01+00:00,30.0,1951-09-01 22:08:31+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,3.2666666666666666,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,0.015625,1.0,APPLAUSE:12423 | APPLAUSE:139006,parked_manual_astrometric_solve,1 Sep 1951 Hamburg/Vatican family: Hamburg plate has DR4 source_calib; corresponding Vatican plate 95874/95875/95876 has none. Manual astrometric solve/pixel comparison required.
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,Harvard DASCH,DASCH historical observing site unresolved,1951-09-06 19:05:57.899983439+00:00,7200.0,1951-09-06 21:05:57.899983439+00:00,service_timestamp,331.64883967684443,2.1600680002439963,90.40144111293112,http://dc.g-vo.org/getproduct/dasch/q/bi05459,APPLAUSE:12469,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-06 20:08:37+00:00,30.0,1951-09-06 20:09:07+00:00,calibrated_ut,301.6468,35.5584,5.0,https://www.plate-archive.org/,2.9016669333333334,43.45328036921136,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,0.004166666666666667,1.0,APPLAUSE:12469 | bi05459,negative_partial_overlap_catalogue_pixel_pending,Live Harvard cutout confirms partial east/south overlap; 3 points inside actual overlap returned zero official DASCH detections; pixel confirmation pending.
APPLAUSE:12563,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19 19:22:29+00:00,30.0,1951-09-19 19:22:59+00:00,calibrated_ut,301.6465,35.5583,5.0,https://www.plate-archive.org/,APPLAUSE:139010,Zeiss Double Astrograph,Vatican Observatory,1951-09-19 19:17:00+00:00,900.0,1951-09-19 19:32:00+00:00,calibrated_ut,298.9171,39.3307,5.0,https://www.plate-archive.org/,1.7666666666666666,4.349922337287497,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,30.0,0.5,1.0,0.03333333333333333,APPLAUSE:12563 | APPLAUSE:139010,negative_calibrated_catalogue,Six <=3 arcsec matches collapse to one Gaia star repeated by Hamburg multi-exposure plate; no non-Gaia match.
