launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0001,1951,1951-01-18,1951-01-18T20:14:00Z,minute,18 January 20:14,V-2,,V-2 No. 54,White Sands LC-33,GE / US Army,NRL,Suborbital,Cosmic Radiation / Solar UV / Solar X-Ray,18 January,Launch failure,"Project Hermes launch, Apogee: 1.61 kilometres (1.00 mi), very low thrust[18][19]: 446–447",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0002,1951,1951-01-22,1951-01-22T22:55:00Z,minute,22 January 22:55,Aerobee RTV-N-10,,A19,White Sands LC-35,US Navy,APL,Suborbital,Aeronomy,22 January,Successful,Apogee: 89 kilometres (55 mi)[19]: 287–288,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0003,1951,1951-01-25,1951-01-25T15:00:00Z,minute,25 January 15:00,Aerobee RTV-N-10,,A20,White Sands LC-35,US Navy,APL,Suborbital,Ozone Aeronomy,25 January,Successful,Apogee: 90 kilometres (56 mi)[19]: 289–290,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0004,1951,1951-01-29,,day,29 January,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,29 January,Successful,Carried dogs[2],https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0005,1951,1951-01-30,,day,30 January,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,30 January,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0006,1951,1951-01-31,,day,31 January,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,31 January,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0007,1951,1951-02-01,,day,1 February,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,1 February,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0008,1951,1951-02-02,,day,2 February,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,2 February,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0009,1951,1951-02-06,1951-02-06T17:20:00Z,minute,6 February 17:20,Aerobee RTV-N-10,,A21,White Sands LC-35,US Navy,APL,Suborbital,Photography,6 February,Successful,Apogee: 98 kilometres (61 mi)[19]: 291–292,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0010,1951,1951-03-09,1951-03-09T03:16:00Z,minute,9 March 03:16,V-2,,V-2 No. 57,White Sands LC-33,GE / US Army,Air Materiel Command,Suborbital,Solar X-Ray / Aeronomy / Ionospheric / Airglow,9 March,Launch failure,"Project Hermes launch, apogee: 3.1 kilometres (1.9 mi), explosions starting at 15.5 seconds destroyed the tail section[18][19]: 452–453",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0011,1951,1951-03-28,1951-03-28T23:14:00Z,minute,28 March 23:14,Aerobee RTV-A-1,,USAF 10,Holloman LC-A,US Air Force,AFCRL,Suborbital,Aeronomy,28 March,Successful,Apogee: 66 kilometres (41 mi)[19]: 64–65,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0012,1951,1951-04-12,1951-04-12T17:26:00Z,minute,12 April 17:26,Aerobee RTV-A-1,,USAF 11,Holloman LC-A,US Air Force,AFCRL / University of Colorado,Suborbital,Solar UV,12 April,Partial failure,"Apogee: 29 kilometres (18 mi), premature engine cutoff at 30.6 seconds[19]: 66–67",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0013,1951,1951-04-18,1951-04-18T18:39:00Z,minute,18 April 18:39,Aerobee RTV-A-1,,USAF 12,Holloman LC-A,US Air Force,AFCRL / WADC Aero-Medical Laboratory,Suborbital,Biological,18 April,Successful,"First biomedical Aerobee mission, carried monkey;[20] apogee: 61 kilometres (38 mi)[19]: 68–69",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0014,1951,1951-05-29,1951-05-29T19:46:00Z,minute,29 May 19:46,Aerobee RTV-A-1,,USAF 13,Holloman LC-A,US Air Force,AFCRL / Boston University,Suborbital,Ionospheric,29 May,Launch failure,Apogee: 3.7 kilometres (2.3 mi)[19]: 70–71,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0015,1951,1951-06-08,1951-06-08T00:11:00Z,minute,8 June 00:11,Aerobee RTV-A-1,,USAF 14,Holloman LC-A,US Air Force,AFCRL,Suborbital,Solar X-Ray / Aeronomy,8 June,Successful,Apogee: 89 kilometres (55 mi)[19]: 72–73,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0016,1951,1951-06-08,1951-06-08T01:18:00Z,minute,8 June 01:18,Aerobee XASR-SC-1,,SC 19,White Sands LC-35,US Army,USASC / University of Michigan,Suborbital,Aeronomy,8 June,Launch failure,"Apogee: 6.4 kilometres (4.0 mi), full burn but very low thrust[19]: 224–225",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0017,1951,1951-06-09,1951-06-09T06:11:00Z,minute,9 June 06:11,Aerobee XASR-SC-1,,SC 18,White Sands LC-35,US Army,USASC,Suborbital,Aeronomy,9 June,Successful,Apogee: 66.8 kilometres (41.5 mi)[19]: 221–223,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0018,1951,1951-06-13,,day,13 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,13 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0019,1951,1951-06-14,1951-06-14T13:48:00Z,minute,14 June 13:48,V-2,,V-2 No. 55,White Sands LC-33,GE / US Army,NRL,Suborbital,Cosmic Radiation / Solar UV / Solar X-Ray,14 June,Launch failure,"Project Hermes launch, apogee: 0 kilometres (0 mi), rocket exploded at ignition[18][19]: 449",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0020,1951,1951-06-14,,day,14 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,14 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0021,1951,1951-06-18,,day,18 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,18 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0022,1951,1951-06-19,,day,19 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,19 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0023,1951,1951-06-20,,day,20 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,20 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0024,1951,1951-06-22,,day,22 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,22 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0025,1951,1951-06-23,,day,23 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,23 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0026,1951,1951-06-24,,day,24 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0027,1951,1951-06-25,,day,25 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,25 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0028,1951,1951-06-26,,day,26 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,26 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0029,1951,1951-06-27,,day,27 June,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,27 June,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0030,1951,1951-06-28,1951-06-28T21:43:00Z,minute,28 June 21:43,V-2,,V-2 No. 52,White Sands LC-33,GE / US Army,Air Materiel Command,Suborbital,Solar UV / Solar X-Ray / Ionospheric / Photography / Aeronomy / Biological,28 June,Launch failure,"Final project Hermes launch, apogee: 5.8 kilometres (3.6 mi), explosion in tail section at 8 seconds, cutoff triggered at 22 seconds[18][19]: 441–443",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0031,1951,1951-07-02,,day,2 July,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,2 July,,"First of thirteen launches, 12 of which hit the target area.[17]: 97",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0032,1951,,,unknown,July,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,Same day,,"Second of thirteen launches, 12 of which hit the target area.[17]: 97",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0033,1951,1951-07-22,,day,22 July,R-1V,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biological,22 July,Successful,Maiden flight of the R-1V;[2] first ever space dog mission carried dogs Dezik and Zhegan which were recovered.[21]: 21,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0034,1951,1951-07-25,1951-07-25T16:26:00Z,minute,25 July 16:26,Aerobee RTV-A-1,,USAF 15,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,25 July,Successful,Apogee: 71.3 kilometres (44.3 mi)[19]: 74–75,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0035,1951,1951-07-27,,day,27 July,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,27 July,,"Last of thirteen launches, 12 of which hit the target area.[17]: 97",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0036,1951,1951-07-29,,day,29 July,R-1B,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biological,29 July,Launch failure,"Maiden flight of the R-1B; electrical failure, no payload recovery; carried dogs did not survive[2]",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
