priority_rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,end_a_utc,time_precision_a,ra_a_deg,dec_a_deg,fov_a_deg,access_a,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,end_b_utc,time_precision_b,ra_b_deg,dec_b_deg,fov_b_deg,access_b,midpoint_delta_minutes,center_separation_deg,classification,validation_needed,dasch_plate_id_a,resolved_location_a,telescope_a,latitude_a,longitude_a,wcs_solution_count_a,dasch_plate_id_b,resolved_location_b,telescope_b,latitude_b,longitude_b,wcs_solution_count_b,interval_overlap_s,interval_gap_s,approx_overlap_area_sqdeg,overlap_fraction_smaller_field,site_independence,priority_score,priority_reasons,validation_status
1,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05397,Harvard DASCH,Bloemfontein,1951-07-05T20:49:08.899984148+00:00,3600.0,1951-07-05T21:49:08.899984148+00:00,service_timestamp,282.11961156008584,0.0566696338354561,83.7805477625615,http://dc.g-vo.org/getproduct/dasch/q/bi05397,POSS-I:266:E,POSS-I Palomar,Palomar Observatory,1951-07-05T20:57:00+00:00,3000.0,1951-07-05T21:47:00+00:00,catalog_recorded_time_basis_verify,259.9533333333333,-6.147500000000001,6.5,https://archive.stsci.edu/dss/,2.851666916666667,22.97710029167943,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,bi05397,Bloemfontein,1.5 inch Ross (short focus),-29.0383,-26.4042,1,,,,,,0,3000.0,0.0,33.18307240354219,1.0,distinct_physical_sites_from_metadata,100,exposure_intervals_overlap;footprint_overlap_ge_25pct;POSS_replication_priority;physical_sites_resolved;time_basis_verification_required,metadata_screen_complete_pixel_validation_pending
2,POSS-I:969:E,POSS-I Palomar,Palomar Observatory,1954-01-27T19:40:00+00:00,2400.0,1954-01-27T20:20:00+00:00,catalog_recorded_time_basis_verify,73.86250000000001,0.2333333333333333,6.5,https://archive.stsci.edu/dss/,DASCH:ivo://org.gavo.dc/~?dasch/q/pz00145,Harvard DASCH,Bloemfontein,1954-01-27T18:03:08.300017802+00:00,14400.0,1954-01-27T22:03:08.300017802+00:00,service_timestamp,99.22147919083793,4.5745406198149885,63.02526196450601,http://dc.g-vo.org/getproduct/dasch/q/pz00145,3.1383336166666664,25.69949284673156,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,pz00145,Bloemfontein,3 inch Perkin-Zeiss Lens,-29.0383,-26.4042,1,2400.0,0.0,33.18307240354219,1.0,distinct_physical_sites_from_metadata,100,exposure_intervals_overlap;footprint_overlap_ge_25pct;POSS_replication_priority;physical_sites_resolved;time_basis_verification_required,metadata_screen_complete_pixel_validation_pending
3,POSS-I:999:O,POSS-I Palomar,Palomar Observatory,1954-03-05T21:12:00+00:00,720.0,1954-03-05T21:24:00+00:00,catalog_recorded_time_basis_verify,109.93375,5.732222222222222,6.5,https://archive.stsci.edu/dss/,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13455,Harvard DASCH,"Soledad, NM",1954-03-05T20:49:02.999997923+00:00,3540.0,1954-03-05T21:48:02.999997923+00:00,service_timestamp,134.42486310428947,27.831404633153536,90.09023829621133,http://dc.g-vo.org/getproduct/dasch/q/fa13455,0.54999995,32.07375766694772,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,fa13455,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,720.0,0.0,33.18307240354219,1.0,distinct_physical_sites_from_metadata,100,exposure_intervals_overlap;footprint_overlap_ge_25pct;POSS_replication_priority;physical_sites_resolved;time_basis_verification_required,metadata_screen_complete_pixel_validation_pending
4,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13434,Harvard DASCH,"Soledad, NM",1954-02-24T20:23:36.100010063+00:00,3600.0,1954-02-24T21:23:36.100010063+00:00,service_timestamp,111.41138057173664,28.238484478276675,90.36980702285418,http://dc.g-vo.org/getproduct/dasch/q/fa13434,POSS-I:984:O,POSS-I Palomar,Palomar Observatory,1954-02-24T20:50:00+00:00,720.0,1954-02-24T21:02:00+00:00,catalog_recorded_time_basis_verify,97.95708333333334,53.90638888888888,6.5,https://archive.stsci.edu/dss/,2.39833315,27.4918589770732,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,fa13434,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,,,,,,0,720.0,0.0,33.18307240354219,1.0,distinct_physical_sites_from_metadata,100,exposure_intervals_overlap;footprint_overlap_ge_25pct;POSS_replication_priority;physical_sites_resolved;time_basis_verification_required,metadata_screen_complete_pixel_validation_pending
5,DASCH:ivo://org.gavo.dc/~?dasch/q/am28320,Harvard DASCH,Bloemfontein,1952-04-18T21:22:33.700017653+00:00,4800.0,1952-04-18T22:42:33.700017653+00:00,service_timestamp,195.05791133809,-14.77006488511842,49.046272484771954,http://dc.g-vo.org/getproduct/dasch/q/am28320,POSS-I:495:O,POSS-I Palomar,Palomar Observatory,1952-04-18T21:59:00+00:00,600.0,1952-04-18T22:09:00+00:00,catalog_recorded_time_basis_verify,175.86333333333334,5.195555555555556,6.5,https://archive.stsci.edu/dss/,1.4383330333333333,27.58028029209698,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,am28320,Bloemfontein,1-inch,-29.0383,-26.4042,1,,,,,,0,600.0,0.0,0.26863544531954275,0.008095556736056386,distinct_physical_sites_from_metadata,85,exposure_intervals_overlap;partial_footprint_overlap;POSS_replication_priority;physical_sites_resolved;time_basis_verification_required,metadata_screen_complete_pixel_validation_pending
6,APPLAUSE:131892,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1952-02-14T18:40:00+00:00,3480.0,1952-02-14T19:38:00+00:00,calibrated_ut,84.3515,-2.9746,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,Harvard DASCH,Bloemfontein,1952-02-14T19:03:20.900007711+00:00,1200.0,1952-02-14T19:23:20.900007711+00:00,service_timestamp,78.8591097084925,-25.550897940586715,49.34463775927831,http://dc.g-vo.org/getproduct/dasch/q/ax04674,4.34833345,23.185848730687116,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,ax04674,Bloemfontein,3 inch Ross-Tessar Lens,-29.0383,-26.4042,1,1200.0,0.0,16.670136367347382,0.8490030735613784,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
7,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,Harvard DASCH,Bloemfontein,1951-01-30T20:20:13.099994047+00:00,6000.0,1951-01-30T22:00:13.099994047+00:00,service_timestamp,110.37004991642574,-15.422992913911273,89.60784950226463,http://dc.g-vo.org/getproduct/dasch/q/bi05352,APPLAUSE:11787,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T21:10:53+00:00,480.0,1951-01-30T21:18:53+00:00,calibrated_ut,86.4218,9.05,5.0,https://www.plate-archive.org/,4.665000083333334,34.085490184381804,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,bi05352,Bloemfontein,1.5 inch Ross (short focus),-29.0383,-26.4042,1,,,,,,0,480.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
8,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,"Soledad, NM",1954-02-05T00:41:44.799987563+00:00,3540.0,1954-02-05T01:40:44.799987563+00:00,service_timestamp,135.1667178348662,27.459190623548185,90.14890728456564,http://dc.g-vo.org/getproduct/dasch/q/fa13400,APPLAUSE:115011,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-05T01:08:26+00:00,360.0,1954-02-05T01:14:26+00:00,calibrated_ut,153.6471,27.4198,5.0,https://www.plate-archive.org/,0.1866668666666666,16.386130614609435,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,fa13400,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,,,,,,0,360.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
9,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,Harvard DASCH,"Soledad, NM",1954-02-06T01:37:39.099999256+00:00,3540.0,1954-02-06T02:36:39.099999256+00:00,service_timestamp,152.78373209477766,27.888070965156697,90.31024427576942,http://dc.g-vo.org/getproduct/dasch/q/fa13406,APPLAUSE:115054,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-06T02:06:20+00:00,360.0,1954-02-06T02:12:20+00:00,calibrated_ut,148.9065,27.2467,5.0,https://www.plate-archive.org/,2.181666666666666,3.496198386726681,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,fa13406,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,,,,,,0,360.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
10,APPLAUSE:115047,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-06T00:59:31+00:00,360.0,1954-02-06T01:05:31+00:00,calibrated_ut,135.6814,27.2329,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,"Soledad, NM",1954-02-06T00:37:48.899999743+00:00,3540.0,1954-02-06T01:36:48.899999743+00:00,service_timestamp,138.90726192713296,27.394828651698543,87.67704901000685,http://dc.g-vo.org/getproduct/dasch/q/fa13405,4.798333316666667,2.8706875956810087,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,fa13405,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,360.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
11,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,"Soledad, NM",1954-02-06T00:37:48.899999743+00:00,3540.0,1954-02-06T01:36:48.899999743+00:00,service_timestamp,138.90726192713296,27.394828651698543,87.67704901000685,http://dc.g-vo.org/getproduct/dasch/q/fa13405,APPLAUSE:115048,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-06T01:07:30+00:00,120.0,1954-02-06T01:09:30+00:00,calibrated_ut,135.6814,27.2329,5.0,https://www.plate-archive.org/,1.1849999999999998,2.8706875956810087,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,fa13405,"Soledad, NM",1.5-inch Ross-Xpress,32.304418,106.594162,1,,,,,,0,120.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
12,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,Harvard DASCH,Bloemfontein,1951-01-30T20:20:13.099994047+00:00,6000.0,1951-01-30T22:00:13.099994047+00:00,service_timestamp,110.37004991642574,-15.422992913911273,89.60784950226463,http://dc.g-vo.org/getproduct/dasch/q/bi05352,APPLAUSE:11788,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30T21:13:52+00:00,120.0,1951-01-30T21:15:52+00:00,calibrated_ut,86.4218,9.05,5.0,https://www.plate-archive.org/,4.648333416666667,34.085490184381804,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,bi05352,Bloemfontein,1.5 inch Ross (short focus),-29.0383,-26.4042,1,,,,,,0,120.0,0.0,19.634954084936208,1.0,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
13,APPLAUSE:12414,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:23:08+00:00,30.0,1951-09-01T21:23:38+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,2400.0,1951-09-01T21:44:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,0.6166666666666667,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,9.606085022998037,0.4892338928547714,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
14,APPLAUSE:12422,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:03:01+00:00,30.0,1951-09-01T22:03:31+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,1920.0,1951-09-01T22:21:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,1.7333333333333334,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,9.606085022998037,0.4892338928547714,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
15,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,Harvard DASCH,Bloemfontein,1951-09-06T19:05:57.899983439+00:00,7200.0,1951-09-06T21:05:57.899983439+00:00,service_timestamp,331.64883967684443,2.1600680002439963,90.40144111293112,http://dc.g-vo.org/getproduct/dasch/q/bi05459,APPLAUSE:12469,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-06T20:08:37+00:00,30.0,1951-09-06T20:09:07+00:00,calibrated_ut,301.6468,35.5584,5.0,https://www.plate-archive.org/,2.9016669333333334,43.45328036921136,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,bi05459,Bloemfontein,1.5 inch Ross (short focus),-29.0383,-26.4042,1,,,,,,0,30.0,0.0,17.73553107681512,0.9032631805552166,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
