exposure_id,recno,band,expected_region,identity_refresh_state,hhh_plate_id,fallback_hhh_url,requested_ra_deg,requested_dec_deg,extraction_state,returned_region,returned_plateid,fits_path,fits_sha256,fits_shape,error
POSS-I:1023:O:rec675,675,O,XO674,VALIDATED,A3Q3,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo674/xo674.hhh,181.8583333333333,-6.807222222222222,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:1023:O:rec799,799,O,XO799,VALIDATED,A3TI,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo799/xo799.hhh,205.97708333333333,-18.72861111111111,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:305:E:rec637,637,E,XE636,VALIDATED,0AW3,https://skyview.gsfc.nasa.gov/surveys/dss/xe636/xe636.hhh,313.8558333333333,0.5533333333333333,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:318:E:rec524,524,E,XE523,VALIDATED,090Q,https://skyview.gsfc.nasa.gov/surveys/dss/xe523/xe523.hhh,355.84,12.804166666666667,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:606:E:rec348,348,E,XE347,VALIDATED,06RF,https://skyview.gsfc.nasa.gov/surveys/dss/xe347/xe347.hhh,359.01625,31.078888888888887,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:779:E:rec404,404,E,XE403,VALIDATED,0733,https://skyview.gsfc.nasa.gov/surveys/dss/xe403/xe403.hhh,359.34666666666664,24.807222222222222,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:782:E:rec514,514,E,XE513,VALIDATED,08ZS,https://skyview.gsfc.nasa.gov/surveys/dss/xe513/xe513.hhh,295.6983333333333,12.34027777777778,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:872:O:rec148,148,O,XO147,VALIDATED,A3DH,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo147/xo147.hhh,343.5195833333333,54.77055555555555,EXACT_PLATE_EXTRACTION_FAILED,,,,,,"URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
POSS-I:875:E:rec521,521,E,XE520,VALIDATED,090N,https://skyview.gsfc.nasa.gov/surveys/dss/xe520/xe520.hhh,337.7875,12.745,EXACT_PLATE_CUTOUT_READY,XE520,090N,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_cutout_preflight_v028b\POSS-I_875_E_rec521\XE520_090N_preflight.fits,62795f4a8f1d472d7f2519881a95dfdb149902144e0c462d8fca721c3ea550d9,"[177, 177]",
POSS-I:876:E:rec239,239,E,XE238,VALIDATED,089H,https://skyview.gsfc.nasa.gov/surveys/dss/xe238/xe238.hhh,346.6804166666667,42.78444444444444,EXACT_PLATE_EXTRACTION_FAILED,,,,,,RemoteDisconnected: Remote end closed connection without response
