exposure_id,identity_status,finder_region,frozen_fits_path,resolved_fits_path,frozen_fits_sha256,actual_fits_sha256,fits_exists,fits_hash_match,pixel_execution_state,science_publication_cohorts,identity_stage_origin
POSS-I:1009:O:rec785,validated,XO785,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity_v028_extension\POSS-I_1009_O_rec785\A3T4_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity_v028_extension\POSS-I_1009_O_rec785\A3T4_identity.fits,614e3397f767771e8f12aa46f5f125657f3f16ee40e514a169298c37b8d887a2,614e3397f767771e8f12aa46f5f125657f3f16ee40e514a169298c37b8d887a2,True,True,FROZEN_PIXEL_READY,development_revalidation,v0.2.8_development_revalidation_extension
POSS-I:1023:O:rec675,validated,XO674,,,,,False,False,VALIDATED_BUT_NO_FROZEN_FITS_PATH,development_revalidation,v0.2.8_development_revalidation_extension
POSS-I:1023:O:rec799,validated,XO799,,,,,False,False,VALIDATED_BUT_NO_FROZEN_FITS_PATH,development_revalidation,v0.2.8_development_revalidation_extension
POSS-I:1024:E:rec742,validated,XE742,cache\poss1_identity\POSS-I_1024_E_rec742\0FGT_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_1024_E_rec742\0FGT_identity.fits,722cb1c44951398fe20fa86f6a6de77b2ede4af1335c596dcabff2937f0d6bd7,722cb1c44951398fe20fa86f6a6de77b2ede4af1335c596dcabff2937f0d6bd7,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:1102:E:rec140,validated,XE139,cache\poss1_identity\POSS-I_1102_E_rec140\07PT_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_1102_E_rec140\07PT_identity.fits,b794f46dea7db1eeb946cdddc4e79f0a98ae68e47a316f91f4ebc43016aa2493,b794f46dea7db1eeb946cdddc4e79f0a98ae68e47a316f91f4ebc43016aa2493,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:1103:E:rec397,validated,XE396,cache\poss1_identity\POSS-I_1103_E_rec397\072W_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_1103_E_rec397\072W_identity.fits,aa56bc3e4a26414d186eb085ea5885ffe0428e4c4e85525f41562c7b1da01ee1,aa56bc3e4a26414d186eb085ea5885ffe0428e4c4e85525f41562c7b1da01ee1,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:1405:O:rec616,validated,XO615,cache\poss1_identity\POSS-I_1405_O_rec616\A3OI_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_1405_O_rec616\A3OI_identity.fits,b2025288697732091b4b61dbce34c4f921462d5b86f1ad17f579b7a7536ad0a4,b2025288697732091b4b61dbce34c4f921462d5b86f1ad17f579b7a7536ad0a4,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:236:E:rec425,validated,XE424,cache\poss1_identity\POSS-I_236_E_rec425\08M9_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_236_E_rec425\08M9_identity.fits,7e321c8af374b9242372d0ab2e5689f0745739487fb28efeeb740f0bbeaf7afd,7e321c8af374b9242372d0ab2e5689f0745739487fb28efeeb740f0bbeaf7afd,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:236:O:rec425,validated,XO424,cache\poss1_identity\POSS-I_236_O_rec425\A34L_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_236_O_rec425\A34L_identity.fits,702a8392e2dd5f2bd6cc0b9cc6f925c6a9b7c05dd53d7768838d8a9ce3bb3071,702a8392e2dd5f2bd6cc0b9cc6f925c6a9b7c05dd53d7768838d8a9ce3bb3071,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:293:E:rec754,validated,XE754,cache\poss1_identity\POSS-I_293_E_rec754\0FHF_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_293_E_rec754\0FHF_identity.fits,c70859e517bfe2002bbefc81313d789d15ac3ab2d26dc52105e4bda519e82418,c70859e517bfe2002bbefc81313d789d15ac3ab2d26dc52105e4bda519e82418,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:297:O:rec635,validated,XO634,cache\poss1_identity\POSS-I_297_O_rec635\A3P0_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_297_O_rec635\A3P0_identity.fits,5839e995fccecf6b139128f85f4c9454c7e95b32e103bc18b9b3078d323a7ee5,5839e995fccecf6b139128f85f4c9454c7e95b32e103bc18b9b3078d323a7ee5,True,True,FROZEN_PIXEL_READY,development_revalidation;prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:305:E:rec637,validated,XE636,,,,,False,False,VALIDATED_BUT_NO_FROZEN_FITS_PATH,development_revalidation,v0.2.8_development_revalidation_extension
POSS-I:305:O:rec637,validated,XO636,cache\poss1_identity\POSS-I_305_O_rec637\A3P2_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_305_O_rec637\A3P2_identity.fits,41fd8cd85c2d08dc1c9944949dcab07068ce5c1a5b3e0512cb675aa5f2b0681e,41fd8cd85c2d08dc1c9944949dcab07068ce5c1a5b3e0512cb675aa5f2b0681e,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
POSS-I:306:E:rec703,validated,XE702,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity_v028_extension\POSS-I_306_E_rec703\0E2B_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity_v028_extension\POSS-I_306_E_rec703\0E2B_identity.fits,8b5734bf0752a943f7f709c38c352637ebf4f10ca5adb04155e3b50d1ab054a7,8b5734bf0752a943f7f709c38c352637ebf4f10ca5adb04155e3b50d1ab054a7,True,True,FROZEN_PIXEL_READY,development_revalidation,v0.2.8_development_revalidation_extension
POSS-I:313:O:rec523,validated,XO522,cache\poss1_identity\POSS-I_313_O_rec523\A3M1_identity.fits,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_313_O_rec523\A3M1_identity.fits,6b752611158854e2d83fdd9ab435c6ad7c9252fba313b53c13f39b3804785d35,6b752611158854e2d83fdd9ab435c6ad7c9252fba313b53c13f39b3804785d35,True,True,FROZEN_PIXEL_READY,prospective_production,v0.2.7_prospective_identity_freeze
