exposure_id,region,plate_id,raw_plate_directory,hhh_url,hhh_sha256,probe_tile_url,probe_tile_sha256,probe_tile_bytes,identity_sidecar
POSS-I:1023:O:rec675,XO674,A3Q3,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo674,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo674/xo674.hhh,5b8ff92a32b96db1362534f05347c108b85aee6f34302ae43d87180a4a557e3d,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo674/xo674.00,8fb0fb897ceb67696edaaa8e20a4e125e2a3eedeed639726c732f1990b688017,353280,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_1023_O_rec675\A3Q3_skyview_identity.provenance.json
POSS-I:1023:O:rec799,XO799,A3TI,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo799,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo799/xo799.hhh,6e03b32df346a5d3b6b8b36fb89d8b6c47862350f042ea4b13597852fc5d699d,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo799/xo799.00,6b87cd0e9cbf036310f7d893b6faed479e6cc493f85cfe698eb00da62bb389fb,205312,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_1023_O_rec799\A3TI_skyview_identity.provenance.json
POSS-I:305:E:rec637,XE636,0AW3,https://skyview.gsfc.nasa.gov/surveys/dss/xe636,https://skyview.gsfc.nasa.gov/surveys/dss/xe636/xe636.hhh,ade7c32cdde320df5d1406506e5000a5adf0c0a168f6b3c4bae84b80a62fdc76,https://skyview.gsfc.nasa.gov/surveys/dss/xe636/xe636.00,9b58a0fa1173dbcf3a00ddefdf9118d0896220a9eecb37ebd1071db0479226e0,72192,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_305_E_rec637\0AW3_skyview_identity.provenance.json
POSS-I:318:E:rec524,XE523,090Q,https://skyview.gsfc.nasa.gov/surveys/dss/xe523,https://skyview.gsfc.nasa.gov/surveys/dss/xe523/xe523.hhh,abd3152a04ff88302ffaf16d4a81c4ccf7dde0510d6482145923a751b0f2a2ed,https://skyview.gsfc.nasa.gov/surveys/dss/xe523/xe523.00,3adc207e899dd7450105de831b595e41b0c1b1136c652ab8c4a5a8d11310f904,67072,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_318_E_rec524\090Q_skyview_identity.provenance.json
POSS-I:606:E:rec348,XE347,06RF,https://skyview.gsfc.nasa.gov/surveys/dss/xe347,https://skyview.gsfc.nasa.gov/surveys/dss/xe347/xe347.hhh,80842d6ce3376ecf4e60a532eb6a2475fd80befbd86abf6d0bf60fcd62cbfdcb,https://skyview.gsfc.nasa.gov/surveys/dss/xe347/xe347.00,0d093e537c2a36cefade70e2411c5db1c9e98637891f0ee3bd8db3628f87c3c0,68096,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_606_E_rec348\06RF_skyview_identity.provenance.json
POSS-I:779:E:rec404,XE403,0733,https://skyview.gsfc.nasa.gov/surveys/dss/xe403,https://skyview.gsfc.nasa.gov/surveys/dss/xe403/xe403.hhh,d5233cb0165077262b17222cd16786cff5261e21c4ef60010f17ad70f9a379e9,https://skyview.gsfc.nasa.gov/surveys/dss/xe403/xe403.00,d9d471becc58381a43dc9f5333e5c5ec4b81f36b6f53dd095252d7550fb3651a,62976,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_779_E_rec404\0733_skyview_identity.provenance.json
POSS-I:782:E:rec514,XE513,08ZS,https://skyview.gsfc.nasa.gov/surveys/dss/xe513,https://skyview.gsfc.nasa.gov/surveys/dss/xe513/xe513.hhh,6125d03347bbfeabfc737e37fe8da01a307798b08658626aa1e44e877c27328a,https://skyview.gsfc.nasa.gov/surveys/dss/xe513/xe513.00,0cc4f5551a92d823299d5ea0e5e904cf4df05bd728c599b5010afe8daa05bf7e,31744,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_782_E_rec514\08ZS_skyview_identity.provenance.json
POSS-I:872:O:rec148,XO147,A3DH,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo147,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo147/xo147.hhh,9fc04a8dffa65c7632d8e656f3dbb8e86127953d1a77eff00177e3156f49272b,https://skyview.gsfc.nasa.gov/surveys/dss2/xo/xo147/xo147.00,ccf4ab17ca40a1df95febd1b71df2b5200791eb4350816bdaeac44b7f17674b3,292864,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_872_O_rec148\A3DH_skyview_identity.provenance.json
POSS-I:875:E:rec521,XE520,090N,https://skyview.gsfc.nasa.gov/surveys/dss/xe520,https://skyview.gsfc.nasa.gov/surveys/dss/xe520/xe520.hhh,2f0adb4ca1823cfde97af89daec51ceea9d795d39cf60ea47ed73a8dbc3fa326,https://skyview.gsfc.nasa.gov/surveys/dss/xe520/xe520.00,6af6478fa2608a6217b24ffc0035b085495d4ecec262ce9434688bd56ad44eef,69120,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_875_E_rec521\090N_skyview_identity.provenance.json
POSS-I:876:E:rec239,XE238,089H,https://skyview.gsfc.nasa.gov/surveys/dss/xe238,https://skyview.gsfc.nasa.gov/surveys/dss/xe238/xe238.hhh,b063fff81719c1f00d8d831383134fb7d996e59b8edd3dc26789509b2c505d9d,https://skyview.gsfc.nasa.gov/surveys/dss/xe238/xe238.00,9a83fbf804635b4d77c769baf9a701d21776127e04d348011c6d21695b4f10e5,64512,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_exact_plate_identity_refresh_v028\POSS-I_876_E_rec239\089H_skyview_identity.provenance.json
