artifact_path,origin_class,bytes,sha256,linked_exposure_ids,link_reasons,category,recommended_action,header_REGION,header_PLTLABEL,header_PLATEID,header_DATE_OBS,header_OBJECT,header_CRVAL1,header_CRVAL2,header_error
cache/gavo/bi05607/40095480011876.fits,legacy_or_other,1399680,e593c06650d0f36a5eb8f72c0d517c39889c1f1f7f685d2bb6320eb0db843fb3,,,UNLINKED_PIXEL_ARTIFACT,HOLD_UNTIL_PROVENANCE_LINKED,,,,,,296.768192555752,26.4625615805434,
cache/gavo/bi05607/40095480193794.fits,legacy_or_other,1399680,492ecc24075fd01ec61eddd86a80badc6675facf729edb17a00d0da14faa6474,,,UNLINKED_PIXEL_ARTIFACT,HOLD_UNTIL_PROVENANCE_LINKED,,,,,,292.272901474479,33.5321554871142,
cache/poss1_identity/POSS-I_1024_E_rec742/0FGT_identity.fits,identity_cache,622080,722cb1c44951398fe20fa86f6a6de77b2ede4af1335c596dcabff2937f0d6bd7,POSS-I:1024:E:rec742,composite_filename_identity:POSS-I:1024:E:rec742;exact_frozen_fits_sha:POSS-I:1024:E:rec742;header_region:XE742;unique_header_alias:XE742,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XE742,E1025,0FGT,1954-04-01T09:75:00,data,223.979424,-12.587162,
cache/poss1_identity/POSS-I_1102_E_rec140/07PT_identity.fits,identity_cache,622080,b794f46dea7db1eeb946cdddc4e79f0a98ae68e47a316f91f4ebc43016aa2493,POSS-I:1102:E:rec140,composite_filename_identity:POSS-I:1102:E:rec140;exact_frozen_fits_sha:POSS-I:1102:E:rec140;header_region:XE139;unique_header_alias:XE139,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XE139,E1102,07PT,1954-06-28T07:17:00,data,266.741647,53.954902,
cache/poss1_identity/POSS-I_1103_E_rec397/072W_identity.fits,identity_cache,622080,aa56bc3e4a26414d186eb085ea5885ffe0428e4c4e85525f41562c7b1da01ee1,POSS-I:1103:E:rec397,composite_filename_identity:POSS-I:1103:E:rec397;exact_frozen_fits_sha:POSS-I:1103:E:rec397;header_region:XE396;unique_header_alias:XE396,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XE396,E1103,072W,1954-06-28T09:18:00,data,313.586298,24.547222,
cache/poss1_identity/POSS-I_1405_O_rec616/A3OI_identity.fits,identity_cache,1650240,b2025288697732091b4b61dbce34c4f921462d5b86f1ad17f579b7a7536ad0a4,POSS-I:1405:O:rec616,composite_filename_identity:POSS-I:1405:O:rec616;exact_frozen_fits_sha:POSS-I:1405:O:rec616;header_region:XO615;unique_header_alias:XO615,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XO615,O1405,A3OI,1955-04-20T05:87:00,data,187.857959,-0.801292,
cache/poss1_identity/POSS-I_236_E_rec425/08M9_identity.fits,identity_cache,622080,7e321c8af374b9242372d0ab2e5689f0745739487fb28efeeb740f0bbeaf7afd,POSS-I:236:E:rec425,composite_filename_identity:POSS-I:236:E:rec425;exact_frozen_fits_sha:POSS-I:236:E:rec425;header_region:XE424;unique_header_alias:XE424,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XE424,E236,08M9,1951-02-03T05:90:00,data,122.086935,17.575202,
cache/poss1_identity/POSS-I_236_O_rec425/A34L_identity.fits,identity_cache,1650240,702a8392e2dd5f2bd6cc0b9cc6f925c6a9b7c05dd53d7768838d8a9ce3bb3071,POSS-I:236:O:rec425,composite_filename_identity:POSS-I:236:O:rec425;exact_frozen_fits_sha:POSS-I:236:O:rec425;header_region:XO424;unique_header_alias:XO424,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XO424,O236,A34L,1951-02-03T06:82:00,data,122.086565,17.575517,
cache/poss1_identity/POSS-I_293_E_rec754/0FHF_identity.fits,identity_cache,622080,c70859e517bfe2002bbefc81313d789d15ac3ab2d26dc52105e4bda519e82418,POSS-I:293:E:rec754,composite_filename_identity:POSS-I:293:E:rec754;exact_frozen_fits_sha:POSS-I:293:E:rec754;header_region:XE754;unique_header_alias:XE754,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XE754,E294,0FHF,1951-07-29T07:15:00,data,296.005759,-11.653342,
cache/poss1_identity/POSS-I_297_O_rec635/A3P0_identity.fits,identity_cache,1650240,5839e995fccecf6b139128f85f4c9454c7e95b32e103bc18b9b3078d323a7ee5,POSS-I:297:O:rec635,composite_filename_identity:POSS-I:297:O:rec635;exact_frozen_fits_sha:POSS-I:297:O:rec635;header_region:XO634;unique_header_alias:XO634,EXACT_FROZEN_PIXEL_HASH_MATCH,PIXEL_REUSE_CANDIDATE_DETECTOR_RESULT_STILL_NEEDS_METHOD_PROVENANCE,XO634,O297,A3P0,1951-07-30T07:43:00,data,301.855865,0.419865,
