exposure_id,expected_region,identity_status,pixel_state,pixel_path,pixel_sha256,header_region,header_plateid,header_pltlabel,shape_json,resolution_source
POSS-I:1023:O:rec675,XO674,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:1023:O:rec799,XO799,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:305:E:rec637,XE636,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:318:E:rec524,XE523,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:606:E:rec348,XE347,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:779:E:rec404,XE403,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:782:E:rec514,XE513,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:872:O:rec148,XO147,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:875:E:rec521,XE520,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
POSS-I:876:E:rec239,XE238,validated,VALIDATED_BUT_NO_USABLE_FITS_AFTER_REPAIR,,,,,,,
