canonical_order,legacy_rank,pair_key,poss_exposure_id,poss_region,dasch_plate_id,overlap_start_utc,overlap_end_utc,actual_overlap_s,old_true_wcs_intersection,old_true_wcs_overlap_fraction,pair_execution_state,geometry_state,geometry_error,poss_wcs_source,poss_raw_plate_directory,poss_grid_sha256,dasch_metadata_sha256,dasch_solution_number,dasch_solution_input_tag,dasch_number_of_wcs_solutions,dasch_pv_coefficients,dasch_rotation_delta,dasch_final_width_bin16,dasch_final_height_bin16,dasch_midpoint_delta_s,dasch_duration_delta_s,sample_points_inside,sample_points_total,boundary_points_inside,boundary_points_total,all_sample_points_inside,all_boundary_points_inside,minimum_inside_edge_margin_bin16_px,maximum_tpv_roundtrip_arcsec
1,1.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437 | POSS-I:413:E:rec297,POSS-I:413:E:rec297,XE296,ai43437,1951-11-05T07:00:59.999999+00:00,1951-11-05T07:58:59.999999+00:00,3480.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,11857b0e4847b7419c0c8b03fb2bb3307f10de4921da597463f105d08a14f01c,6af4951ff6c51aa32acf6357736620de46be43797756f9305cb23a5ae3bd3921,0,,1,56,0,1088,1377,1e-06,0.0,4225,4225,256,256,True,True,71.31827350034018,4.918860820674432e-09
2,21.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244 | POSS-I:985:E:rec726,POSS-I:985:E:rec726,XE726,ai44244,1954-02-25T06:14:00+00:00,1954-02-25T06:54:00+00:00,2400.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,25c9cdc35cfdaf09cad6e6029a7639f0318b483b460f2769cbc77f27ee8935bb,2a90595f3d3f09d6e5308b6edc5d9279bd3996c3366d3c371d84b9e0c75332a6,0,,1,42,0,1085,1377,1e-06,0.0,4225,4225,256,256,True,True,62.13814956976216,4.138880123087279e-09
3,47.0,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840 | POSS-I:533:O:rec187,POSS-I:533:O:rec187,XO186,fa12840,1952-07-20T09:29:00+00:00,1952-07-20T09:39:00+00:00,600.000000000,True,0.2479,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,NO_SAMPLED_INTERSECTION_REQUIRES_REVIEW,,frozen_fits_complete_dss_polynomial,,82b6c42e2f281f6569561f8d679ff34db6eebd61c15126665227da315fc5daeb,869284cefa9f8f6f77be05cad57b91efaf04275273146799f83d92def65ce35a,0,,1,42,0,1088,1377,2e-06,0.0,0,4225,0,256,False,False,,9.978121808209375e-09
4,23.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304 | POSS-I:1023:O:rec675,POSS-I:1023:O:rec675,XO674,ai44304,1954-04-02T07:27:00+00:00,1954-04-02T07:39:00+00:00,720.000000000,True,1.0,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,b165b8c7c876c380587ffe6ab4328a67b7ef97f3d222a89a6aa908b0b90c7fa8,9879c49036b594dfeeac43704e50b980d8eac708858064c773c46ba290982e78,0,,1,30,0,1088,1377,1.1e-05,0.0,4225,4225,256,256,True,True,56.233689327623225,9.38483587516711e-09
5,2.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330 | POSS-I:368:E:rec192,POSS-I:368:E:rec192,XE191,ai43330,1951-09-10T08:01:59.999982+00:00,1951-09-10T08:59:59.999982+00:00,3480.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,0ef67938763b2d1144ccd66a7fa43b833635cb5bb57413eaa447ae0cb64336df,017a3bf5df5205ad59726394cf8c09edf1c2cfc5b7c85d14ffcb24a4733f7ae3,0,,1,42,0,1085,1377,1.8e-05,0.0,4225,4225,256,256,True,True,112.37601831594702,9.190527541532481e-09
8,4.0,POSS-I:320:E:rec463 | DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,POSS-I:320:E:rec463,XE462,ka02524,1951-08-13T09:08:00+00:00,1951-08-13T09:58:00+00:00,3000.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,f4e40e78cf98bfb603d8ee3f1f2f3dd9b16d66b526e64bf6da52b7ed293635e5,8db1791e018821d106634d645adb36e7ff58ea650026fbb752870fd52a80b710,0,,1,30,0,1085,1377,0.0,0.0,4225,4225,256,256,True,True,280.77723910242344,7.467960315153183e-09
9,41.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474 | POSS-I:305:E:rec637,POSS-I:305:E:rec637,XE636,ka02474,1951-08-06T08:00:59.999998+00:00,1951-08-06T08:29:59.999998+00:00,1740.000000000,True,1.0,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH,PARTIAL_COMMON_FOOTPRINT_REQUIRES_EXACT_BOUNDARY,,frozen_fits_complete_dss_polynomial,,bfd4a64b71ab421735199cb61c2c93d9bc2d98ea980e4b746649b45893ea0540,52f10ed11dbbb93212133250bd45ca1326bab2182ac13656ff78ce00eda118b2,0,,1,30,0,1088,1377,2e-06,0.0,907,4225,91,256,False,False,0.017935253312032273,1.1716998503634036e-08
11,15.0,POSS-I:779:E:rec404 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,POSS-I:779:E:rec404,XE403,fa13177,1953-08-11T10:11:00+00:00,1953-08-11T10:56:00+00:00,2700.000000000,True,1.0,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,b6a4692479b691729aa8690cc1b02da086507e6f19864cc7d04104f61abec5df,727ff65d210ade0f2a3803fc5c7796ce584cfc70342acdd473c9644c5ee759bd,0,,1,42,0,1085,1377,1.7e-05,0.0,4225,4225,256,256,True,True,244.67121831451095,5.451343742529035e-09
12,33.0,POSS-I:372:O:rec455 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,POSS-I:372:O:rec455,XO454,ai43336,1951-09-21T04:25:00+00:00,1951-09-21T04:35:00+00:00,600.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,16de7d03d82cba1c6317c7dffb4a99102e6a19e044139cead83a11ff65957f07,85084d02854c53609a04685da7cf1efed43a6c8b66ca92f20fb29f4aad31ce56,0,,1,42,0,1088,1377,4e-06,0.0,4225,4225,256,256,True,True,65.64909555981353,1.44220028575818e-09
13,34.0,POSS-I:313:O:rec523 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,POSS-I:313:O:rec523,XO522,ai43246,1951-08-08T08:26:00+00:00,1951-08-08T08:36:00+00:00,600.000000000,True,1.0,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING,FULL_POSS_FOOTPRINT_DENSELY_SAMPLED_INSIDE_DASCH,,frozen_fits_complete_dss_polynomial,,912bfcb09d82686d68fe34ea6a2ae54db6fa981e91ec9fbf2105f352ec453d40,85f4285c57eb9bf03002f5dfd845511da3276baad23fc87db174b83b1ad1393d,0,,1,30,0,1088,1377,1.9e-05,0.0,4225,4225,256,256,True,True,413.1595899952689,4.8032736799462034e-09
