canonical_order,legacy_rank,pair_key,publication_cohort,poss_exposure_id,poss_side,poss_region,poss_fits_path,poss_fits_sha256,partner_exposure,partner_dasch_plate_id,true_wcs_intersection,true_wcs_overlap_fraction,overlap_start_utc,overlap_end_utc,actual_overlap_s,pair_execution_state
1,1.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437 | POSS-I:413:E:rec297,prospective_production,POSS-I:413:E:rec297,B,XE296,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_413_E_rec297\06S2_identity.fits,6e8ca42e82804615316845436c934d0b184a5deddeeee9ab0c6951736088fa16,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437,ai43437,True,1.0,1951-11-05T07:00:59.999999+00:00,1951-11-05T07:58:59.999999+00:00,3480.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
2,21.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244 | POSS-I:985:E:rec726,prospective_production,POSS-I:985:E:rec726,B,XE726,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_985_E_rec726\0EGP_identity.fits,bcf76fa980418182235d60223de9ea1728f799a42e84677bdfb035fb043bd41f,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244,ai44244,True,1.0,1954-02-25T06:14:00+00:00,1954-02-25T06:54:00+00:00,2400.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
3,47.0,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840 | POSS-I:533:O:rec187,prospective_production,POSS-I:533:O:rec187,B,XO186,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_533_O_rec187\A31G_identity.fits,fb036e353879a90405ad29879c36fc49d46cb68260beace9033f88dfc3f62dae,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840,fa12840,True,0.2479,1952-07-20T09:29:00+00:00,1952-07-20T09:39:00+00:00,600.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
4,23.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304 | POSS-I:1023:O:rec675,development_revalidation,POSS-I:1023:O:rec675,B,XO674,,,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304,ai44304,True,1.0,1954-04-02T07:27:00+00:00,1954-04-02T07:39:00+00:00,720.000000000,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH
5,2.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330 | POSS-I:368:E:rec192,prospective_production,POSS-I:368:E:rec192,B,XE191,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_368_E_rec192\07WI_identity.fits,71aa157f109fb660366ada78be03600b2b2227a41f54e158db014c4777ce49b9,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330,ai43330,True,1.0,1951-09-10T08:01:59.999982+00:00,1951-09-10T08:59:59.999982+00:00,3480.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
8,4.0,POSS-I:320:E:rec463 | DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,prospective_production,POSS-I:320:E:rec463,A,XE462,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_320_E_rec463\08RI_identity.fits,43a5a53dc38c38d2f10058f0c45bc71496c98fb5fd3f41ef3cfe775ffa3cc157,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,ka02524,True,1.0,1951-08-13T09:08:00+00:00,1951-08-13T09:58:00+00:00,3000.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
9,41.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474 | POSS-I:305:E:rec637,development_revalidation,POSS-I:305:E:rec637,B,XE636,,,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474,ka02474,True,1.0,1951-08-06T08:00:59.999998+00:00,1951-08-06T08:29:59.999998+00:00,1740.000000000,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH
11,15.0,POSS-I:779:E:rec404 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,development_revalidation,POSS-I:779:E:rec404,A,XE403,,,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,fa13177,True,1.0,1953-08-11T10:11:00+00:00,1953-08-11T10:56:00+00:00,2700.000000000,POSS_PIXEL_REPAIR_REQUIRED:VALIDATED_BUT_NO_FROZEN_FITS_PATH
12,33.0,POSS-I:372:O:rec455 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,prospective_production,POSS-I:372:O:rec455,A,XO454,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_372_O_rec455\A3K9_identity.fits,cfc5bd58dca2f0bcda8c33f09abcb391bc9f568af2f49163a535989bc47ef2d2,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,ai43336,True,1.0,1951-09-21T04:25:00+00:00,1951-09-21T04:35:00+00:00,600.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
13,34.0,POSS-I:313:O:rec523 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,prospective_production,POSS-I:313:O:rec523,A,XO522,C:\Dev\Transients\historical_transient_laptop_pipeline_v0.2.0_publication\transient_laptop_pipeline_v0.2.0\cache\poss1_identity\POSS-I_313_O_rec523\A3M1_identity.fits,6b752611158854e2d83fdd9ab435c6ad7c9252fba313b53c13f39b3804785d35,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,ai43246,True,1.0,1951-08-08T08:26:00+00:00,1951-08-08T08:36:00+00:00,600.000000000,POSS_PIXEL_READY_PARTNER_PIXEL_WORK_PENDING
