canonical_order,pair_set,legacy_rank,pair_key,exposure_a,archive_a,site_a,start_a_utc,end_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,end_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b,center_separation_deg,approx_overlap_fraction_smaller,true_wcs_overlap_fraction,true_wcs_intersection,saved_status,saved_notes,id_integrity,pre_freeze_touched,pre_freeze_reason,publication_cohort,production_action,identity_repair_original_publication_cohort
4,POSS47,23.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304 | POSS-I:1023:O:rec675,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304,Harvard DASCH,DASCH unresolved,1954-04-02T07:02:59.999989061+00:00,1954-04-02T08:02:59.999989061+00:00,3600.0,159.57471173635415,20.49822649994841,91.64297143871708,POSS-I:1023:O:rec675,POSS-I Palomar,Palomar Observatory,1954-04-02T07:27:00+00:00,1954-04-02T07:39:00+00:00,720.0,181.8583333333333,-6.807222222222222,6.5,1.666666666666667e-07,720.0,12.0,0.2,1.0,35.00384797186645,1.0,1.0,True,,,unique_recno_resolved,True,exploratory complete 9/9 previously,identity_repair_v028,rerun_or_complete_under_protocol_v1,development_revalidation
9,POSS47,41.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474 | POSS-I:305:E:rec637,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474,Harvard DASCH,DASCH unresolved,1951-08-06T08:00:59.999998515+00:00,1951-08-06T08:29:59.999998515+00:00,1740.0,327.8073380183154,35.959453681479324,81.06425817681617,POSS-I:305:E:rec637,POSS-I Palomar,Palomar Observatory,1951-08-06T07:51:00+00:00,1951-08-06T08:41:00+00:00,3000.0,313.8558333333333,0.5533333333333333,6.5,0.5000000166666667,1740.0,29.0,1.0,0.58,37.70324712623969,0.9714837549923588,1.0,True,,,unique_recno_resolved,True,exploratory partial,identity_repair_v028,rerun_or_complete_under_protocol_v1,development_revalidation
11,POSS47,15.0,POSS-I:779:E:rec404 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,POSS-I:779:E:rec404,POSS-I Palomar,Palomar Observatory,1953-08-11T10:11:00+00:00,1953-08-11T10:56:00+00:00,2700.0,359.34666666666664,24.807222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,Harvard DASCH,DASCH unresolved,1953-08-11T10:04:59.999983792+00:00,1953-08-11T11:03:59.999983792+00:00,3540.0,3.3834026138671334,0.9176081178112014,89.84866992551851,0.9999997166666666,2700.0,45.0,1.0,0.7627118644067796,24.206205660996822,1.0,1.0,True,,,unique_recno_resolved,True,exploratory partial; identity/WCS correction work,identity_repair_v028,rerun_or_complete_under_protocol_v1,development_revalidation
18,POSS47,24.0,POSS-I:872:O:rec148 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29T04:27:00+00:00,1953-10-29T04:39:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,Harvard DASCH,DASCH unresolved,1953-10-29T04:04:59.999983792+00:00,1953-10-29T05:03:59.999983792+00:00,3540.0,351.44363592146755,32.884932527491536,90.22633835185115,1.4999997166666668,720.0,12.0,1.0,0.2033898305084746,22.585949586441306,1.0,1.0,True,,,unique_recno_resolved,False,,identity_repair_v028,process_under_protocol_v1,prospective_production
21,POSS47,25.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306 | POSS-I:1023:O:rec799,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306,Harvard DASCH,DASCH unresolved,1954-04-02T09:03:00.000004360+00:00,1954-04-02T10:02:00.000004360+00:00,3540.0,190.7498314054962,19.245989624898293,89.97230392710031,POSS-I:1023:O:rec799,POSS-I Palomar,Palomar Observatory,1954-04-02T09:28:00+00:00,1954-04-02T09:40:00+00:00,720.0,205.97708333333333,-18.72861111111111,6.5,1.4999999166666669,720.0,12.0,0.2033898305084746,1.0,40.80899208643984,1.0,1.0,True,,,unique_recno_resolved,True,exploratory result invalidated; clean rec799 rerun required,identity_repair_v028,rerun_or_complete_under_protocol_v1,development_revalidation
24,POSS47,27.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088 | POSS-I:872:O:rec148,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088,Harvard DASCH,DASCH unresolved,1953-10-29T04:02:59.999994720+00:00,1953-10-29T04:59:59.999994720+00:00,3420.0,358.7816980847031,24.03324103313265,91.59320470304624,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29T04:27:00+00:00,1953-10-29T04:39:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,1.5000000833333331,720.0,12.0,0.2105263157894736,1.0,32.76062533354958,1.0,1.0,True,,,unique_recno_resolved,False,,identity_repair_v028,process_under_protocol_v1,prospective_production
28,POSS47,16.0,POSS-I:782:E:rec514 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,POSS-I:782:E:rec514,POSS-I Palomar,Palomar Observatory,1953-08-13T06:10:00+00:00,1953-08-13T06:55:00+00:00,2700.0,295.6983333333333,12.34027777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,Harvard DASCH,DASCH unresolved,1953-08-13T06:04:59.999997207+00:00,1953-08-13T07:03:59.999997207+00:00,3540.0,306.20320856448984,0.6186811002936122,90.24375322550516,1.99999995,2700.0,45.0,1.0,0.7627118644067796,15.6825957105648,1.0,1.0,True,,,unique_recno_resolved,False,,identity_repair_v028,process_under_protocol_v1,prospective_production
29,POSS47,17.0,POSS-I:876:E:rec239 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,POSS-I:876:E:rec239,POSS-I Palomar,Palomar Observatory,1953-10-31T04:40:00+00:00,1953-10-31T05:25:00+00:00,2700.0,346.6804166666667,42.78444444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,Harvard DASCH,DASCH unresolved,1953-10-31T04:34:59.999997207+00:00,1953-10-31T05:33:59.999997207+00:00,3540.0,1.2580457758326131,33.62761288676103,90.50441874448256,1.99999995,2700.0,45.0,1.0,0.7627118644067796,14.628489303864802,1.0,1.0,True,,,unique_recno_resolved,False,,identity_repair_v028,process_under_protocol_v1,prospective_production
55,POSS47,3.0,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12998 | POSS-I:606:E:rec348,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12998,Harvard DASCH,DASCH unresolved,1952-09-18T07:00:00.000005446+00:00,1952-09-18T07:57:00.000005446+00:00,3420.0,356.7035413078454,1.8578125249869584,90.6036476403506,POSS-I:606:E:rec348,POSS-I Palomar,Palomar Observatory,1952-09-18T07:02:00+00:00,1952-09-18T08:02:00+00:00,3600.0,359.01625,31.078888888888887,6.5,3.4999999,3300.000005446,55.00000009076667,0.964912282294152,0.9166666681794444,29.30280491233526,1.0,1.0,True,,,unique_recno_resolved,True,exploratory complete 9/9 previously,identity_repair_v028,rerun_or_complete_under_protocol_v1,development_revalidation
61,POSS47,20.0,POSS-I:875:E:rec521 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai44092,POSS-I:875:E:rec521,POSS-I Palomar,Palomar Observatory,1953-10-31T03:31:00+00:00,1953-10-31T04:16:00+00:00,2700.0,337.7875,12.745,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44092,Harvard DASCH,DASCH unresolved,1953-10-31T03:04:59.999995323+00:00,1953-10-31T04:49:59.999995323+00:00,6300.0,347.18851646480823,23.590021085563325,91.63837794945894,3.999999916666667,2700.0,45.0,1.0,0.4285714285714285,14.038108233659882,1.0,1.0,True,,,unique_recno_resolved,False,,identity_repair_v028,process_under_protocol_v1,prospective_production
