pair_id,exposure_a,exposure_b,plate_a,plate_b,archive_a,archive_b,site_a,site_b,site_pair,timing_bin,min_fragment_gap_seconds,fragment_overlap_intervals_json,fragment_overlap_count,total_fragment_overlap_seconds,max_fragment_overlap_seconds,scan_id_a,scan_id_b,solution_id_a,solution_id_b,solution_num_a,solution_num_b,common_tangent_area_deg2,common_fraction_of_a,common_fraction_of_b,common_fraction_of_smaller,site_separation_km_diagnostic,site_separation_band,epoch_label,in_1951_1955,pre_sputnik
3018|85397,3018,85397,2194,57812,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""667"",""duration_seconds"":1197.0,""end_utc"":""1928-10-15T22:24:56+00:00"",""exposure_active"":3018,""exposure_current"":85397,""start_utc"":""1928-10-15T22:04:59+00:00""}]",1,1197.000000,1197.000000,2479,61893,2858,63900,1,1,11.3974074144,0.1081246956,0.2964500136,0.2964500136,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3018|85398,3018,85398,2194,57812,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""667"",""duration_seconds"":359.0,""end_utc"":""1928-10-15T22:31:55+00:00"",""exposure_active"":3018,""exposure_current"":85398,""start_utc"":""1928-10-15T22:25:56+00:00""}]",1,359.000000,359.000000,2479,61893,2858,63900,1,1,11.3974074144,0.1081246956,0.2964500136,0.2964500136,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3018|85399,3018,85399,2194,57813,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""667"",""duration_seconds"":1317.0,""end_utc"":""1928-10-15T23:03:50+00:00"",""exposure_active"":3018,""exposure_current"":85399,""start_utc"":""1928-10-15T22:41:53+00:00""}]",1,1317.000000,1317.000000,2479,61895,2858,63896,1,1,35.5540872147,0.3388256076,0.9318008433,0.9318008433,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3018|85400,3018,85400,2194,57813,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""667"",""duration_seconds"":478.0,""end_utc"":""1928-10-15T23:12:48+00:00"",""exposure_active"":3018,""exposure_current"":85400,""start_utc"":""1928-10-15T23:04:50+00:00""}]",1,478.000000,478.000000,2479,61895,2858,63896,1,1,35.5540872147,0.3388256076,0.9318008433,0.9318008433,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3075|85573,3075,85573,2248,57900,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""duration_seconds"":1197.0,""end_utc"":""1929-01-31T21:12:20+00:00"",""exposure_active"":3075,""exposure_current"":85573,""start_utc"":""1929-01-31T20:52:23+00:00""}]",1,1197.000000,1197.000000,2536,62069,2938,64162,1,1,3.8288097331,0.0361973516,0.1003462770,0.1003462770,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3075|85574,3075,85574,2248,57900,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""duration_seconds"":359.0,""end_utc"":""1929-01-31T21:19:19+00:00"",""exposure_active"":3075,""exposure_current"":85574,""start_utc"":""1929-01-31T21:13:20+00:00""}]",1,359.000000,359.000000,2536,62069,2938,64162,1,1,3.8288097331,0.0361973516,0.1003462770,0.1003462770,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3104|85663,3104,85663,2277,57945,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""duration_seconds"":898.0,""end_utc"":""1929-02-08T21:24:34+00:00"",""exposure_active"":85663,""exposure_current"":3104,""start_utc"":""1929-02-08T21:09:36+00:00""}]",1,898.000000,898.000000,2570,62158,2955,64302,1,2,1.8602300323,0.0544358385,0.0484250881,0.0544358385,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3104|85664,3104,85664,2277,57945,101,105,"Hamburg-Bergedorf, Germany","Bonn, Germany","Bonn, Germany | Hamburg-Bergedorf, Germany",GT0_LE5MIN,251.000000,[],0,0.000000,0.000000,2570,62158,2955,64302,1,2,1.8602300323,0.0544358385,0.0484250881,0.0544358385,428.609118,GE100_LT500,PRE_SPUTNIK,False,True
3141|120929,3141,120929,2314,78250,101,208,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""duration_seconds"":1800.0,""end_utc"":""1929-03-28T21:30:00+00:00"",""exposure_active"":3141,""exposure_current"":120929,""start_utc"":""1929-03-28T21:00:00+00:00""}]",1,1800.000000,1800.000000,2612,103913,3008,105195,1,1,131.1925648944,1.0000000000,0.1031404213,1.0000000000,402.491931,GE100_LT500,PRE_SPUTNIK,False,True
3170|120977,3170,120977,2338,78298,101,208,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany | Hamburg-Bergedorf, Germany",OVERLAP,0.000000,"[{""a_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""b_fragment"":""PARENT_PROVISIONAL_CONTINUOUS"",""duration_seconds"":1800.0,""end_utc"":""1929-05-02T23:12:00+00:00"",""exposure_active"":3170,""exposure_current"":120977,""start_utc"":""1929-05-02T22:42:00+00:00""}]",1,1800.000000,1800.000000,2635,103940,3046,105213,1,1,103.7310082770,0.7792745075,0.0772886517,0.7792745075,402.491931,GE100_LT500,PRE_SPUTNIK,False,True
