plate_id,site_name,site_longitude,site_latitude,site_elevation_m
26164,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26165,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26284,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26288,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26295,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26570,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26735,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26746,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26747,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26796,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26820,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
26880,"Calar Alto Observatory, Spain",-2.537,37.23,2168.0
45535,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45536,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45537,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45538,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45539,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45540,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45876,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45883,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45908,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45932,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45939,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45964,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45987,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
45994,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46018,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46040,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46069,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46092,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46099,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46124,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46144,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46151,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
46175,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
51955,"Observatorio de Fisica Cosmica, San Miguel, Argentina",-34.5567,-58.7317,37.0
63885,"La Silla, Chile",-70.73,-29.257,2347.0
63886,"La Silla, Chile",-70.73,-29.257,2347.0
64006,"La Silla, Chile",-70.73,-29.257,2347.0
64009,"La Silla, Chile",-70.73,-29.257,2347.0
64013,"La Silla, Chile",-70.73,-29.257,2347.0
64163,"La Silla, Chile",-70.73,-29.257,2347.0
64281,"La Silla, Chile",-70.73,-29.257,2347.0
64283,"La Silla, Chile",-70.73,-29.257,2347.0
64285,"La Silla, Chile",-70.73,-29.257,2347.0
64290,"La Silla, Chile",-70.73,-29.257,2347.0
64296,"La Silla, Chile",-70.73,-29.257,2347.0
