pair_index,pair_id,fragment_index,start_utc,end_utc,duration_seconds,fragment_status,extent_status,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,fixed_time_component_intervals_json,deltat_source,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,max_depth_reached,exact_time_probes,negative_certificate_digest_sha256,unresolved_reason,input_hold_reason
1,2865|85207,1,1928-04-23T21:06:06+00:00,1928-04-23T21:16:05+00:00,599.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,7,4,0,2,9,6c60a8bbb5e9392dda84678c3f8cdc384e3b3bdaec4b10e9587db8e6b989b226,,
2,2865|85208,1,1928-04-23T21:19:04+00:00,1928-04-23T21:22:04+00:00,180.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,193fcccc59ff6cc7869914521d0253f5a66cd11464fdd27fecfc74bbce410560,,
3,2865|85209,1,1928-04-23T21:37:01+00:00,1928-04-23T21:47:00+00:00,599.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,3,2,0,1,5,389617bcfc10962019ad934eed7977ccf0f6b04639d3140764aba2d279cc680a,,
4,2865|85210,1,1928-04-23T21:48:59+00:00,1928-04-23T21:51:59+00:00,180.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,68600b05c2d8bad2ecb873a18cfdfadc9f01a70af6acb6c6953fdc712903efde,,
5,2867|85213,1,1928-04-23T22:41:19+00:00,1928-04-23T22:41:51+00:00,32.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,56549529c695116eb2a1f2736fa019fe76886375e619aef44b10191a6302050b,,
6,2867|85214,1,1928-04-23T22:43:50+00:00,1928-04-23T22:46:50+00:00,180.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,10b18c18384e3cba3e4e6eed773501528e28b883977ef19441d62b2bde611b75,,
7,2867|85217,1,1928-04-23T23:28:43+00:00,1928-04-23T23:38:41+00:00,598.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,5,3,0,2,7,fc1047a4145ba78a1b0f8b7abee6c671e27e5cd1ad04556d38538b85fe44f87e,,
8,2867|85218,1,1928-04-23T23:40:41+00:00,1928-04-23T23:43:41+00:00,180.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,4217ac0b74303a275028a5052293b16b92cf469873a95aecebfdf1a0d6d3146f,,
9,2869|85223,1,1928-04-24T01:25:57+00:00,1928-04-24T01:28:23+00:00,146.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,bf3c50b83d610ce6d65ebbb3941aeb0d72d26798b15c92fce76f14807f971695,,
10,2869|85224,1,1928-04-24T01:29:23+00:00,1928-04-24T01:32:23+00:00,180.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,1,1,0,0,3,857b62de30e832bd3e48d849f39f7065eb0b5185064912f2532f919bf896f9e5,,
