pair_index,pair_id,plate_a,plate_b,site_a,site_b,legacy_infinity_geometry_status,overlap_fragment_count,pair_status,extent_status,witness_fragment_index,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,deltat_sources,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,exact_time_probes,negative_certificate_digest_sha256,input_hold_reason
1,2865|85207,2066,57717,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,7,4,0,9,79062fd457db0606f1ab13e8f6683967d99d6f25f82cffd05c39b5fe10895966,
2,2865|85208,2066,57717,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,de970a22451378ed0582abcc7e464204b07541e2fe804848a5facfac9c7bcbe5,
3,2865|85209,2066,57718,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,7e233d4a03677a43f81d95b6edbe1aec74528f29a224b5a76b172cfd06ebb0a9,
4,2865|85210,2066,57718,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,1c1aed2fdd9e6e15455c7ee10f7b52d64e202b9a0c469475978a161bf687f377,
5,2867|85213,2068,57720,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,393bcedaf0f3eb0b63c3dffcbfd823bbfda019811aa0d1b495c7dbbedc769e02,
6,2867|85214,2068,57720,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,92c2046c2bc09b1bc2288b219e8b1dafbd3945639c53ea8f651798027efdc6a5,
7,2867|85217,2068,57722,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,5,3,0,7,9fdd30c7576bbbde55b36f73f8edf4ffe9477b50e3e3207f0470c11ce54503d4,
8,2867|85218,2068,57722,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,26a3249b040966a797e1bce6f0848f3996cb60f00a014762761d661a3288f639,
9,2869|85223,2070,57725,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,0852ddc13ecd67b8914e3b4e4610feb914ff93778f65c7dbfc3ee3aede1e602f,
10,2869|85224,2070,57725,"Hamburg-Bergedorf, Germany","Bonn, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,ba365caa8eb4340f07d1b7d8586e483e50a1ab35d1a2d1f5d81f7c6e4e8e6c7a,
