pair_index,pair_id,fragment_index,time_utc,component_a,component_b,x_km,y_km,z_km,distance_km,topocentric_ra_a_deg,topocentric_dec_a_deg,topocentric_ra_b_deg,topocentric_dec_b_deg,altitude_a_deg,altitude_b_deg,disparity_arcsec,ge2arcsec,interval_min_distance_km,interval_max_distance_km,interval_max_unbounded,interval_upper_extent_state,interval_lower_closed,interval_upper_closed,deltat_source,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec
29,3013|85373,1,1928-10-12T23:13:56.703125+00:00,0,0,9949.070947010654,4065.121551682853,6412.643655956584,12515.239693944663,22.827680000000008,10.436649999999993,24.850523998418268,12.699266137130284,46.56043095802677,51.731638764827004,10827.680916264811,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.000978227824759738,2.9835437321279676
30,3013|85374,1,1928-10-12T23:35:34+00:00,0,0,9132.075596579827,4111.859442410453,6222.398136100213,11790.692572530766,22.831125293026872,9.949722328390894,24.847809999999992,12.51600000000002,46.007787357675284,51.96664594613864,11664.06943914748,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0011051004194421329,2.8303679867083384
32,3018|85379,1,1928-10-14T23:16:44+00:00,0,1,4495.980357632173,1666.997286868494,5149.987304991807,7036.695856168434,7.89910000000001,1.2562600000000392,19.03790048293303,18.734434801203786,35.797408671830695,58.173990474101224,74197.31975484507,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008543719046432896,15.69050318178086
32,3018|85379,1,1928-10-14T23:16:44+00:00,0,0,4615.074276811004,1683.5210270463447,5152.623979459774,7119.17744565295,7.89910000000001,1.2562600000000383,17.474166422044547,16.442263109167694,35.797408671830695,55.814095572511114,64354.33843039828,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.007450312296952063,13.682466387710916
33,3018|85380,1,1928-10-14T23:19:02+00:00,1,1,4482.484127253756,1702.275832095565,5149.924930457653,7036.48589488871,7.899100000000202,1.2562600000001007,18.769546064370896,18.73816827515335,35.68106329181946,58.14586164667425,73711.03758699218,True,7036.48589488871,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008527510745762322,14.942105840192642
36,3018|85397,1,1928-10-15T22:07:28.625000+00:00,1,0,11266.613044622192,1521.9158338719792,5295.481618216744,12541.727268263834,7.899100000000009,1.2562600000000026,9.701704958626577,3.067811046409082,37.37640357085372,42.269834450577,9196.717976093867,True,,,True,VERIFIED_UNBOUNDED,,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0008896781677390389,3.399682910287435
37,3018|85398,1,1928-10-15T22:28:55.500000+00:00,1,0,10357.089497166884,1755.7342281908157,5276.288413651651,11755.472128179286,7.899099999999993,1.2562599999999977,9.703437813830401,3.3169860450207,37.23592571813612,42.76044430896693,9856.831326538046,True,,,True,VERIFIED_UNBOUNDED,,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0010238686887040437,3.32232942270653
38,3018|85399,1,1928-10-15T22:52:51.500000+00:00,0,1,5652.657353936229,1505.9311282516283,5177.466974463912,7811.947772208353,8.022983379301033,1.3564682789374416,13.505620000000372,8.747469999999726,36.75482837590947,48.16607433124858,33075.08538476284,True,7811.947772208353,,True,VERIFIED_UNBOUNDED,True,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0036663677798449727,9.289135265200144
39,3018|85400,1,1928-10-15T23:04:50+00:00,1,0,5503.960661672316,1886.479995597787,5171.771739802272,7784.575304256772,13.667408147438996,1.2392253197202356,19.736389999999897,8.73933999999978,36.96120770060131,48.186758296688886,34670.821473435695,True,7784.575304256772,,True,VERIFIED_UNBOUNDED,True,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0037330708986883696,10.716500180128447
40,3018|85401,1,1928-10-15T23:41:44+00:00,1,0,5191.285338962459,2634.2483221302427,5169.221752485918,7785.214269340707,19.24012999999995,1.210849999999997,24.6353322208302,8.701540867087765,36.48081420271388,48.09829182588215,33182.38100912686,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.003726088006469934,8.98805655887844
