pair_index,pair_id,plate_a,plate_b,site_a,site_b,parent_pair_status,downstream_pair_class,eligible_fragment_count,admissible_fragment_count,unresolved_fragment_count,witness_count,parent_pair_row_sha256
29,3013|85373,2189,57800,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,0d2b05d0b29bdf655aad816d5fdfe605f32d72316711c322f44f5fd7ac482d1b
30,3013|85374,2189,57800,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,27df43bdf5b1f1b1cfd85a5615d873cdbc7651795a70f12fd9be69daa60e673d
32,3018|85379,2194,57803,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,7c5f24b89373f6e6ddd63c43c0476050169de740ff54654f18c5f01d51140ee8
33,3018|85380,2194,57803,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,8e1bed6648961505168ae8f110b30fb787b897d8773ffbdb4a885976e59ac52c
36,3018|85397,2194,57812,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,ead501c31ab9eebda0bf9055c64531fed047c62911a57f3b8afc4547aa0b4b3b
37,3018|85398,2194,57812,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,0c9bbb647813899729c694e94ce9490f9f6d015c66743319d913fd6429ce4cf9
38,3018|85399,2194,57813,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,3c1eaa364528ff47f44c117026466c9b4fbc24855a6d39a320a95e88a7b20217
39,3018|85400,2194,57813,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,80541518803c94566eaa0bd03e58be18b43fda09bf45b83255406d3f8612051a
40,3018|85401,2194,57814,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,e869b7ddafa45d75513bd55ea3781611bd08834be7445d082d984f220fcfd036
52,3047|120736,2220,78057,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,a6ef050a8c5d11e1bf82fb3cdfb034bb388d0a296b1543e87571b48981c87fb2
61,3049|85501,2222,57864,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,1939aaddb818508d3f2d135fc69207e34b1dd71b22a071c456286565f8f9448a
62,3049|85502,2222,57864,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,519d6aaa3a1003ad12a0f3980d7c4e6a8d05149ff66fb49c7c6dd9223f7f741c
65,3075|85573,2248,57900,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,ee57f9c820405930857e95657a5c39c8b318b302d86f15936a5067e7bedd82aa
66,3075|85574,2248,57900,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,4ec300600bc15092b2a7fbff0507ef33a31908090fb4c9cf52edef46020b41bc
106,3103|85661,2276,57944,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,c63c624275235474b16ec95721304cb6c7248b766a8967203b6bd885e3d111ac
108,3104|85663,2277,57945,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,75e0d893ba89d90b73d2a96fdb0047a42db372fb4143a54f6deba3077c233e14
131,3133|120894,2306,78215,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,3dc74995b742b03004bbaf5c9d89192c41be72875ccc0a12e172f8452955bbb5
