triplet_index,canonical_pair,zero_source_scan_ids,positive_plate,independent_plate,control_plate,status
140,APPLAUSE:127381 | APPLAUSE:5770,109445,84662,4091,84663,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
143,APPLAUSE:127382 | APPLAUSE:5770,109445,84663,4091,84662,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
336,APPLAUSE:133277 | APPLAUSE:91397,114677,90147,61208,90143,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
338,APPLAUSE:133278 | APPLAUSE:91397,114682,90148,61208,90144,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
366,APPLAUSE:133414 | APPLAUSE:91492,114813,90284,61303,90280,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
367,APPLAUSE:133623 | APPLAUSE:41734,115031,90493,10083,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
368,APPLAUSE:133624 | APPLAUSE:41734,115031,90494,10083,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
371,APPLAUSE:133628 | APPLAUSE:41737,115031,90498,10086,90494,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
372,APPLAUSE:133628 | APPLAUSE:41737,115031,90498,10086,90502,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
373,APPLAUSE:133631 | APPLAUSE:41738,115031,90501,10087,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
374,APPLAUSE:133632 | APPLAUSE:41738,115031,90502,10087,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
376,APPLAUSE:133631 | APPLAUSE:41739,115031,90501,10088,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
377,APPLAUSE:133632 | APPLAUSE:41739,115031,90502,10088,90498,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
566,APPLAUSE:134510 | APPLAUSE:15212,115911,8475,91380,8474,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
567,APPLAUSE:134510 | APPLAUSE:15212,115911,8475,91380,8476,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
570,APPLAUSE:134510 | APPLAUSE:15213,115911,8476,91380,8475,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
571,APPLAUSE:134510 | APPLAUSE:15213,115911,8476,91380,8477,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
619,APPLAUSE:134980 | APPLAUSE:91676,116377,91850,61487,91846,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
621,APPLAUSE:134980 | APPLAUSE:91677,116377,91850,61488,91846,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
642,APPLAUSE:135123 | APPLAUSE:15274,116528,91993,8537,91997,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
696,APPLAUSE:136588 | APPLAUSE:91760,117980,93458,61557,93463,HELD_ZERO_SOURCE_SCAN_NOT_EVIDENCE_OF_ABSENCE
