canonical_order,pair_set,legacy_rank,pair_key,exposure_a,archive_a,site_a,start_a_utc,end_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,end_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b,center_separation_deg,approx_overlap_fraction_smaller,true_wcs_overlap_fraction,true_wcs_intersection,saved_status,saved_notes,id_integrity,pre_freeze_touched,pre_freeze_reason,publication_cohort,production_action
1,POSS47,1.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437 | POSS-I:413:E:rec297,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437,Harvard DASCH,DASCH unresolved,1951-11-05T07:00:59.999999981+00:00,1951-11-05T07:58:59.999999981+00:00,3480.0,56.99458284834484,21.91621452439747,91.653214213621,POSS-I:413:E:rec297,POSS-I Palomar,Palomar Observatory,1951-11-05T07:00:00+00:00,1951-11-05T08:00:00+00:00,3600.0,28.07125,30.72,6.5,0.0,3480.0,58.0,1.0,0.9666666666666668,27.28484845368943,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
2,POSS47,21.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244 | POSS-I:985:E:rec726,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244,Harvard DASCH,DASCH unresolved,1954-02-25T06:05:29.999999192+00:00,1954-02-25T07:02:29.999999192+00:00,3420.0,117.98923952178436,19.750863866158408,91.5403326894497,POSS-I:985:E:rec726,POSS-I Palomar,Palomar Observatory,1954-02-25T06:14:00+00:00,1954-02-25T06:54:00+00:00,2400.0,127.71291666666666,-12.4875,6.5,0.0,2400.0,40.0,0.7017543859649122,1.0,33.62962961545721,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
3,POSS47,47.0,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840 | POSS-I:533:O:rec187,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840,Harvard DASCH,DASCH unresolved,1952-07-20T09:06:59.999998858+00:00,1952-07-20T10:00:59.999998858+00:00,3240.0,327.02633374851945,1.9243266945242503,90.64300740662544,POSS-I:533:O:rec187,POSS-I Palomar,Palomar Observatory,1952-07-20T09:29:00+00:00,1952-07-20T09:39:00+00:00,600.0,315.72041666666667,48.57305555555556,6.5,1.6666666666666667e-08,600.0,10.0,0.1851851851851851,1.0,47.65163781739508,0.0839564094791725,0.2479,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
4,POSS47,23.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304 | POSS-I:1023:O:rec675,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304,Harvard DASCH,DASCH unresolved,1954-04-02T07:02:59.999989061+00:00,1954-04-02T08:02:59.999989061+00:00,3600.0,159.57471173635415,20.49822649994841,91.64297143871708,POSS-I:1023:O:rec675,POSS-I Palomar,Palomar Observatory,1954-04-02T07:27:00+00:00,1954-04-02T07:39:00+00:00,720.0,181.8583333333333,-6.807222222222222,6.5,1.666666666666667e-07,720.0,12.0,0.2,1.0,35.00384797186645,1.0,1.0,True,,,unique_recno_resolved,True,exploratory complete 9/9 previously,development_revalidation,rerun_or_complete_under_protocol_v1
5,POSS47,2.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330 | POSS-I:368:E:rec192,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330,Harvard DASCH,DASCH unresolved,1951-09-10T08:01:59.999982994+00:00,1951-09-10T08:59:59.999982994+00:00,3480.0,16.25445115024166,19.60009884057209,91.49685600020432,POSS-I:368:E:rec192,POSS-I Palomar,Palomar Observatory,1951-09-10T08:01:00+00:00,1951-09-10T09:01:00+00:00,3600.0,358.81166666666667,48.80694444444444,6.5,2.833333333333334e-07,3480.0,58.0,1.0,0.9666666666666668,32.39934211951269,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
6,nonPOSS27,,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400 | APPLAUSE:115011,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,DASCH historical observing site unresolved,1954-02-05T00:41:44.799987563+00:00,1954-02-05T01:40:44.799987563+00:00,3540.0,135.1667178348662,27.459190623548185,90.14890728456564,APPLAUSE:115011,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-05T01:08:26+00:00,1954-02-05T01:14:26+00:00,360.0,153.6471,27.4198,5.0,0.1866668666666666,360.0,6.0,0.1016949152542373,1.0,16.386130614609435,,,,negative_nine_tile_sample,Nine fixed Harvard tiles: 23 official DASCH detections; all reference-catalogued; zero unmatched Harvard sources.,not_applicable,True,pre-existing queue status=negative_nine_tile_sample,development_revalidation,rerun_or_complete_under_protocol_v1
7,nonPOSS27,,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1952-08-14T20:51:12+00:00,1952-08-14T21:31:12+00:00,2400.0,294.8094,30.1276,5.0,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,Harvard DASCH,DASCH historical observing site unresolved,1952-08-14T20:41:28.299988003+00:00,1952-08-14T21:41:28.299988003+00:00,3600.0,315.1832354817297,1.5214029531415458,90.39655841911927,0.2716664666666666,2400.0,40.0,1.0,0.6666666666666666,34.5286924406838,,,,parked_pixel_followup,True WCS overlap; no DR7 platephot at field centre.,not_applicable,True,"pre-existing queue status=parked_pixel_followup | APPLAUSE 13623 ↔ DASCH bi05607 fully provenance-revalidated 2026-08-20; 311 Harvard tests, zero <=3 arcsec",development_revalidation,already_provenance_revalidated_pre_freeze; backfill_raw_catalogue_evidence_if_needed
8,POSS47,4.0,POSS-I:320:E:rec463 | DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,POSS-I:320:E:rec463,POSS-I Palomar,Palomar Observatory,1951-08-13T09:08:00+00:00,1951-08-13T09:58:00+00:00,3000.0,349.8070833333333,18.7925,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,Harvard DASCH,DASCH unresolved,1951-08-13T09:03:00.000000584+00:00,1951-08-13T10:04:00.000000584+00:00,3660.0,349.99178290933213,35.73348701291052,81.51590046552528,0.5,3000.0,50.0,1.0,0.819672131147541,16.9417721149699,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
9,POSS47,41.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474 | POSS-I:305:E:rec637,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474,Harvard DASCH,DASCH unresolved,1951-08-06T08:00:59.999998515+00:00,1951-08-06T08:29:59.999998515+00:00,1740.0,327.8073380183154,35.959453681479324,81.06425817681617,POSS-I:305:E:rec637,POSS-I Palomar,Palomar Observatory,1951-08-06T07:51:00+00:00,1951-08-06T08:41:00+00:00,3000.0,313.8558333333333,0.5533333333333333,6.5,0.5000000166666667,1740.0,29.0,1.0,0.58,37.70324712623969,0.9714837549923588,1.0,True,,,unique_recno_resolved,True,exploratory partial,development_revalidation,rerun_or_complete_under_protocol_v1
10,nonPOSS27,,APPLAUSE:12414 | APPLAUSE:139005,APPLAUSE:12414,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:23:08+00:00,1951-09-01T21:23:38+00:00,30.0,301.647,35.5585,5.0,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,1951-09-01T21:44:00+00:00,2400.0,303.6933,36.8,5.0,0.6166666666666667,30.0,0.5,1.0,0.0125,2.066185774218204,,,,parked_manual_astrometric_solve,High-overlap independent pair; Vatican plate 95875 has no DR4 source_calib; FITS exists but no published WCS.,not_applicable,True,pre-existing queue status=parked_manual_astrometric_solve,development_revalidation,rerun_or_complete_under_protocol_v1
