exposure_id,plate_id,archive_id,site_group,start_utc,end_utc,duration_seconds,ra_icrs,dec_icrs,scan_id,solution_id,solution_assoc_sep_deg,fov1_deg,fov2_deg,flag_time,num_sub
144,98,101,Hamburg,1912-10-07T21:43:23+00:00,1912-10-07T21:51:22+00:00,479.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
145,98,101,Hamburg,1912-10-07T21:52:22+00:00,1912-10-07T21:56:21+00:00,239.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
146,98,101,Hamburg,1912-10-07T21:57:21+00:00,1912-10-07T21:59:21+00:00,120.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
147,98,101,Hamburg,1912-10-07T22:00:20+00:00,1912-10-07T22:01:20+00:00,60.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
148,98,101,Hamburg,1912-10-07T22:02:20+00:00,1912-10-07T22:02:50+00:00,30.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
149,98,101,Hamburg,1912-10-07T22:03:20+00:00,1912-10-07T22:03:35+00:00,15.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
150,98,101,Hamburg,1912-10-07T22:04:50+00:00,1912-10-07T22:04:57+00:00,7.000,51.0853000000,49.8610000000,15,8,0.99473331,4.01688430,4.00381660,NULL,1
166,101,101,Hamburg,1912-10-09T17:59:06+00:00,1912-10-09T19:04:56+00:00,3950.000,235.2835000000,3.6378000000,17,5,0.12164441,2.98837700,2.12761200,NULL,2
397,163,101,Hamburg,1914-01-14T17:37:41+00:00,1914-01-14T17:42:40+00:00,299.000,57.1048000000,24.1468000000,19,16,0.02708288,3.96662700,3.96884010,NULL,1
398,163,101,Hamburg,1914-01-14T18:05:08+00:00,1914-01-14T18:10:07+00:00,299.000,57.1048000000,24.1468000000,19,16,0.02708288,3.96662700,3.96884010,NULL,1
399,163,101,Hamburg,1914-01-14T18:34:32+00:00,1914-01-14T18:39:31+00:00,299.000,57.1048000000,24.1468000000,19,16,0.02708288,3.96662700,3.96884010,NULL,1
403,166,101,Hamburg,1914-03-19T23:16:55+00:00,1914-03-19T23:36:51+00:00,1196.000,50.7818000000,49.8078000000,23,18,0.26116205,11.30447200,11.29319100,NULL,1
404,167,101,Hamburg,1914-03-19T23:16:59+00:00,1914-03-19T23:36:55+00:00,1196.000,50.7818000000,49.8078000000,25,20,0.25950014,11.38740500,11.39631000,NULL,1
405,168,101,Hamburg,1914-03-20T00:33:44+00:00,1914-03-20T01:09:38+00:00,2154.000,105.6614000000,33.8749000000,26,21,2.01424000,11.28688500,11.29696300,NULL,1
406,169,101,Hamburg,1914-03-20T00:35:29+00:00,1914-03-20T01:10:23+00:00,2094.000,105.6614000000,33.8749000000,28,23,2.04592556,11.33510300,11.34233100,NULL,1
407,170,101,Hamburg,1914-03-23T23:34:38+00:00,1914-03-24T01:34:18+00:00,7180.000,150.8991000000,11.9009000000,31,32,0.05397670,11.29486200,11.29361500,NULL,1
408,171,101,Hamburg,1914-03-23T23:35:37+00:00,1914-03-24T01:35:18+00:00,7181.000,150.8991000000,11.9009000000,33,34,0.08034953,11.33438900,11.33414800,NULL,1
