rank,canonical_pair,site_a,archive_a,exposure_a,plate_a,site_b,archive_b,exposure_b,plate_b,physical_overlap_seconds,science_footprint_fraction_smaller,best_primary_comparison_endpoint,best_primary_comparison_exposure,best_primary_comparison_gap_minutes,best_primary_comparison_tier,primary_comparison_count_ge50pct_common,any_partial_comparison_count
1,APPLAUSE:122456 | APPLAUSE:4008,Bamberg,208,122456,79750,Hamburg,101,4008,3076,3484.000,0.99915618,A,122455,1.000000,A_LE30MIN,1,1
2,APPLAUSE:127883 | APPLAUSE:6420,Bamberg,208,127883,85157,Hamburg,101,6420,4275,1920.000,0.00072700,A,127882,1.000000,A_LE30MIN,4,5
3,APPLAUSE:125864 | APPLAUSE:4969,Bamberg,208,125864,83158,Hamburg,101,4969,3850,1860.000,1.00000000,A,125863,1.000000,A_LE30MIN,3,3
4,APPLAUSE:136214 | APPLAUSE:15373,Bamberg,208,136214,93084,Hamburg,101,15373,8628,1820.000,1.00000000,B,15374,1.000000,A_LE30MIN,3,3
5,APPLAUSE:136215 | APPLAUSE:15373,Bamberg,208,136215,93085,Hamburg,101,15373,8628,1820.000,0.07742319,B,15374,1.000000,A_LE30MIN,3,3
6,APPLAUSE:136216 | APPLAUSE:15373,Bamberg,208,136216,93086,Hamburg,101,15373,8628,1820.000,0.05103133,B,15374,1.000000,A_LE30MIN,3,3
7,APPLAUSE:123514 | APPLAUSE:4308,Bamberg,208,123514,80808,Hamburg,101,4308,3356,1800.000,0.47805830,A,123513,1.000000,A_LE30MIN,1,1
8,APPLAUSE:123522 | APPLAUSE:4312,Bamberg,208,123522,80816,Hamburg,101,4312,3360,1800.000,0.41947425,A,123521,1.000000,A_LE30MIN,2,2
9,APPLAUSE:123543 | APPLAUSE:4315,Bamberg,208,123543,80837,Hamburg,101,4315,3363,1800.000,1.00000000,A,123544,1.000000,A_LE30MIN,4,4
10,APPLAUSE:123544 | APPLAUSE:4315,Bamberg,208,123544,80838,Hamburg,101,4315,3363,1800.000,1.00000000,A,123543,1.000000,A_LE30MIN,4,4
11,APPLAUSE:123564 | APPLAUSE:4315,Bamberg,208,123564,80858,Hamburg,101,4315,3363,1800.000,1.00000000,A,123544,1.000000,A_LE30MIN,4,4
12,APPLAUSE:123565 | APPLAUSE:4315,Bamberg,208,123565,80859,Hamburg,101,4315,3363,1800.000,1.00000000,A,123543,1.000000,A_LE30MIN,4,4
13,APPLAUSE:125349 | APPLAUSE:4848,Bamberg,208,125349,82643,Hamburg,101,4848,3753,1800.000,1.00000000,A,125424,1.000000,A_LE30MIN,5,5
14,APPLAUSE:125424 | APPLAUSE:4848,Bamberg,208,125424,82718,Hamburg,101,4848,3753,1800.000,1.00000000,A,125349,1.000000,A_LE30MIN,6,6
15,APPLAUSE:125425 | APPLAUSE:4848,Bamberg,208,125425,82719,Hamburg,101,4848,3753,1800.000,1.00000000,A,125424,1.000000,A_LE30MIN,7,7
16,APPLAUSE:125426 | APPLAUSE:4848,Bamberg,208,125426,82720,Hamburg,101,4848,3753,1800.000,1.00000000,A,125349,1.000000,A_LE30MIN,7,7
17,APPLAUSE:125427 | APPLAUSE:110781,Bamberg,208,125427,82721,Hamburg,111,110781,64839,1800.000,0.67935936,A,125426,1.000000,A_LE30MIN,6,6
