canonical_pair,comparison_for_endpoint,positive_exposure_id,positive_plate_id,comparison_exposure_id,comparison_plate_id,comparison_scan_id,comparison_start_utc,comparison_end_utc,endpoint_interval_gap_seconds,endpoint_interval_gap_minutes,tier,temporal_relation,endpoint_pair_field_overlap_fraction_smaller,comparison_coverage_fraction_of_science_common_footprint,primary_common_coverage_ge50pct,positive_site_name,comparison_site_name,positive_site_latitude,positive_site_longitude,comparison_site_latitude,comparison_site_longitude,same_site_control,same_site_control_basis,positive_plate_numexp,comparison_plate_numexp,positive_telescope,comparison_telescope,positive_instrument,comparison_instrument
APPLAUSE:85573 | APPLAUSE:3075,B,3075,2248,3077,2250,2537,1929-01-31T23:03:00+00:00,1929-01-31T23:12:59+00:00,877.000,14.616667,A_LE30MIN,FOLLOWING,0.98605659,0.01256764,False,"Hamburg-Bergedorf, Germany","Hamburg-Bergedorf, Germany",53.482,10.242,53.482,10.242,True,SITE_NAME,1,1,Lippert-Astrograph,Lippert-Astrograph,,
APPLAUSE:85574 | APPLAUSE:3075,B,3075,2248,3077,2250,2537,1929-01-31T23:03:00+00:00,1929-01-31T23:12:59+00:00,877.000,14.616667,A_LE30MIN,FOLLOWING,0.98605659,0.01256764,False,"Hamburg-Bergedorf, Germany","Hamburg-Bergedorf, Germany",53.482,10.242,53.482,10.242,True,SITE_NAME,1,1,Lippert-Astrograph,Lippert-Astrograph,,
APPLAUSE:85993 | APPLAUSE:3317,B,3317,2483,3318,2484,2847,1929-09-26T23:04:30+00:00,1929-09-27T00:58:11+00:00,688.000,11.466667,A_LE30MIN,FOLLOWING,0.99669387,0.99943630,True,"Hamburg-Bergedorf, Germany","Hamburg-Bergedorf, Germany",53.482,10.242,53.482,10.242,True,SITE_NAME,1,1,Lippert-Astrograph,Lippert-Astrograph,,
APPLAUSE:85994 | APPLAUSE:3317,B,3317,2483,3318,2484,2847,1929-09-26T23:04:30+00:00,1929-09-27T00:58:11+00:00,688.000,11.466667,A_LE30MIN,FOLLOWING,0.99669387,0.99943630,True,"Hamburg-Bergedorf, Germany","Hamburg-Bergedorf, Germany",53.482,10.242,53.482,10.242,True,SITE_NAME,1,1,Lippert-Astrograph,Lippert-Astrograph,,
APPLAUSE:122455 | APPLAUSE:4008,A,122455,79749,122456,79750,104760,1931-03-20T21:43:00+00:00,1931-03-20T22:43:00+00:00,60.000,1.000000,A_LE30MIN,FOLLOWING,0.56998825,1.00000000,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
APPLAUSE:122456 | APPLAUSE:4008,A,122456,79750,122455,79749,104759,1931-03-20T21:12:00+00:00,1931-03-20T21:42:00+00:00,60.000,1.000000,A_LE30MIN,PRECEDING,0.56998825,0.50825614,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
APPLAUSE:122966 | APPLAUSE:4134,A,122966,80260,122962,80256,105199,1931-09-08T22:13:00+00:00,1931-09-08T22:44:00+00:00,6600.000,110.000000,C_GT60_LE120MIN,PRECEDING,0.91551670,0.98074107,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
APPLAUSE:122966 | APPLAUSE:4134,A,122966,80260,122963,80257,105200,1931-09-08T22:45:00+00:00,1931-09-08T23:15:00+00:00,4740.000,79.000000,C_GT60_LE120MIN,PRECEDING,0.91045693,0.96362936,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
APPLAUSE:122966 | APPLAUSE:4134,A,122966,80260,122964,80258,105201,1931-09-08T23:16:00+00:00,1931-09-08T23:46:00+00:00,2880.000,48.000000,B_GT30_LE60MIN,PRECEDING,0.91570935,1.00000000,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
APPLAUSE:122966 | APPLAUSE:4134,A,122966,80260,122965,80259,105202,1931-09-08T23:47:00+00:00,1931-09-09T00:33:00+00:00,60.000,1.000000,A_LE30MIN,PRECEDING,0.99145309,1.00000000,True,"Dr. Remeis-Observatory, Bamberg, Germany","Dr. Remeis-Observatory, Bamberg, Germany",10.8881,49.8845,10.8881,49.8845,True,SITE_NAME,1,1,Astrograph,Astrograph,,
