canonical_pair,site_a,archive_a,exposure_a,plate_a,scan_a,start_a_utc,end_a_utc,site_b,archive_b,exposure_b,plate_b,scan_b,start_b_utc,end_b_utc,physical_overlap_start_utc,physical_overlap_end_utc,physical_overlap_seconds,science_footprint_fraction_a,science_footprint_fraction_b,science_footprint_fraction_smaller,primary_comparison_count_ge50pct_common,any_partial_comparison_count,best_primary_comparison_endpoint,best_primary_comparison_exposure,best_primary_comparison_gap_minutes,best_primary_comparison_tier,best_any_comparison_gap_minutes,best_any_comparison_tier,plate_site_a,plate_observatory_a,plate_site_lat_a,plate_site_lon_a,plate_numexp_a,plate_telescope_a,plate_instrument_a,plate_site_b,plate_observatory_b,plate_site_lat_b,plate_site_lon_b,plate_numexp_b,plate_telescope_b,plate_instrument_b,recorded_site_names_distinct,site_separation_km,site_separation_band,strong_independence_ge10km,independence_ge50km,independence_ge100km,same_site_primary_control_count,best_same_site_control_endpoint,best_same_site_control_exposure,best_same_site_control_plate,best_same_site_control_gap_minutes,best_same_site_control_tier,raw_plate_site_lon_a_v093d,raw_plate_site_lat_a_v093d,raw_plate_site_lon_b_v093d,raw_plate_site_lat_b_v093d,corrected_site_lon_a,corrected_site_lat_a,corrected_site_lon_b,corrected_site_lat_b,site_coordinate_rule_a,site_coordinate_rule_b,corrected_site_separation_km,corrected_site_separation_band,corrected_strong_independence_ge10km,corrected_independence_ge50km,corrected_independence_ge100km
APPLAUSE:122456 | APPLAUSE:4008,Bamberg,208,122456,79750,104760,1931-03-20T21:43:00+00:00,1931-03-20T22:43:00+00:00,Hamburg,101,4008,3076,3630,1931-03-20T21:32:15+00:00,1931-03-20T22:41:04+00:00,1931-03-20T21:43:00+00:00,1931-03-20T22:41:04+00:00,3484.000,0.99915618,0.10404107,0.99915618,1,1,A,122455,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,1,A,122455,79749,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:127883 | APPLAUSE:6420,Bamberg,208,127883,85157,109914,1935-05-03T23:05:00+00:00,1935-05-03T23:37:00+00:00,Hamburg,101,6420,4275,5022,1935-05-03T21:40:38+00:00,1935-05-03T23:40:18+00:00,1935-05-03T23:05:00+00:00,1935-05-03T23:37:00+00:00,1920.000,0.00072700,0.00004373,0.00072700,4,5,A,127882,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,127882,85156,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125864 | APPLAUSE:4969,Bamberg,208,125864,83158,107979,1933-05-23T23:49:00+00:00,1933-05-24T00:20:00+00:00,Hamburg,101,4969,3850,4582,1933-05-22T23:28:41+00:00,1933-05-25T00:26:28+00:00,1933-05-23T23:49:00+00:00,1933-05-24T00:20:00+00:00,1860.000,1.00000000,0.06291981,1.00000000,3,3,A,125863,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,3,A,125863,83157,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:136214 | APPLAUSE:15373,Bamberg,208,136214,93084,117609,1960-09-26T18:51:00+00:00,1960-09-26T19:51:00+00:00,Hamburg,101,15373,8628,11454,1960-09-26T19:20:40+00:00,1960-09-26T20:00:33+00:00,1960-09-26T19:20:40+00:00,1960-09-26T19:51:00+00:00,1820.000,0.42900674,1.00000000,1.00000000,3,3,B,15374,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,3,B,15374,8629,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:136215 | APPLAUSE:15373,Bamberg,208,136215,93085,117610,1960-09-26T18:51:00+00:00,1960-09-26T19:51:00+00:00,Hamburg,101,15373,8628,11454,1960-09-26T19:20:40+00:00,1960-09-26T20:00:33+00:00,1960-09-26T19:20:40+00:00,1960-09-26T19:51:00+00:00,1820.000,0.07444200,0.07742319,0.07742319,3,3,B,15374,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,3,B,15374,8629,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:136216 | APPLAUSE:15373,Bamberg,208,136216,93086,117611,1960-09-26T18:51:00+00:00,1960-09-26T19:51:00+00:00,Hamburg,101,15373,8628,11454,1960-09-26T19:20:40+00:00,1960-09-26T20:00:33+00:00,1960-09-26T19:20:40+00:00,1960-09-26T19:51:00+00:00,1820.000,0.03359705,0.05103133,0.05103133,3,3,B,15374,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,3,B,15374,8629,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123514 | APPLAUSE:4308,Bamberg,208,123514,80808,105732,1932-02-05T18:51:00+00:00,1932-02-05T19:21:00+00:00,Hamburg,101,4308,3356,3999,1932-02-05T18:43:31+00:00,1932-02-05T21:43:03+00:00,1932-02-05T18:51:00+00:00,1932-02-05T19:21:00+00:00,1800.000,0.47805830,0.02969900,0.47805830,1,1,A,123513,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,1,A,123513,80807,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123522 | APPLAUSE:4312,Bamberg,208,123522,80816,105740,1932-02-06T01:46:00+00:00,1932-02-06T02:16:00+00:00,Hamburg,101,4312,3360,4002,1932-02-06T01:37:04+00:00,1932-02-06T04:36:34+00:00,1932-02-06T01:46:00+00:00,1932-02-06T02:16:00+00:00,1800.000,0.41947425,0.02576696,0.41947425,2,2,A,123521,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,2,A,123521,80815,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123543 | APPLAUSE:4315,Bamberg,208,123543,80837,105761,1932-02-06T18:01:00+00:00,1932-02-06T18:31:00+00:00,Hamburg,101,4315,3363,4006,1932-02-06T17:45:24+00:00,1932-02-06T20:59:53+00:00,1932-02-06T18:01:00+00:00,1932-02-06T18:31:00+00:00,1800.000,1.00000000,0.07989515,1.00000000,4,4,A,123544,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,123544,80838,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123544 | APPLAUSE:4315,Bamberg,208,123544,80838,105762,1932-02-06T18:32:00+00:00,1932-02-06T19:02:00+00:00,Hamburg,101,4315,3363,4006,1932-02-06T17:45:24+00:00,1932-02-06T20:59:53+00:00,1932-02-06T18:32:00+00:00,1932-02-06T19:02:00+00:00,1800.000,1.00000000,0.08266734,1.00000000,4,4,A,123543,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,123543,80837,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123564 | APPLAUSE:4315,Bamberg,208,123564,80858,105782,1932-02-06T18:01:00+00:00,1932-02-06T18:31:00+00:00,Hamburg,101,4315,3363,4006,1932-02-06T17:45:24+00:00,1932-02-06T20:59:53+00:00,1932-02-06T18:01:00+00:00,1932-02-06T18:31:00+00:00,1800.000,1.00000000,0.06249787,1.00000000,4,4,A,123544,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,123544,80838,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:123565 | APPLAUSE:4315,Bamberg,208,123565,80859,105783,1932-02-06T18:32:00+00:00,1932-02-06T19:02:00+00:00,Hamburg,101,4315,3363,4006,1932-02-06T17:45:24+00:00,1932-02-06T20:59:53+00:00,1932-02-06T18:32:00+00:00,1932-02-06T19:02:00+00:00,1800.000,1.00000000,0.06351524,1.00000000,4,4,A,123543,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,4,A,123543,80837,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125349 | APPLAUSE:4848,Bamberg,208,125349,82643,107468,1933-03-02T00:14:00+00:00,1933-03-02T00:44:00+00:00,Hamburg,101,4848,3753,4482,1933-03-01T23:28:09+00:00,1933-03-02T02:27:39+00:00,1933-03-02T00:14:00+00:00,1933-03-02T00:44:00+00:00,1800.000,1.00000000,0.08236919,1.00000000,5,5,A,125424,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,5,A,125424,82718,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125424 | APPLAUSE:4848,Bamberg,208,125424,82718,107543,1933-03-01T23:43:00+00:00,1933-03-02T00:13:00+00:00,Hamburg,101,4848,3753,4482,1933-03-01T23:28:09+00:00,1933-03-02T02:27:39+00:00,1933-03-01T23:43:00+00:00,1933-03-02T00:13:00+00:00,1800.000,1.00000000,0.06353897,1.00000000,6,6,A,125349,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,6,A,125349,82643,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125425 | APPLAUSE:4848,Bamberg,208,125425,82719,107544,1933-03-02T00:14:00+00:00,1933-03-02T00:44:00+00:00,Hamburg,101,4848,3753,4482,1933-03-01T23:28:09+00:00,1933-03-02T02:27:39+00:00,1933-03-02T00:14:00+00:00,1933-03-02T00:44:00+00:00,1800.000,1.00000000,0.06395216,1.00000000,7,7,A,125424,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,7,A,125424,82718,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125426 | APPLAUSE:4848,Bamberg,208,125426,82720,107545,1933-03-02T00:45:00+00:00,1933-03-02T01:15:00+00:00,Hamburg,101,4848,3753,4482,1933-03-01T23:28:09+00:00,1933-03-02T02:27:39+00:00,1933-03-02T00:45:00+00:00,1933-03-02T01:15:00+00:00,1800.000,1.00000000,0.06281663,1.00000000,7,7,A,125349,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Lippert-Astrograph,,True,5893.545115,GE100KM,True,True,True,7,A,125349,82643,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
APPLAUSE:125427 | APPLAUSE:110781,Bamberg,208,125427,82721,107546,1933-03-02T01:16:00+00:00,1933-03-02T01:46:00+00:00,Hamburg,111,110781,64839,72933,1933-03-02T00:51:00+00:00,1933-03-02T01:51:00+00:00,1933-03-02T01:16:00+00:00,1933-03-02T01:46:00+00:00,1800.000,0.67935936,0.02647118,0.67935936,6,6,A,125426,1.000000,A_LE30MIN,1.000000,A_LE30MIN,"Dr. Remeis-Observatory, Bamberg, Germany",Dr. Remeis-Observatory,10.8881,49.8845,1,Astrograph,,"Hamburg-Bergedorf, Germany",Hamburger Sternwarte,53.482,10.242,1,Original Schmidt-Spiegel,,True,5893.545115,GE100KM,True,True,True,6,A,125426,82720,1.000000,A_LE30MIN,49.8845,10.8881,10.242,53.482,10.88810000,49.88450000,10.24200000,53.48200000,SWAP,NORMAL,402.491931,GE100KM,True,True,True
