raw_match_row,population,target_ra_deg,target_dec_deg,eligible_physical_plate_count,raw_source_calib_rows_in_15arcsec,eligible_source_calib_rows_in_15arcsec,physical_plates_with_any_source_within_15arcsec,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,wide_5_to_15_physical_plate_context_count,best_eligible_separation_arcsec,distinct_nonnull_gaiaedr3_ids_on_strict_plates,gaiaedr3_ids_repeated_on_2plus_strict_plates,catalog_recurrence_class,candidate_disposition_changed
292670,PRIMARY_424,84.42152695134904,9.193517580040298,755,538,535,274,260,5,9,0.03863436596762805,1,3334887490818744448:258,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292672,PRIMARY_424,84.23999947648255,10.070303173081452,776,421,420,225,172,44,9,0.24818129352311669,1,3339451524928505728:166,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292673,PRIMARY_424,85.04110507068629,6.589417697218881,688,416,413,224,94,114,16,1.353222427603475,1,3333133078280284672:88,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292675,DIAGNOSTIC_179,84.79543567149825,6.727827675262417,737,712,706,358,319,24,15,0.07991321328914969,1,3333150984000540800:317,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292677,DIAGNOSTIC_179,84.0535384472597,6.430563196494599,665,418,410,242,199,16,27,0.07208196058260738,1,3333159917532478208:10,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292678,PRIMARY_424,84.28197000186023,10.081951982425755,776,359,358,198,192,3,3,0.050504157185987,1,3339451662367467520:188,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292679,PRIMARY_424,85.75037947502369,9.170606219366912,912,754,751,393,375,7,11,0.10775096972287282,1,3336153853336605056:367,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292681,PRIMARY_424,84.33843989996389,9.290102661609746,756,646,643,314,307,3,4,0.007528715240946743,1,3334900891116702208:301,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292687,PRIMARY_424,84.46826141523495,9.210065042356483,757,809,794,409,315,45,49,0.6475716364014081,1,3334884707679924096:298,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
292689,PRIMARY_424,84.05551722233281,9.990203669406688,769,780,766,405,343,13,48,0.04281008704495006,1,3339490527529356160:337,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
