raw_match_row,population,catalog_recurrence_class,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,eligible_physical_plate_count,pixel_followup_required_by_frozen_v078_branch
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,0,0,615,True
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,0,0,761,True
293327,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,3,755,True
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,1,752,True
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,8,891,True
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,66,928,True
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,391,871,True
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,4,760,True
293614,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,10,840,True
293628,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,5,743,True
293672,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,68,738,True
293710,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,1,752,True
293841,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,1,829,True
293892,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,74,894,True
293903,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,260,920,True
293964,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,9,763,True
293985,DIAGNOSTIC_179,DIAGNOSTIC_RECURRENCE_ONLY,0,208,915,True
293995,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,183,758,True
294052,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,37,769,True
294096,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,21,893,True
294130,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,26,740,True
294166,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,1,0,628,True
294179,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,0,11,741,True
