plate_id,is_science_pair_plate,solution_rows_in_conservative_cap,usable_exact_footprint_solution_rows,scan_ids,filenames_scan,exposure_row_count,exposure_ids,archive_names
2,False,2,2,1;2,DR4/scans/HAM-LA/LA00010_x.fits;DR4/scans/HAM-LA/LA00010_y.fits,1,1,Lippert-Astrograph (Hamburg)
163,False,3,3,19,DR4/scans/HAM-LA/LA00202_y.fits,3,397;398;399,Lippert-Astrograph (Hamburg)
168,False,2,2,26;27,DR4/scans/HAM-LA/LA00264_x.fits;DR4/scans/HAM-LA/LA00264_y.fits,1,405,Lippert-Astrograph (Hamburg)
169,False,2,2,28;29,DR4/scans/HAM-LA/LA00265_x.fits;DR4/scans/HAM-LA/LA00265_y.fits,1,406,Lippert-Astrograph (Hamburg)
243,False,2,2,158;159,DR4/scans/HAM-LA/LA00377_x.fits;DR4/scans/HAM-LA/LA00377_y.fits,1,492,Lippert-Astrograph (Hamburg)
244,False,2,2,160;161,DR4/scans/HAM-LA/LA00378_x.fits;DR4/scans/HAM-LA/LA00378_y.fits,1,493,Lippert-Astrograph (Hamburg)
245,False,2,2,162;163,DR4/scans/HAM-LA/LA00379_x.fits;DR4/scans/HAM-LA/LA00379_y.fits,1,494,Lippert-Astrograph (Hamburg)
246,False,1,1,164,DR4/scans/HAM-LA/LA00380_y.fits,1,495,Lippert-Astrograph (Hamburg)
247,False,6,6,165;166,DR4/scans/HAM-LA/LA00381_x.fits;DR4/scans/HAM-LA/LA00381_y.fits,1,496,Lippert-Astrograph (Hamburg)
248,False,2,2,167;168,DR4/scans/HAM-LA/LA00382_x.fits;DR4/scans/HAM-LA/LA00382_y.fits,1,497,Lippert-Astrograph (Hamburg)
249,False,2,2,169;170,DR4/scans/HAM-LA/LA00383_x.fits;DR4/scans/HAM-LA/LA00383_y.fits,1,498,Lippert-Astrograph (Hamburg)
251,False,2,2,173;174,DR4/scans/HAM-LA/LA00385_x.fits;DR4/scans/HAM-LA/LA00385_y.fits,1,500,Lippert-Astrograph (Hamburg)
382,False,2,2,355;356,DR4/scans/HAM-LA/LA00552_x.fits;DR4/scans/HAM-LA/LA00552_y.fits,1,801,Lippert-Astrograph (Hamburg)
383,False,2,2,357;358,DR4/scans/HAM-LA/LA00553_x.fits;DR4/scans/HAM-LA/LA00553_y.fits,1,802,Lippert-Astrograph (Hamburg)
384,False,2,2,359;360,DR4/scans/HAM-LA/LA00554_x.fits;DR4/scans/HAM-LA/LA00554_y.fits,1,803,Lippert-Astrograph (Hamburg)
385,False,2,2,361;362,DR4/scans/HAM-LA/LA00555_x.fits;DR4/scans/HAM-LA/LA00555_y.fits,1,804,Lippert-Astrograph (Hamburg)
386,False,3,3,363;364,DR4/scans/HAM-LA/LA00556_x.fits;DR4/scans/HAM-LA/LA00556_y.fits,1,805,Lippert-Astrograph (Hamburg)
387,False,2,2,365;366,DR4/scans/HAM-LA/LA00557_x.fits;DR4/scans/HAM-LA/LA00557_y.fits,1,806,Lippert-Astrograph (Hamburg)
388,False,2,2,367;368,DR4/scans/HAM-LA/LA00558_x.fits;DR4/scans/HAM-LA/LA00558_y.fits,1,807,Lippert-Astrograph (Hamburg)
401,False,2,2,390;391,DR4/scans/HAM-LA/LA00573_x.fits;DR4/scans/HAM-LA/LA00573_y.fits,1,824,Lippert-Astrograph (Hamburg)
403,False,2,2,394;395,DR4/scans/HAM-LA/LA00575_x.fits;DR4/scans/HAM-LA/LA00575_y.fits,1,826,Lippert-Astrograph (Hamburg)
405,False,2,2,398;399,DR4/scans/HAM-LA/LA00577_x.fits;DR4/scans/HAM-LA/LA00577_y.fits,1,828,Lippert-Astrograph (Hamburg)
406,False,2,2,400;401,DR4/scans/HAM-LA/LA00578_x.fits;DR4/scans/HAM-LA/LA00578_y.fits,1,829,Lippert-Astrograph (Hamburg)
407,False,2,2,402;403,DR4/scans/HAM-LA/LA00579_x.fits;DR4/scans/HAM-LA/LA00579_y.fits,1,830,Lippert-Astrograph (Hamburg)
408,False,2,2,404;405,DR4/scans/HAM-LA/LA00580_x.fits;DR4/scans/HAM-LA/LA00580_y.fits,1,831,Lippert-Astrograph (Hamburg)
412,False,2,2,410;411,DR4/scans/HAM-LA/LA00584_x.fits;DR4/scans/HAM-LA/LA00584_y.fits,1,835,Lippert-Astrograph (Hamburg)
413,False,2,2,412;413,DR4/scans/HAM-LA/LA00585_x.fits;DR4/scans/HAM-LA/LA00585_y.fits,1,836,Lippert-Astrograph (Hamburg)
414,False,2,2,414;415,DR4/scans/HAM-LA/LA00586_x.fits;DR4/scans/HAM-LA/LA00586_y.fits,1,837,Lippert-Astrograph (Hamburg)
415,False,2,2,416;417,DR4/scans/HAM-LA/LA00589_x.fits;DR4/scans/HAM-LA/LA00589_y.fits,1,838,Lippert-Astrograph (Hamburg)
416,False,2,2,418;419,DR4/scans/HAM-LA/LA00590_x.fits;DR4/scans/HAM-LA/LA00590_y.fits,1,839,Lippert-Astrograph (Hamburg)
417,False,2,2,420;421,DR4/scans/HAM-LA/LA00591_x.fits;DR4/scans/HAM-LA/LA00591_y.fits,1,840,Lippert-Astrograph (Hamburg)
418,False,2,2,422;423,DR4/scans/HAM-LA/LA00592_x.fits;DR4/scans/HAM-LA/LA00592_y.fits,1,841,Lippert-Astrograph (Hamburg)
422,False,2,2,426;427,DR4/scans/HAM-LA/LA00597_x.fits;DR4/scans/HAM-LA/LA00597_y.fits,1,845,Lippert-Astrograph (Hamburg)
423,False,2,2,428;429,DR4/scans/HAM-LA/LA00598_x.fits;DR4/scans/HAM-LA/LA00598_y.fits,1,846,Lippert-Astrograph (Hamburg)
424,False,2,2,430;431,DR4/scans/HAM-LA/LA00601_x.fits;DR4/scans/HAM-LA/LA00601_y.fits,1,847,Lippert-Astrograph (Hamburg)
425,False,2,2,432;433,DR4/scans/HAM-LA/LA00602_x.fits;DR4/scans/HAM-LA/LA00602_y.fits,1,848,Lippert-Astrograph (Hamburg)
426,False,3,3,434;435,DR4/scans/HAM-LA/LA00603_x.fits;DR4/scans/HAM-LA/LA00603_y.fits,1,849,Lippert-Astrograph (Hamburg)
427,False,11,11,436,DR4/scans/HAM-LA/LA00605a_x.fits,1,850,Lippert-Astrograph (Hamburg)
439,False,2,2,459;460,DR4/scans/HAM-LA/LA00619_x.fits;DR4/scans/HAM-LA/LA00619_y.fits,1,862,Lippert-Astrograph (Hamburg)
440,False,2,2,461;462,DR4/scans/HAM-LA/LA00620_x.fits;DR4/scans/HAM-LA/LA00620_y.fits,1,863,Lippert-Astrograph (Hamburg)
441,False,2,2,463;464,DR4/scans/HAM-LA/LA00621_x.fits;DR4/scans/HAM-LA/LA00621_y.fits,1,864,Lippert-Astrograph (Hamburg)
444,False,2,2,469;470,DR4/scans/HAM-LA/LA00624_x.fits;DR4/scans/HAM-LA/LA00624_y.fits,1,867,Lippert-Astrograph (Hamburg)
445,False,2,2,471;472,DR4/scans/HAM-LA/LA00625_x.fits;DR4/scans/HAM-LA/LA00625_y.fits,1,868,Lippert-Astrograph (Hamburg)
446,False,2,2,473;474,DR4/scans/HAM-LA/LA00626_x.fits;DR4/scans/HAM-LA/LA00626_y.fits,1,869,Lippert-Astrograph (Hamburg)
450,False,2,2,481;482,DR4/scans/HAM-LA/LA00633_x.fits;DR4/scans/HAM-LA/LA00633_y.fits,1,874,Lippert-Astrograph (Hamburg)
537,False,2,2,631;632,DR4/scans/HAM-LA/LA00721_x.fits;DR4/scans/HAM-LA/LA00721_y.fits,1,965,Lippert-Astrograph (Hamburg)
539,False,2,2,633;634,DR4/scans/HAM-LA/LA00723_x.fits;DR4/scans/HAM-LA/LA00723_y.fits,1,967,Lippert-Astrograph (Hamburg)
542,False,2,2,637;638,DR4/scans/HAM-LA/LA00726_x.fits;DR4/scans/HAM-LA/LA00726_y.fits,1,970,Lippert-Astrograph (Hamburg)
543,False,2,2,639;640,DR4/scans/HAM-LA/LA00727_x.fits;DR4/scans/HAM-LA/LA00727_y.fits,1,971,Lippert-Astrograph (Hamburg)
544,False,2,2,641;642,DR4/scans/HAM-LA/LA00728_x.fits;DR4/scans/HAM-LA/LA00728_y.fits,1,972,Lippert-Astrograph (Hamburg)
545,False,2,2,643;644,DR4/scans/HAM-LA/LA00730_x.fits;DR4/scans/HAM-LA/LA00730_y.fits,1,973,Lippert-Astrograph (Hamburg)
546,False,2,2,645;646,DR4/scans/HAM-LA/LA00731_x.fits;DR4/scans/HAM-LA/LA00731_y.fits,1,974,Lippert-Astrograph (Hamburg)
549,False,2,2,647;648,DR4/scans/HAM-LA/LA00734_x.fits;DR4/scans/HAM-LA/LA00734_y.fits,1,977,Lippert-Astrograph (Hamburg)
560,False,2,2,661;662,DR4/scans/HAM-LA/LA00748_x.fits;DR4/scans/HAM-LA/LA00748_y.fits,1,990,Lippert-Astrograph (Hamburg)
561,False,2,2,663;664,DR4/scans/HAM-LA/LA00749_x.fits;DR4/scans/HAM-LA/LA00749_y.fits,1,991,Lippert-Astrograph (Hamburg)
562,False,2,2,665;666,DR4/scans/HAM-LA/LA00750_x.fits;DR4/scans/HAM-LA/LA00750_y.fits,1,992,Lippert-Astrograph (Hamburg)
574,False,2,2,679;680,DR4/scans/HAM-LA/LA00767_x.fits;DR4/scans/HAM-LA/LA00767_y.fits,1,1004,Lippert-Astrograph (Hamburg)
575,False,2,2,681;682,DR4/scans/HAM-LA/LA00768_x.fits;DR4/scans/HAM-LA/LA00768_y.fits,1,1005,Lippert-Astrograph (Hamburg)
668,False,2,2,803;804,DR4/scans/HAM-LA/LA00861_x.fits;DR4/scans/HAM-LA/LA00861_y.fits,1,1116,Lippert-Astrograph (Hamburg)
674,False,2,2,809;810,DR4/scans/HAM-LA/LA00866_x.fits;DR4/scans/HAM-LA/LA00866_y.fits,1,1121,Lippert-Astrograph (Hamburg)
675,False,2,2,811;812,DR4/scans/HAM-LA/LA00868_x.fits;DR4/scans/HAM-LA/LA00868_y.fits,1,1123,Lippert-Astrograph (Hamburg)
677,False,2,2,815;816,DR4/scans/HAM-LA/LA00870_x.fits;DR4/scans/HAM-LA/LA00870_y.fits,1,1125,Lippert-Astrograph (Hamburg)
678,False,2,2,817;818,DR4/scans/HAM-LA/LA00871_x.fits;DR4/scans/HAM-LA/LA00871_y.fits,1,1126,Lippert-Astrograph (Hamburg)
679,False,2,2,819;820,DR4/scans/HAM-LA/LA00872_x.fits;DR4/scans/HAM-LA/LA00872_y.fits,1,1127,Lippert-Astrograph (Hamburg)
