raw_match_row,blind_code,panel_role,observatory,physical_plate_id,scan_id,registration_mode,measurement_source,banked_crosshair_x_px,banked_crosshair_y_px,reconstructed_x_px,reconstructed_y_px,delta_x_px,delta_y_px,residual_px,render_reconstruction_status,reconstruction_source,manual_feature,manual_morphology,manual_confidence,manual_notes
293118,B029,SCIENCE_HAMBURG,HAMBURG,7685,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,9935.000000000004,2009.9999999999895,9935.000000000004,2009.9999999999895,0.0,0.0,0.0,PASS,v075 a_ra_deg/a_dec_deg -> exact science FITS WCS,ABSENT,AMBIGUOUS,3,"Object is just above crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
293118,B030,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,HAMBURG,7687,10000,PRIMARY,BANKED_V080,17771.735385148804,15315.531237616899,17771.735385148804,15315.531237616899,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,STELLAR_COMPACT,3,crosshair not-centred; possible red herring
293118,B031,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRIMARY,BANKED_V080,6246.145775125932,7268.761551330656,6246.145775125932,7268.761551330656,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,STELLAR_COMPACT,3,crosshair not-centred; possible red herring
293118,B024,SCIENCE_BAMBERG,BAMBERG,89580,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,1981.9904103712959,3910.0634585175326,1981.9904103712959,3910.0634585175326,0.0,0.0,0.0,PASS,v075 b_ra_deg/b_dec_deg -> exact science FITS WCS,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,4,crosshair not-centred; possible red herring.
293118,B021,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,90160,114694,PRIMARY,BANKED_V080,5711.211195057111,1044.172176251167,5711.211195057111,1044.172176251167,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,ABSENT,AMBIGUOUS,3,
293470,B005,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,HAMBURG,7526,9698,PRIMARY,BANKED_V080,12455.461536112332,4352.264113810854,12455.461536112332,4352.264113810854,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,STELLAR_COMPACT,4,
293470,B006,SCIENCE_HAMBURG,HAMBURG,7685,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,12501.999999999973,4617.000000000002,12501.999999999973,4617.000000000002,0.0,0.0,0.0,PASS,v075 a_ra_deg/a_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
293470,B014,V082_CLOSE_TIME,HAMBURG,7687,10000,PRIMARY,BANKED_V082_EXACT_FROZEN_V080_METHOD,20400.91032004191,12761.493231089114,20400.91032004191,12761.493231089114,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,STELLAR_COMPACT,5,
293470,B019,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,HAMBURG,8285,10815,PRIMARY,BANKED_V080,4885.032788683591,4573.4448931332045,4885.032788683591,4573.4448931332045,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,3,possible misaligned crosshair; partial coverage
293470,B015,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRIMARY,BANKED_V080,5995.76171369703,7018.138948779659,5995.76171369703,7018.138948779659,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,WEAK_OR_AMBIGUOUS,AMBIGUOUS,3,
