raw_match_row,panel_role,physical_plate_id,scan_id,pixel_scale_arcsec,context_expected_side_px,context_actual_height_px,context_actual_width_px,context_edge_clipped,zoom_expected_side_px,zoom_actual_height_px,zoom_actual_width_px,zoom_edge_clipped,integrity_flag
293118,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293118,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,7687,10000,1.4503993970637816,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293118,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89097,113642,15.62951479761055,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
293118,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
293118,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,90160,114694,17.901358056474862,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
293470,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,7526,9698,1.4451252326775483,169,169,169,False,43,43,43,False,FULL_FROZEN_RENDER
293470,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293470,V082_CLOSE_TIME,7687,10000,1.4503993970637816,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293470,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,8285,10815,1.4441041436089121,169,169,169,False,43,43,43,False,FULL_FROZEN_RENDER
293470,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89097,113642,15.62951479761055,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
293470,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
293841,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,7679,9986,1.4516577799288275,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293841,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293841,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,7687,10000,1.4503993970637816,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
293841,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89544,114080,4.401443226889353,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
293841,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
293841,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,90160,114694,17.901358056474862,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294052,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
294052,V082_CLOSE_TIME,7687,10000,1.4503993970637816,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
294052,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89097,113642,15.62951479761055,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294052,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
294052,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,89595,114131,15.707322282373497,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294130,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,7665,9959,1.4453048473331398,169,169,169,False,43,43,43,False,FULL_FROZEN_RENDER
294130,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
294130,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,7703,10030,1.4512873034681284,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
294130,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89097,113642,15.62951479761055,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294130,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
294130,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,89595,114131,15.707322282373497,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294179,SCIENCE_HAMBURG,7685,,1.451906129285375,167,167,167,False,43,43,43,False,FULL_FROZEN_RENDER
294179,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,89097,113642,15.62951479761055,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
294179,SCIENCE_BAMBERG,89580,,4.402763427963668,57,57,57,False,17,17,17,False,FULL_FROZEN_RENDER
294179,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,89595,114131,15.707322282373497,17,17,17,False,17,17,17,False,FULL_FROZEN_RENDER
