v075_ordinal,pair_index,population,raw_match_row,raw_separation_arcsec,corrected_separation_arcsec,loo_corrected_sep_min_arcsec,loo_corrected_sep_max_arcsec,window_arcmin,common_same_gaia_refs,triage_class,a_endpoint,a_tile_id,a_candidate_index,a_gaia_source_id,a_gaia_epoch_ra_deg,a_gaia_epoch_dec_deg,a_gaia_separation_arcsec,a_gaia_strict_le3,a_gaia_diagnostic_le5,a_pm_incomplete_static_neighbor_within15,a_pm_incomplete_source_id,a_pm_incomplete_static_catalog_sep_arcsec,a_pm_incomplete_ref_epoch,b_endpoint,b_tile_id,b_candidate_index,b_gaia_source_id,b_gaia_epoch_ra_deg,b_gaia_epoch_dec_deg,b_gaia_separation_arcsec,b_gaia_strict_le3,b_gaia_diagnostic_le5,b_pm_incomplete_static_neighbor_within15,b_pm_incomplete_source_id,b_pm_incomplete_static_catalog_sep_arcsec,b_pm_incomplete_ref_epoch,same_gaia_source_id,candidate_disposition_changed,a_x,b_x,a_y,b_y,a_x_global,b_x_global,a_y_global,b_y_global,a_ra_deg,b_ra_deg,a_dec_deg,b_dec_deg,a_snr,b_snr,a_signal,b_signal,a_polarity,b_polarity,a_noise,b_noise,a_local_sigma,b_local_sigma,a_threshold,b_threshold,a_gaia_catalog_ra,a_gaia_catalog_dec,a_gaia_catalog_ref_epoch,a_gaia_catalog_pmra,a_gaia_catalog_pmdec,a_gaia_catalog_parallax,b_gaia_catalog_ra,b_gaia_catalog_dec,b_gaia_catalog_ref_epoch,b_gaia_catalog_pmra,b_gaia_catalog_pmdec,b_gaia_catalog_parallax
1,17,PRIMARY_424,292670,0.202797687988408,1.180881518677209,0.5122462655313752,1.6595529640846818,10.0,13,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,83,3334887490818744448,84.42144878189389,9.19345139952935,0.2841875649573615,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,149,3334887490818744448,84.42144878189389,9.19345139952935,0.4557051270372192,True,True,False,,,,True,False,,,,,,,,,84.42151806971259,84.42153583298682,9.193490813024164,9.193544347056216,11.332073115928605,9.41263764544632,10457.282283454531,10703.601286951129,-1,-1,,,,,,,,,,,,,,,,,,
2,17,PRIMARY_424,292672,0.3953773169902707,0.7131805822395749,0.6790540007474788,0.7621048398982802,20.0,29,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y01024-02048,17,3339451524928505728,84.23950122101895,10.07073690154542,2.489599161441544,True,True,True,3339451529225678848,11.04438744509522,2016.0,APPLAUSE:132654,x02048-03072_y05120-06144,48,3339451524928505728,84.23950122101895,10.07073690154542,2.234780889135684,True,True,True,3339451529225678848,11.424122159004376,2016.0,True,False,,,,,,,,,84.24005466610676,84.23994428686106,10.070311093134954,10.0702952530188,5.562963198526011,8.250370969184964,4705.870843454941,9023.00482981831,-1,-1,,,,,,,,,,,,,,,,,,
3,17,PRIMARY_424,292673,0.4103618106360658,1.427207712094777,0.9891201932962085,2.422499447627572,10.0,6,SAME_GAIA_DIAGNOSTIC_ONLY,APPLAUSE:14120,x14336-15360_y03072-04096,4,3333133078280284672,85.04198266954674,6.589535911189026,2.981139760009319,True,True,False,,,,APPLAUSE:132654,x01024-02048_y02048-03072,49,3333133078280284672,85.04198266954674,6.589535911189026,3.355502539276446,False,True,False,,,,True,False,,,,,,,,,85.04115380286972,85.04105633850875,6.589447777818485,6.589387616614551,5.111828958635433,6.786371969630445,4775.509409650233,7414.912185769863,-1,-1,,,,,,,85.04181059582345,6.589511596983661,2016.0,-9.912619766083177,-1.409980411850893,,85.04181059582345,6.589511596983661,2016.0,-9.912619766083177,-1.409980411850893,
4,17,DIAGNOSTIC_179,292675,0.493864262602693,2.7629441722313746,2.489157303574299,3.049136461398339,20.0,17,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x13312-14336_y02048-03072,42,3333150984000540800,84.79565776595642,6.727944975793133,0.7914161561911758,True,True,False,,,,APPLAUSE:132654,x01024-02048_y02048-03072,90,3333150984000540800,84.79565776595642,6.727944975793133,1.0551000495729677,True,True,False,,,,True,False,,,,,,,,,84.79544197118109,84.79542937181718,6.727895981606476,6.727759368918276,21.553816968754347,11.35055965312883,20410.2417081928,12401.82581560967,-1,-1,,,,,,,,,,,,,,,,,,
5,17,DIAGNOSTIC_179,292677,0.5380281128754497,2.863396914363801,2.596068972761957,3.1125268455640556,20.0,14,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x14336-15360_y00000-01024,306,3333159917532981632,84.05375399687938,6.430424318603967,0.7426075792637602,True,True,False,,,,APPLAUSE:132654,x02048-03072_y02048-03072,40,3333159917532981632,84.05375399687938,6.430424318603967,1.1324184848154766,True,True,False,,,,True,False,,,,,,,,,84.05361263990318,84.05346425461977,6.430575382291847,6.430551010686658,17.11838774033615,17.48625530372224,16527.91169980385,19761.22763218775,-1,-1,,,,,,,,,,,,,,,,,,
6,17,PRIMARY_424,292678,0.6456855306079665,1.2191010569653653,0.9634858306159843,1.4233527695431152,20.0,31,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y01024-02048,28,3339451662367467520,84.28180343869273,10.08175787129277,1.127405801427971,True,True,False,,,,APPLAUSE:132654,x02048-03072_y05120-06144,53,3339451662367467520,84.28180343869273,10.08175787129277,0.781744047056424,True,True,False,,,,True,False,,,,,,,,,84.28206054865011,84.28187945506488,10.081942247515205,10.08196171731164,4.480082846173948,6.944172116501543,3789.831154672888,7594.482573002755,-1,-1,,,,,,,84.28199506997149,10.08163777969625,2016.0,10.941090263205488,-6.964104683529389,,84.28199506997149,10.08163777969625,2016.0,10.941090263205488,-6.964104683529389,
7,17,PRIMARY_424,292679,0.665144123731912,2.048776028456121,1.6263490241314795,2.4731674139083686,10.0,14,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x08192-09216_y04096-05120,87,3336153853336605056,85.75060173849857,9.170425386246377,0.8505050986073265,True,True,False,,,,APPLAUSE:132654,x01024-02048_y04096-05120,134,3336153853336605056,85.75060173849857,9.170425386246377,1.262299836206668,True,True,False,,,,True,False,,,,,,,,,85.75037983408066,85.75037911596651,9.170513838918666,9.170698599815156,11.17374712384536,8.809941851935726,10016.041476014932,9650.811394749571,-1,-1,,,,,,,,,,,,,,,,,,
8,17,PRIMARY_424,292681,0.7364762395294845,2.001175653843413,1.6476680982545058,2.3465260408355877,10.0,16,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,65,3334900891116702208,84.33840253900902,9.290078746982765,0.2815766476090242,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,185,3334900891116702208,84.33840253900902,9.290078746982765,0.4919089611122528,True,True,False,,,,True,False,,,,,,,,,84.33833881003673,84.338540989878,9.290125246035531,9.29008007715554,11.182815522216355,12.363955017921668,10319.546780477216,14059.69822982143,-1,-1,,,,,,,84.33842047265247,9.289980458533703,2016.0,1.0263298804023508,-5.699738837737043,,84.33842047265247,9.289980458533703,2016.0,1.0263298804023508,-5.699738837737043,
9,17,PRIMARY_424,292687,0.8879064467336605,0.9263151376504625,0.5494949913316515,1.5418874532174245,5.0,7,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,97,3334884707679924096,84.46755220899942,9.210043218540937,2.6771345186200666,True,True,True,3334884707680394240,11.99231012265646,2016.0,APPLAUSE:132654,x02048-03072_y04096-05120,159,3334884707679924096,84.46755220899942,9.210043218540937,2.4377410635502033,True,True,True,3334884707680394240,11.702697215244198,2016.0,True,False,,,,,,,,,84.46829930690075,84.46822352354393,9.209947531044586,9.210182553664422,32.806612223118535,16.551299982904744,30274.07264949223,18821.346626834165,-1,-1,,,,,,,,,,,,,,,,,,
10,17,PRIMARY_424,292689,0.9238292291978684,2.313651748161166,2.1624552871089944,2.4894854262133217,10.0,10,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x06144-07168_y00000-01024,502,3339490527529356160,84.05574702752965,9.990160779762478,0.3987027314885079,True,True,False,,,,APPLAUSE:132654,x02048-03072_y05120-06144,9,3339490527529356160,84.05574702752965,9.990160779762478,1.2818336391349796,True,True,False,,,,True,False,,,,,,,,,84.05563518751401,84.0553992571121,9.99014920501508,9.990258133756802,30.822581414867027,16.31218738257964,26886.925527064624,17839.797275498448,-1,-1,,,,,,,,,,,,,,,,,,
