raw_match_row,population,v078_catalog_recurrence_class,selection_role,physical_plate_id,archive_family,archive_id,archive_names,institutes,representative_exposure_start_utc,seconds_from_science_epoch,coverage_class,edge_distance_arcsec,scan_id,filename_scan,expected_file_size,fits_checksum,solution_id,solution_num,v078_plate_recurrence_class,v078_nearest_separation_arcsec
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,6282,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1948-03-03T18:26:17+00:00,-181448561.5,COVERED_INTERIOR,0.0,8084,DR4/scans/HAM-LA/LA06708_x.fits,1067690880,7RaAAOT30OY97OY9,10381,1,WIDE_GT5_LE15,9.859961443855122
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7619,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-09-16T00:35:23+00:00,-6725615.5,COVERED_INTERIOR,0.0,9870,DR4/scans/HAM-LA/LA08095_x.fits,427155840,caBhdYBfcaBfcYBf,14428,1,NO_SOURCE_WITHIN_15_ARCSEC,
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-02T21:53:18+00:00,3859.5,COVERED_INTERIOR,0.0,10000,DR4/scans/HAM-LA/LA08167_x.fits,1312346880,PeNSSZKPPdKPPZKP,14628,1,NO_SOURCE_WITHIN_15_ARCSEC,
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
292800,DIAGNOSTIC_179,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-12-04T18:50:00+00:00,165661.5,COVERED_INTERIOR,0.0,114131,DR4/scans/Bamberg-North/012688_1953_h.fits,174888000,SFRMUCPMSCPMSCPM,111428,1,NO_SOURCE_WITHIN_15_ARCSEC,
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,91972,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1959-10-06T03:02:00+00:00,184313581.5,COVERED_INTERIOR,0.0,116503,DR4/scans/Bamberg-North/015063_1959_h.fits,174888000,9AabD9VZ9AZaC9ZY,113720,1,WIDE_GT5_LE15,6.653310856680312
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-25T21:12:01+00:00,-603417.5,COVERED_INTERIOR,0.0,9986,DR4/scans/HAM-LA/LA08157_x.fits,427155840,nTlgqSkgnSkgnSkg,14588,1,NO_SOURCE_WITHIN_15_ARCSEC,
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-02T21:53:18+00:00,3859.5,COVERED_INTERIOR,0.0,10000,DR4/scans/HAM-LA/LA08167_x.fits,1312346880,PeNSSZKPPdKPPZKP,14628,1,NO_SOURCE_WITHIN_15_ARCSEC,
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
293118,PRIMARY_424,WIDE_5_TO_15_ARCSEC_CONTEXT_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1958-12-02T00:05:00+00:00,157691761.5,COVERED_INTERIOR,0.0,114694,DR4/scans/Bamberg-North/013251_1958_h.fits,174444480,1eHe4cHc1cHc1cHc,112089,1,NO_SOURCE_WITHIN_15_ARCSEC,
