scan_id,filename_scan,physical_plate_id,archive_id,expected_file_size,fits_checksum,candidate_ids,selection_roles,candidate_count_using_scan
398,DR4/scans/HAM-LA/LA00577_x.fits,405,101,1611489600,YTZAbSZ6ZSZAaSZ3,293985,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
400,DR4/scans/HAM-LA/LA00578_x.fits,406,101,1027598400,HiUqIhUnHhUnHhUn,293710;294166,POSITIVE_STRICT_RECURRENCE_CONTROL,2
403,DR4/scans/HAM-LA/LA00579_y.fits,407,101,1602362880,SgnaSekXSekaSekW,293964,POSITIVE_STRICT_RECURRENCE_CONTROL,1
2369,DR4/scans/HAM-LA/LA02355_x.fits,2113,101,1312349760,YdZAabX3TbX9YbX9,293327,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
6332,DR4/scans/HAM-LA/LA05466_x.fits,5146,101,1306978560,AJieDHiZAHibAHiZ,293327,POSITIVE_STRICT_RECURRENCE_CONTROL,1
6367,DR4/scans/HAM-LA/LA05491_y.fits,5171,101,1314996480,aVIYaSHYaSHYaSHY,293892,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
6637,DR4/scans/HAM-LA/LA05690_x.fits,5367,101,430951680,8GH389F18EF189F1,293565,POSITIVE_STRICT_RECURRENCE_CONTROL,1
6852,DR4/scans/HAM-LA/LA05839_x.fits,5514,101,432230400,ck0aeh0Xch0ach0W,294179,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
6921,DR4/scans/HAM-LA/LA05888_y.fits,5562,101,426124800,82I4A2I312I382I3,293995,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
6926,DR4/scans/HAM-LA/LA05892_x.fits,5565,101,427155840,3Dak69Yh3Aah39Yh,294166,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
7824,DR4/scans/HAM-LA/LA06511_x.fits,6108,101,197536320,nOA0oO40nO90nO90,293903,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
8084,DR4/scans/HAM-LA/LA06708_x.fits,6282,101,1067690880,7RaAAOT30OY97OY9,292800,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
9698,DR4/scans/HAM-LA/LA08001_y.fits,7526,101,426130560,0mbT3jZT0jaT0jYT,293470,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1
9870,DR4/scans/HAM-LA/LA08095_x.fits,7619,101,427155840,caBhdYBfcaBfcYBf,292800,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1
9905,DR4/scans/HAM-LA/LA08113_x.fits,7637,101,427155840,inUFllU9ilUEilU9,293565,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
9959,DR4/scans/HAM-LA/LA08142_x.fits,7665,101,428077440,AbbaAZaYAaaaAYaW,293343;293349;293614;293892;293903;293985;293995;294052;294096;294130,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,10
9972,DR4/scans/HAM-LA/LA08149_x.fits,7672,101,427155840,YAiQa7fOZAfOa5fO,294179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,1
9986,DR4/scans/HAM-LA/LA08157_x.fits,7679,101,427155840,nTlgqSkgnSkgnSkg,293118;293327;293328;293565;293628;293672;293710;293841;293964;294166,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,10
10000,DR4/scans/HAM-LA/LA08167_x.fits,7687,101,1312346880,PeNSSZKPPdKPPZKP,292800;293118;293328;293841;294166,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,5
10002,DR4/scans/HAM-LA/LA08168_x.fits,7688,101,427161600,ZdIFfd9CZdGCdd9C,293327;293565;293628;293672;293710;293964;294179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7
10005,DR4/scans/HAM-LA/LA08169_y.fits,7689,101,1320575040,YL7dZL6cYL6cYL6c,294052,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1
10008,DR4/scans/HAM-LA/LA08171_x.fits,7691,101,427161600,2hTl4eRk2eRk2eRk,293343;293614;293985,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,3
10030,DR4/scans/HAM-LA/LA08184_x.fits,7703,101,427161600,9Hf4DGe49Ge4CGe4,294130,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1
10085,DR4/scans/HAM-LA/LA08217_x.fits,7736,101,427161600,b5WCc2TBb2TBb2TB,293892,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1
10186,DR4/scans/HAM-LA/LA08287_x.fits,7804,101,429632640,laQpnVNnlZNnlZNn,293349;293995;294096,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,3
10190,DR4/scans/HAM-LA/LA08293_x.fits,7810,101,427711680,TY9oVX7mTX7mTX7m,293672,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
10240,DR4/scans/HAM-LA/LA08347_x.fits,7863,101,427161600,ahYcdZVaafVaaZVa,293903,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1
10815,DR4/scans/HAM-LA/LA08773_x.fits,8285,101,430007040,WPFJZMEJWMEJWMEJ,293470,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1
10960,DR4/scans/HAM-LA/LA08860_x.fits,8369,101,425269440,JOUfLLSZJLSdJLSZ,293470,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
21463,DR4/scans/HAM-ST/S04887_y.fits,18509,103,416111040,BcIcBaFbBaFbBaFb,293995,POSITIVE_STRICT_RECURRENCE_CONTROL,1
22189,DR4/scans/HAM-ST/S05639_y.fits,19280,103,415598400,9d3SHa1Q9a1QEa1Q,293349;294096,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL;POSITIVE_STRICT_RECURRENCE_CONTROL,2
22202,DR4/scans/HAM-ST/S05652_y.fits,19294,103,415854720,lERdn9PdlEPdl9Pd,294096,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
27429,DR4/scans/HAM-HS/HS00360_x.fits,24940,104,1020948480,UGAjW95hUGAhU93h,293628,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
27458,DR4/scans/HAM-HS/HS00422_x.fits,24966,104,1020948480,kUdAmRa6kRaAkRa3,293841,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
28118,DR4/scans/HAM-HS/HS01218_x.fits,25593,104,1020948480,YkQNYiOMYiOMYiOM,293628,POSITIVE_STRICT_RECURRENCE_CONTROL,1
43261,DR4/scans/Tartu/plaat0947.fits,49486,301,79240320,j5D7k4D4j4D4j4D4,293964,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
43262,DR4/scans/Tartu/plaat0948.fits,49487,301,79237440,9GOkA9Ok9GOkA9Ok,293614,POSITIVE_STRICT_RECURRENCE_CONTROL,1
60226,DR4/scans/Bamberg-South/011406_1964_h.fits,53425,206,176094720,jHagl9WZjEafj9WZ,293892,POSITIVE_STRICT_RECURRENCE_CONTROL,1
60247,DR4/scans/Bamberg-South/011465_1964_h.fits,53484,206,175919040,SJPkS9PiSGPiS9Pi,293349,POSITIVE_STRICT_RECURRENCE_CONTROL,1
60320,DR4/scans/Bamberg-South/011583_1965_h.fits,53602,206,175919040,MheeMZcbMfcbMZcb,294130,POSITIVE_STRICT_RECURRENCE_CONTROL,1
60328,DR4/scans/Bamberg-South/011591_1965_h.fits,53610,206,176094720,WCcMY9cJWCcJW9cJ,293614,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
60366,DR4/scans/Bamberg-South/011634_1965_h.fits,53653,206,176094720,faUhiURZfZRffZRZ,293343,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
60386,DR4/scans/Bamberg-South/011666_1965_h.fits,53685,206,176094720,9FnJDDmI9DmIADmI,294052,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1
73141,DR4/scans/HAM-SS/SS00265_x.fits,65025,111,138810240,9kbjAiaj4iaj9iaj,293903,POSITIVE_STRICT_RECURRENCE_CONTROL,1
