raw_match_row,population,planned_plate_rows,primary_registered_plate_rows,sparse_registered_plate_rows,unregistered_plate_rows,strict_native_recurrence_physical_plate_count,strict_native_recurrence_plate_ids,diagnostic_native_context_physical_plate_count,diagnostic_native_context_plate_ids,sensitivity_qualified_negative_physical_plate_count,sensitivity_qualified_negative_plate_ids,mechanical_evidence_state,candidate_disposition_changed
292800,DIAGNOSTIC_179,5,5,0,0,0,,0,,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293118,PRIMARY_424,5,5,0,0,0,,1,7679,4,7687;89097;90160;91972,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
293327,DIAGNOSTIC_179,6,6,0,0,1,5146,1,2113,0,,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293328,PRIMARY_424,5,5,0,0,0,,0,,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293343,PRIMARY_424,5,4,0,1,1,53653,0,,0,,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293349,PRIMARY_424,6,6,0,0,1,7804,0,,5,7665;19280;53484;89097;89595,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293470,PRIMARY_424,6,5,1,0,0,,0,,5,7526;8285;8369;80726;89097,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
293565,DIAGNOSTIC_179,6,6,0,0,0,,1,5367,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293614,DIAGNOSTIC_179,6,6,0,0,0,,0,,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293628,DIAGNOSTIC_179,6,6,0,0,1,7688,0,,0,,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293672,PRIMARY_424,5,5,0,0,0,,1,7810,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293710,PRIMARY_424,6,6,0,0,0,,0,,1,7688,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293841,PRIMARY_424,5,5,0,0,0,,1,24966,4,7679;7687;89544;90160,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
293892,PRIMARY_424,6,5,1,0,1,5171,1,7736,3,7665;53425;89097,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293903,PRIMARY_424,6,6,0,0,1,65025,1,6108,4,7665;7863;89097;89595,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293964,DIAGNOSTIC_179,6,6,0,0,0,,0,,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
293985,DIAGNOSTIC_179,5,5,0,0,1,7691,0,,1,89595,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
293995,DIAGNOSTIC_179,6,6,0,0,1,5562,1,7804,4,7665;18509;89097;90160,ONE_INDEPENDENT_NATIVE_RECURRENCE_RETAIN,False
294052,PRIMARY_424,5,5,0,0,0,,0,,3,53685;89097;89595,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
294096,DIAGNOSTIC_179,6,5,1,0,2,19280;19294,0,,3,7665;7804;89097,MECHANICALLY_EXPLAINED_RECURRENT_SKY_SOURCE,False
294130,PRIMARY_424,6,6,0,0,0,,0,,6,7665;7703;53602;86917;89097;89595,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
294166,DIAGNOSTIC_179,6,6,0,0,0,,0,,0,,UNRESOLVED_NATIVE_SENSITIVITY_INSUFFICIENT,False
294179,PRIMARY_424,5,5,0,0,0,,1,5514,2,89097;89595,TRANSIENT_LIKE_NATIVE_NONRECURRENCE_SUPPORTED,False
