raw_match_row,panel_role,observatory,selection_basis,physical_plate_id,scan_id,filename_scan,relation_to_common_overlap,gap_seconds,gap_hours,same_science_series,measurement_source
293118,SCIENCE_HAMBURG,HAMBURG,FROZEN_SCIENCE_PAIR,7685,,LA08164_y.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293118,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,HAMBURG,ALL_FROZEN_V082_CLOSE_TIME;NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,FOLLOWING,3710.0,1.0305555555555554,True,BANKED_V080
293118,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,89097,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,PRECEDING,23500709.0,6527.974722222222,True,BANKED_V080
293118,SCIENCE_BAMBERG,BAMBERG,FROZEN_SCIENCE_PAIR,89580,,012673_1953_h.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293118,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,90160,114694,DR4/scans/Bamberg-North/013251_1958_h.fits,FOLLOWING,157691612.0,43803.22555555555,True,BANKED_V080
293470,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,HAMBURG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,7526,9698,DR4/scans/HAM-LA/LA08001_y.fits,PRECEDING,20392857.0,5664.6825,True,BANKED_V080
293470,SCIENCE_HAMBURG,HAMBURG,FROZEN_SCIENCE_PAIR,7685,,LA08164_y.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293470,V082_CLOSE_TIME,HAMBURG,ALL_FROZEN_V082_CLOSE_TIME,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,FOLLOWING,3710.0,1.0305555555555554,True,BANKED_V082
293470,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,HAMBURG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,8285,10815,DR4/scans/HAM-LA/LA08773_x.fits,FOLLOWING,71016623.0,19726.839722222223,True,BANKED_V080
293470,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,89097,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,PRECEDING,23500709.0,6527.974722222222,True,BANKED_V080
293470,SCIENCE_BAMBERG,BAMBERG,FROZEN_SCIENCE_PAIR,89580,,012673_1953_h.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293841,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,HAMBURG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,7679,9986,DR4/scans/HAM-LA/LA08157_x.fits,PRECEDING,602909.0,167.47472222222223,True,BANKED_V080
293841,SCIENCE_HAMBURG,HAMBURG,FROZEN_SCIENCE_PAIR,7685,,LA08164_y.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293841,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,HAMBURG,ALL_FROZEN_V082_CLOSE_TIME;NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,FOLLOWING,3710.0,1.0305555555555554,True,BANKED_V080
293841,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,89544,114080,DR4/scans/Bamberg-North/012637_1953_h.fits,PRECEDING,1265909.0,351.6413888888889,True,BANKED_V080
293841,SCIENCE_BAMBERG,BAMBERG,FROZEN_SCIENCE_PAIR,89580,,012673_1953_h.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
293841,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,NEAREST_SAME_SERIES_SENSITIVITY_QUALIFIED_NEGATIVE,90160,114694,DR4/scans/Bamberg-North/013251_1958_h.fits,FOLLOWING,157691612.0,43803.22555555555,True,BANKED_V080
294052,SCIENCE_HAMBURG,HAMBURG,FROZEN_SCIENCE_PAIR,7685,,LA08164_y.fits,SCIENCE,0,0,True,V075_SCIENCE_ENDPOINT
294052,V082_CLOSE_TIME,HAMBURG,ALL_FROZEN_V082_CLOSE_TIME,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,FOLLOWING,3710.0,1.0305555555555554,True,BANKED_V082
