raw_match_row,population,physical_plate_id,scan_id,filename_scan,observatory,series,reason
293118,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293118,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293118,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293118,PRIMARY_424,65024,73140,DR4/scans/HAM-SS/SS00264_x.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_13_1
293118,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
293470,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293470,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293470,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293470,PRIMARY_424,65024,73140,DR4/scans/HAM-SS/SS00264_x.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_13_1
293470,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
293841,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293841,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293841,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
293841,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
294052,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294052,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294052,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294052,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
294052,PRIMARY_424,76406,103007,DR4/scans/HAM-KS/KS00734_x.fits,HAMBURG,,EXPOSURE_109351_NO_CACHED_END_OR_EXPTIME
294130,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294130,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294130,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294130,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
294130,PRIMARY_424,76406,103007,DR4/scans/HAM-KS/KS00734_x.fits,HAMBURG,,EXPOSURE_109351_NO_CACHED_END_OR_EXPTIME
294179,PRIMARY_424,5217,6435,DR4/scans/HAM-LA/LA05537_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294179,PRIMARY_424,7498,9683,DR4/scans/HAM-LA/LA07971_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294179,PRIMARY_424,7499,9684,DR4/scans/HAM-LA/LA07972_x.fits,HAMBURG,HAM-LA,EXPOSURE_ID_START_COUNT_MISMATCH_2_1
294179,PRIMARY_424,67762,76409,DR4/scans/HAM-GR/GRk0065_y.fits,HAMBURG,,EXPOSURE_ID_START_COUNT_MISMATCH_3_1
294179,PRIMARY_424,76406,103007,DR4/scans/HAM-KS/KS00734_x.fits,HAMBURG,,EXPOSURE_109351_NO_CACHED_END_OR_EXPTIME
