blind_code,raw_match_row,panel_role,panel_kind,observatory,physical_plate_id,scan_id,relation_to_common_overlap,gap_hours,registration_mode,sensitivity_qualified_negative,feature_at_crosshair,morphology,local_context,confidence_1_to_5,notes
B001,294052,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B002,293841,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,ABSENT,AMBIGUOUS,CLEAN,5,
B003,294052,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89595,114131,FOLLOWING,45.97555555555556,PRIMARY,True,WEAK_OR_AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,5,
B004,293841,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,CLOSE_TIME,HAMBURG,7687,10000,FOLLOWING,1.0305555555555554,PRIMARY,True,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,EDGE_OR_CLIPPED,3,
B005,293470,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,HAMBURG,7526,9698,PRECEDING,5664.6825,PRIMARY,True,DEFINITE,STELLAR_COMPACT,EDGE_OR_CLIPPED,4,
B006,293470,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B007,294130,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRECEDING,6527.974722222222,PRIMARY,True,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B008,293841,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,EDGE_OR_CLIPPED,4,
B009,293841,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,90160,114694,FOLLOWING,43803.22555555555,PRIMARY,True,WEAK_OR_AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,3,
B010,294052,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B011,293841,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,HAMBURG,7679,9986,PRECEDING,167.47472222222223,PRIMARY,True,ABSENT,AMBIGUOUS,CLEAN,3,
B012,294130,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,HAMBURG,7665,9959,PRECEDING,526.4752777777778,PRIMARY,True,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,CROWDED,2,
B013,294179,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B014,293470,V082_CLOSE_TIME,CLOSE_TIME,HAMBURG,7687,10000,FOLLOWING,1.0305555555555554,PRIMARY,False,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B015,293470,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRECEDING,6527.974722222222,PRIMARY,True,WEAK_OR_AMBIGUOUS,AMBIGUOUS,EDGE_OR_CLIPPED,3,
B016,293841,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89544,114080,PRECEDING,351.6413888888889,PRIMARY,True,WEAK_OR_AMBIGUOUS,AMBIGUOUS,CROWDED,4,
B017,294052,V082_CLOSE_TIME,CLOSE_TIME,HAMBURG,7687,10000,FOLLOWING,1.0305555555555554,PRIMARY,False,DEFINITE,STELLAR_COMPACT,CROWDED,4,
B018,294179,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRECEDING,6527.974722222222,PRIMARY,True,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B019,293470,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,HAMBURG,8285,10815,FOLLOWING,19726.839722222223,PRIMARY,True,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,EDGE_OR_CLIPPED,3,possible misaligned crosshair; partial coverage
B020,294130,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89595,114131,FOLLOWING,45.97555555555556,PRIMARY,True,WEAK_OR_AMBIGUOUS,EXTENDED_OR_BLENDED,AMBIGUOUS,3,
B021,293118,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,90160,114694,FOLLOWING,43803.22555555555,PRIMARY,True,ABSENT,AMBIGUOUS,CROWDED,3,
B022,294052,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRECEDING,6527.974722222222,PRIMARY,True,DEFINITE,EXTENDED_OR_BLENDED,AMBIGUOUS,2,
B023,294130,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,AMBIGUOUS,3,
B024,293118,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,CLEAN,4,crosshair not-centred; possible red herring.
B025,294130,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B026,294179,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89595,114131,FOLLOWING,45.97555555555556,PRIMARY,True,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B027,294130,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,HAMBURG,7703,10030,FOLLOWING,1268.7094444444444,PRIMARY,True,ABSENT,AMBIGUOUS,CLEAN,3,"Object is just below crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
B028,294179,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B029,293118,SCIENCE_HAMBURG,SCIENCE,HAMBURG,7685,,SCIENCE,0,SCIENCE,,ABSENT,AMBIGUOUS,AMBIGUOUS,3,"Object is just above crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
B030,293118,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE;V082_CLOSE_TIME,CLOSE_TIME,HAMBURG,7687,10000,FOLLOWING,1.0305555555555554,PRIMARY,True,DEFINITE,STELLAR_COMPACT,CLEAN,3,crosshair not-centred; possible red herring
B031,293118,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRECEDING,6527.974722222222,PRIMARY,True,DEFINITE,STELLAR_COMPACT,CLEAN,3,crosshair not-centred; possible red herring
B032,293470,SCIENCE_BAMBERG,SCIENCE,BAMBERG,89580,,SCIENCE,0,SCIENCE,,DEFINITE,STELLAR_COMPACT,CLEAN,4,
