shift_radius_arcsec,direction,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered,observed_primary_corrected_le3,observed_over_cell_primary_corrected_ratio,observed_primary_loo_robust_le3,observed_over_cell_primary_loo_ratio
60.0,E,16985,2489,14496,8992,9375,7993,189151,12580,7246,2248,167077,191227,17556,192,2075,1,352935,20.77921695613777,345997,23.86844646799117
60.0,N,16913,2315,14598,8997,9212,7916,188867,12418,6472,2049,167928,191253,17334,205,2383,3,352935,20.867675752379824,345997,23.70167146184409
60.0,NE,16774,2361,14413,9032,8957,7742,187983,12583,6263,2051,167086,190265,16917,205,2281,1,352935,21.040598545367832,345997,24.005897453687645
60.0,NW,16925,2487,14438,8923,8929,8002,188494,12268,6813,2239,167174,190640,17158,223,2143,3,352935,20.85288035450517,345997,23.96433023964538
60.0,S,16946,2362,14584,9133,9056,7813,188490,12195,5999,1873,168423,190395,17050,181,1901,4,352935,20.827038829222236,345997,23.724424026330226
60.0,SE,16972,2415,14557,9123,9038,7849,187695,12508,6200,1897,167090,189659,17081,174,1962,2,352935,20.795133160499645,345997,23.768427560623756
60.0,SW,16769,2342,14427,9028,9213,7741,190189,12491,7647,2538,167513,192154,17128,167,1963,2,352935,21.046872204663366,345997,23.9826020655715
60.0,W,17176,2495,14681,9179,9062,7997,190753,12433,8134,2555,167631,192771,17238,177,2013,5,352935,20.548148579413134,345997,23.56767250187317
120.0,E,16833,2333,14500,8881,8669,7952,186066,12047,5809,1945,166265,187989,16778,164,1923,0,352935,20.96685082872928,345997,23.861862068965518
120.0,N,16732,2283,14449,8920,9241,7812,187987,12039,6379,2044,167525,190141,17254,187,2150,4,352935,21.09341381783409,345997,23.946086234341475
120.0,NE,16654,2376,14278,8836,8844,7818,186911,11862,5522,2064,167463,189350,16878,211,2438,1,352935,21.19220607661823,345997,24.23287575290657
120.0,NW,16744,2330,14414,8844,9020,7900,187073,11821,5454,1960,167838,189148,17107,181,2071,4,352935,21.078296703296704,345997,24.004231996669905
120.0,S,16950,2317,14633,8989,9133,7961,188485,12057,5720,1558,169150,190311,17280,157,1823,3,352935,20.82212389380531,345997,23.644980523474338
120.0,SE,16631,2255,14376,9020,9282,7611,187843,11844,5552,1797,168650,189744,17064,172,1897,4,352935,21.221514040045697,345997,24.06768224819143
120.0,SW,17017,2430,14587,9170,9100,7847,188777,11944,5831,1910,169092,190663,17113,155,1886,0,352935,20.740142210730447,345997,23.71954480016453
120.0,W,17490,2566,14924,9228,9299,8262,190795,12714,8657,2353,167071,192705,17712,165,1910,0,352935,20.17924528301887,345997,23.1839319217368
