pair_index,canonical_pair,dominant_v062_v068a_pair,observed_primary_registered,control_primary_registered_mean,observed_primary_corrected_le3,control_primary_corrected_le3_mean,primary_corrected_count_ratio,observed_primary_corrected_rate,control_primary_corrected_rate,primary_corrected_registered_rate_ratio,observed_primary_loo_robust_le3,control_primary_loo_robust_le3_mean,primary_loo_count_ratio,observed_primary_loo_robust_rate,control_primary_loo_robust_rate,primary_loo_registered_rate_ratio,observed_sparse_registered,control_sparse_registered_mean,observed_sparse_corrected_le3,control_sparse_corrected_le3_mean,observed_unregistered,control_unregistered_mean,observed_fraction_of_global_primary_corrected,control_fraction_of_global_primary_corrected,observed_registration_csv_sha256,observed_summary_sha256,leave_this_pair_out_primary_corrected_count_ratio
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,False,0,0.0,0,0.0,,,,,0,0.0,,,,,8,11.6875,2,0.8125,0,0.25,0.0,0.0,550636b5246d88a2059b14f0ec35b37ed7eea788a0ef6595bbc37bb62bb09385,c44947c79874601bd409f95b58fc0c6e53cf3aa57e028eb2f4919878480807ae,20.87515849632732
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,False,51,46.625,4,3.875,1.032258064516129,0.0784313725490196,0.08310991957104558,0.9437065148640101,0,0.625,0.0,0.0,0.013404825737265416,0.0,563,556.375,54,50.5625,0,0.0,1.133353167013756e-05,0.00022919585525172728,efbf4c759469354adb0dd301ced047967fc977b88c58be31924c0b2bd19a2aaf,6dfcae927eee3a4e49cce324c140906ff5610c9a4b5a2d1fab1a85a24524d322,20.87970744946367
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,False,7,6.0625,0,0.5,0.0,0.0,0.08247422680412371,0.0,0,0.0,,0.0,0.0,,189,182.1875,13,17.125,0,0.0,0.0,2.957365874215836e-05,4c14e26bf77bb6e949c9f7a4824fa4d631a96da2ee7f61b73282d39c312185dc,6fd0f67d0e35971444ae7253ca4050af1e57261fdc8d45e86224d54474d0215d,20.87577586939886
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,False,135,133.625,7,10.4375,0.6706586826347305,0.05185185185185185,0.07811038353601497,0.6638278997560434,0,0.5625,0.0,0.0,0.00420954162768943,0.0,103,95.4375,10,7.9375,1,0.875,1.9833680422740732e-05,0.0006173501262425557,5941b53d2ec70e40988a16e115151dc668a91158198c222d0122a3747f32bcd3,9f3ced574e983d4ba0a84340ec3fcb260af7d665794517b9d6117849ec9f7406,20.887639451957504
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,False,135,133.625,7,10.4375,0.6706586826347305,0.05185185185185185,0.07811038353601497,0.6638278997560434,0,0.5625,0.0,0.0,0.00420954162768943,0.0,103,95.4375,10,7.9375,1,0.875,1.9833680422740732e-05,0.0006173501262425557,cb926a457f37b75ada38d96a64376f7164c0537bac6c4c37f2c752bcaf22f061,6b18f2f6b228cf4c9f7ccd6335e8fb8ede8cb105ce9b677575337e5716614440,20.887639451957504
6,APPLAUSE:12565 | APPLAUSE:139011,False,328,345.375,31,29.0625,1.0666666666666667,0.09451219512195122,0.08414766558089033,1.1231707317073172,19,12.125,1.5670103092783505,0.057926829268292686,0.03510676800579081,1.6500188584360072,34,30.1875,4,2.875,0,0.0,8.78348704435661e-05,0.0017189689143879546,9aba3982525d8c54aa238c6951c54f5077aac7601221f605202c99fc3d5a769c,14ec1f42329de91ff0adf5588cf4f8a939e94841815f5cd74d19688777405fbb,20.90926731001385
7,APPLAUSE:12568 | APPLAUSE:139012,False,511,552.125,48,49.6875,0.9660377358490566,0.09393346379647749,0.08999320805976907,1.043783923494443,22,21.1875,1.0383480825958702,0.043052837573385516,0.03837446230473172,1.1219137673253323,11,9.125,1,0.6875,0,0.0,0.00013600238004165074,0.002938882337501987,c93b58afc5c7a1dfd03d98cedc2b55ec45ec0cca3db136b68aafc8b89c064c14,70679a7ac01148cea3e1446a2c51dee6384d38aaa575364ece44c734ce98ea21,20.933841522193713
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,False,11,16.875,0,1.375,0.0,0.0,0.08148148148148149,0.0,0,0.125,0.0,0.0,0.007407407407407408,0.0,46,53.5,5,4.625,0,0.0,0.0,8.132756154093548e-05,d1b50b9a3de8aa6e5b373e2725d7f78cc9783e983401421b8afbde5d01976120,9f8a05c67c64199d7bd4dbf95b6b64ec0a447e07ff04bc03587470273ce58297,20.876856360147734
9,APPLAUSE:12563 | APPLAUSE:139010,False,585,580.875,59,51.0625,1.1554467564259485,0.10085470085470086,0.08790617602754465,1.1472993754511502,34,23.375,1.4545454545454546,0.05811965811965812,0.04024101570905961,1.4442890442890444,25,17.75,2,2.0625,0,0.0,0.00016716959213452902,0.0030202098990429224,7705d0f8ac152f753fd333894493835e25ed3e9d1155d5f2c352da4350024c1b,210bff6bcea0ce6671abe2038ba48d0a9a28f541234451d7d9eb9e922b48fa7b,20.93489658650174
10,APPLAUSE:12566 | APPLAUSE:139011,False,328,345.125,31,28.875,1.0735930735930737,0.09451219512195122,0.08366533864541832,1.129645760743322,19,12.5625,1.5124378109452736,0.057926829268292686,0.03639985512495473,1.5914027423856327,34,29.9375,4,2.875,0,0.0,8.78348704435661e-05,0.0017078787923596453,9485df15176cf4cdd9bbb0f2078aaf40457dac0e2807c82c924445aa98222341,8ff9bc2a7d5eb3bedd8901f783c820a3b427e9c68eb1c171865276ed39ddab5a,20.909035026976586
11,APPLAUSE:12569 | APPLAUSE:139012,False,511,553.25,48,48.5625,0.9884169884169884,0.09393346379647749,0.08777677361048351,1.0701403108448118,22,22.3125,0.9859943977591037,0.043052837573385516,0.0403298689561681,1.0675174179260745,11,8.3125,1,0.625,0,0.0,0.00013600238004165074,0.002872341605332131,8956023a18d9dd4218cfcfe50c6300247d237596210a6df8aa5bb38aad44344a,c016229e80205b221387ac2d3247e67a217f726a72e8d84facccb3e5694de38e,20.932444556488985
