pair_index,canonical_pair,control_jobs_reproduced,control_le3_associations_total,control_le10_associations_total,reference_domain_detector_candidates,required_candidate_cells,cells_already_in_v065_pair_domain,additional_cells_available_globally,missing_ordinary_cells,existing_hpm_query_covers_control_domain
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,16,22,191,9807,1642,93,14,1535,False
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,16,856,9648,554241,2245,2063,101,81,False
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,16,292,3012,66011,2368,1760,0,608,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,16,337,3679,152573,652,601,47,4,False
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,16,337,3679,152573,652,601,47,4,False
6,APPLAUSE:12565 | APPLAUSE:139011,16,493,6009,19417,125,125,0,0,True
7,APPLAUSE:12568 | APPLAUSE:139012,16,790,8980,21570,121,121,0,0,True
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,16,99,1126,19293,164,141,18,5,True
9,APPLAUSE:12563 | APPLAUSE:139010,16,848,9578,30318,158,158,0,0,False
10,APPLAUSE:12566 | APPLAUSE:139011,16,490,6001,19417,125,125,0,0,True
11,APPLAUSE:12569 | APPLAUSE:139012,16,788,8985,21570,121,121,0,0,True
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,16,3553,36317,177931,1210,1199,0,11,True
13,APPLAUSE:13878 | APPLAUSE:139432,16,84476,937784,613951,719,719,0,0,True
14,APPLAUSE:13879 | APPLAUSE:139433,16,63939,707470,537803,742,742,0,0,True
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,16,2774,30848,254443,1309,1308,1,0,False
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,16,1393,14888,106329,459,457,1,1,False
17,APPLAUSE:132654 | APPLAUSE:14120,16,380,4249,43126,505,493,9,3,False
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,16,1393,14888,106329,459,457,1,1,False
19,APPLAUSE:12404 | APPLAUSE:131662,16,680,7147,45499,441,428,10,3,True
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,16,99,1126,19293,164,141,18,5,True
21,APPLAUSE:12562 | APPLAUSE:139010,16,848,9578,30318,158,158,0,0,False
22,APPLAUSE:12570 | APPLAUSE:139012,16,1080,12037,26468,121,121,0,0,True
23,APPLAUSE:12564 | APPLAUSE:139011,16,493,6009,19417,125,125,0,0,True
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,16,224,2462,53742,2399,1942,0,457,False
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,16,5,34,4597,264,16,4,244,False
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,16,717,8015,233938,1961,1810,0,151,False
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,16,1001,11121,507918,1929,1858,59,12,False
28,APPLAUSE:13877 | APPLAUSE:139431,16,26870,296306,311277,628,624,4,0,True
29,APPLAUSE:13876 | APPLAUSE:139430,16,31664,356276,341551,640,633,7,0,False
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,16,37085,414543,360935,599,595,2,2,True
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,16,9843,108156,190734,589,589,0,0,False
32,APPLAUSE:12405 | APPLAUSE:131662,16,680,7147,45499,441,428,10,3,True
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,16,99,1126,19293,164,141,18,5,True
