supplemental_hpm_query_index,pair_index,canonical_pair,query_ra_deg,query_dec_deg,query_radius_deg,pm_min_masyr,j2016_hpm_transport_margin_arcsec,registration_epoch_utc,mode,downstream_action
1,1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,330.7927207646241,12.307434653010295,23.391169758501164,1700.0,915.0,1952-09-16T20:45:30+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
2,2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,294.7252022544581,29.947561234743738,7.896978305837341,1700.0,915.0,1952-08-14T21:11:08.500000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
3,4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,86.5306438234325,8.540747568963985,5.189623814912271,1700.0,915.0,1951-01-30T21:17:51.500000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
4,5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,86.5306438234325,8.540747568963985,5.189623814912271,1700.0,915.0,1951-01-30T21:11:53+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
5,9,APPLAUSE:12563 | APPLAUSE:139010,301.10604359952964,37.593010692320156,2.1944262504014693,1700.0,915.0,1951-09-19T19:22:44+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
6,15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,100.68131186321364,-0.25856679543136324,6.605590979845543,1700.0,915.0,1953-02-15T20:03:56.500000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
7,16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,85.12391454281278,8.838079915151312,4.497780834081316,1700.0,915.0,1951-01-30T21:17:51.500000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
8,17,APPLAUSE:132654 | APPLAUSE:14120,85.14341482291525,9.527499464711836,4.866116903886581,1700.0,915.0,1953-12-02T20:48:58.500000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
9,18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,85.12391454281278,8.838079915151312,4.497780834081316,1700.0,915.0,1951-01-30T21:11:53+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
10,21,APPLAUSE:12562 | APPLAUSE:139010,301.10604359952964,37.593010692320156,2.1944262504014693,1700.0,915.0,1951-09-19T19:17:45+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
11,24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,156.97066214945917,11.054743781081012,9.42164963078206,1700.0,915.0,1952-04-17T20:31:45.100000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
12,25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,332.4845117691613,31.11643729055935,7.350677835036469,1700.0,915.0,1951-09-24T20:20:30+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
13,26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,317.48546645761735,15.76044245753041,7.916154997045006,1700.0,915.0,1952-09-16T20:40:44.050000+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
14,27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,103.32485292912325,-0.3517041828430221,8.0969194651596,1700.0,915.0,1951-02-28T21:07:33+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
15,29,APPLAUSE:13876 | APPLAUSE:139430,299.22691799760037,30.183566859637136,4.505979067202239,1700.0,915.0,1953-08-11T21:36:57+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
16,31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,86.3956336436284,9.69468428159661,4.421369427136938,1700.0,915.0,1951-01-30T21:34:04+00:00,FULL_CONTROL_DOMAIN_HPM_CONE,DEDUPLICATE_SOURCE_ID
