supplemental_query_index,mode,base_cell_ira,base_cell_idec,query_ra_deg,query_dec_deg,query_radius_deg,corrected_margin_arcsec,maxrec,if_maxrec_hit,consumer_pair_count,consumer_pair_indices
1,FULL_NEW_BASE_CELL_CONTROL,312,324,78.125,-8.875,0.21056968136885337,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
2,FULL_NEW_BASE_CELL_CONTROL,312,325,78.125,-8.625,0.2106275973833633,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
3,FULL_NEW_BASE_CELL_CONTROL,312,326,78.125,-8.375,0.21068387768737207,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
4,FULL_NEW_BASE_CELL_CONTROL,313,322,78.375,-9.375,0.2104489534648242,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
5,FULL_NEW_BASE_CELL_CONTROL,313,323,78.375,-9.125,0.21051013243677003,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
6,FULL_NEW_BASE_CELL_CONTROL,313,324,78.375,-8.875,0.21056968136885337,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
7,FULL_NEW_BASE_CELL_CONTROL,313,325,78.375,-8.625,0.2106275973833633,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
8,FULL_NEW_BASE_CELL_CONTROL,313,326,78.375,-8.375,0.21068387768737207,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
9,FULL_NEW_BASE_CELL_CONTROL,313,327,78.375,-8.125,0.21073851956612047,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
10,FULL_NEW_BASE_CELL_CONTROL,313,328,78.375,-7.875,0.21079152038885415,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
11,FULL_NEW_BASE_CELL_CONTROL,313,329,78.375,-7.625,0.21084287760223597,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
12,FULL_NEW_BASE_CELL_CONTROL,313,340,78.375,-4.875,0.21129867975806124,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
13,FULL_NEW_BASE_CELL_CONTROL,313,341,78.375,-4.625,0.2113301440108859,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
14,FULL_NEW_BASE_CELL_CONTROL,313,342,78.375,-4.375,0.21135993882555457,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
15,FULL_NEW_BASE_CELL_CONTROL,313,343,78.375,-4.125,0.21138806277650082,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
16,FULL_NEW_BASE_CELL_CONTROL,313,344,78.375,-3.875,0.21141451452375956,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
17,FULL_NEW_BASE_CELL_CONTROL,313,345,78.375,-3.625,0.21143929280038967,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
18,FULL_NEW_BASE_CELL_CONTROL,313,346,78.375,-3.375,0.211462396428807,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
19,FULL_NEW_BASE_CELL_CONTROL,313,347,78.375,-3.125,0.2114838243061676,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
20,FULL_NEW_BASE_CELL_CONTROL,313,348,78.375,-2.875,0.21150357540834044,125.4,50000,RECURSIVELY_QUARTER_TO_0.03125_DEG_TRANSPORT_ONLY,1,3
