supplemental_query_index,mode,base_cell_ira,base_cell_idec,leaf_key,status,resolved_leaf_queries,cached_rows,compressed_bytes
1,FULL_NEW_BASE_CELL_CONTROL,312,324,,COMPLETE,1,1171,108168
2,FULL_NEW_BASE_CELL_CONTROL,312,325,,COMPLETE,1,1264,116916
3,FULL_NEW_BASE_CELL_CONTROL,312,326,,COMPLETE,1,1165,107300
4,FULL_NEW_BASE_CELL_CONTROL,313,322,,COMPLETE,1,1123,103587
5,FULL_NEW_BASE_CELL_CONTROL,313,323,,COMPLETE,1,1223,112703
6,FULL_NEW_BASE_CELL_CONTROL,313,324,,COMPLETE,1,1217,110639
7,FULL_NEW_BASE_CELL_CONTROL,313,325,,COMPLETE,1,1245,112754
8,FULL_NEW_BASE_CELL_CONTROL,313,326,,COMPLETE,1,1262,115328
9,FULL_NEW_BASE_CELL_CONTROL,313,327,,COMPLETE,1,1255,113637
10,FULL_NEW_BASE_CELL_CONTROL,313,328,,COMPLETE,1,1181,108012
11,FULL_NEW_BASE_CELL_CONTROL,313,329,,COMPLETE,1,1222,112087
12,FULL_NEW_BASE_CELL_CONTROL,313,340,,COMPLETE,1,1215,113211
13,FULL_NEW_BASE_CELL_CONTROL,313,341,,COMPLETE,1,1273,119397
14,FULL_NEW_BASE_CELL_CONTROL,313,342,,COMPLETE,1,1326,123812
15,FULL_NEW_BASE_CELL_CONTROL,313,343,,COMPLETE,1,1353,127306
16,FULL_NEW_BASE_CELL_CONTROL,313,344,,COMPLETE,1,1441,133195
17,FULL_NEW_BASE_CELL_CONTROL,313,345,,COMPLETE,1,1453,134625
18,FULL_NEW_BASE_CELL_CONTROL,313,346,,COMPLETE,1,1409,132875
19,FULL_NEW_BASE_CELL_CONTROL,313,347,,COMPLETE,1,1390,130092
20,FULL_NEW_BASE_CELL_CONTROL,313,348,,COMPLETE,1,1406,130147
21,FULL_NEW_BASE_CELL_CONTROL,313,349,,COMPLETE,1,1481,138462
22,FULL_NEW_BASE_CELL_CONTROL,313,350,,COMPLETE,1,1467,136566
23,FULL_NEW_BASE_CELL_CONTROL,313,351,,COMPLETE,1,1510,141644
24,FULL_NEW_BASE_CELL_CONTROL,313,352,,COMPLETE,1,1430,133810
25,FULL_NEW_BASE_CELL_CONTROL,313,353,,COMPLETE,1,1486,137654
26,FULL_NEW_BASE_CELL_CONTROL,313,354,,COMPLETE,1,1463,136195
27,FULL_NEW_BASE_CELL_CONTROL,313,355,,COMPLETE,1,1545,142676
28,FULL_NEW_BASE_CELL_CONTROL,313,361,,COMPLETE,1,1700,159191
29,FULL_NEW_BASE_CELL_CONTROL,313,362,,COMPLETE,1,1747,161866
30,FULL_NEW_BASE_CELL_CONTROL,313,366,,COMPLETE,1,1771,161573
31,FULL_NEW_BASE_CELL_CONTROL,313,367,,COMPLETE,1,1835,163999
32,FULL_NEW_BASE_CELL_CONTROL,313,368,,COMPLETE,1,1890,170978
33,FULL_NEW_BASE_CELL_CONTROL,313,371,,COMPLETE,1,1960,177961
34,FULL_NEW_BASE_CELL_CONTROL,314,321,,COMPLETE,1,1205,110343
35,FULL_NEW_BASE_CELL_CONTROL,314,322,,COMPLETE,1,1213,111812
36,FULL_NEW_BASE_CELL_CONTROL,314,327,,COMPLETE,1,1278,115877
37,FULL_NEW_BASE_CELL_CONTROL,314,328,,COMPLETE,1,1226,112111
38,FULL_NEW_BASE_CELL_CONTROL,314,340,,COMPLETE,1,1194,112594
39,FULL_NEW_BASE_CELL_CONTROL,314,341,,COMPLETE,1,1262,119529
40,FULL_NEW_BASE_CELL_CONTROL,314,342,,COMPLETE,1,1303,122045
41,FULL_NEW_BASE_CELL_CONTROL,314,343,,COMPLETE,1,1328,124275
42,FULL_NEW_BASE_CELL_CONTROL,314,344,,COMPLETE,1,1365,127208
43,FULL_NEW_BASE_CELL_CONTROL,314,345,,COMPLETE,1,1417,131669
44,FULL_NEW_BASE_CELL_CONTROL,314,346,,COMPLETE,1,1460,136994
45,FULL_NEW_BASE_CELL_CONTROL,314,347,,COMPLETE,1,1415,131282
46,FULL_NEW_BASE_CELL_CONTROL,314,348,,COMPLETE,1,1455,134276
47,FULL_NEW_BASE_CELL_CONTROL,314,349,,COMPLETE,1,1460,136161
48,FULL_NEW_BASE_CELL_CONTROL,314,350,,COMPLETE,1,1434,133990
49,FULL_NEW_BASE_CELL_CONTROL,314,351,,COMPLETE,1,1415,133279
50,FULL_NEW_BASE_CELL_CONTROL,314,352,,COMPLETE,1,1403,132254
51,FULL_NEW_BASE_CELL_CONTROL,314,353,,COMPLETE,1,1406,131485
52,FULL_NEW_BASE_CELL_CONTROL,314,354,,COMPLETE,1,1455,136458
53,FULL_NEW_BASE_CELL_CONTROL,314,367,,COMPLETE,1,1952,173648
54,FULL_NEW_BASE_CELL_CONTROL,315,321,,COMPLETE,1,1192,108521
55,FULL_NEW_BASE_CELL_CONTROL,315,328,,COMPLETE,1,1266,116850
56,FULL_NEW_BASE_CELL_CONTROL,315,340,,COMPLETE,1,1152,108019
57,FULL_NEW_BASE_CELL_CONTROL,315,341,,COMPLETE,1,1233,115274
58,FULL_NEW_BASE_CELL_CONTROL,315,342,,COMPLETE,1,1383,129755
59,FULL_NEW_BASE_CELL_CONTROL,315,343,,COMPLETE,1,1427,133354
60,FULL_NEW_BASE_CELL_CONTROL,315,344,,COMPLETE,1,1396,131247
61,FULL_NEW_BASE_CELL_CONTROL,315,347,,COMPLETE,1,1420,131867
62,FULL_NEW_BASE_CELL_CONTROL,315,348,,COMPLETE,1,1476,136831
63,FULL_NEW_BASE_CELL_CONTROL,315,349,,COMPLETE,1,1483,137428
64,FULL_NEW_BASE_CELL_CONTROL,315,350,,COMPLETE,1,1451,135636
65,FULL_NEW_BASE_CELL_CONTROL,315,351,,COMPLETE,1,1350,127036
66,FULL_NEW_BASE_CELL_CONTROL,315,352,,COMPLETE,1,1364,127846
67,FULL_NEW_BASE_CELL_CONTROL,315,353,,COMPLETE,1,1404,132466
68,FULL_NEW_BASE_CELL_CONTROL,315,354,,COMPLETE,1,1519,142653
69,FULL_NEW_BASE_CELL_CONTROL,315,367,,COMPLETE,1,1977,178233
70,FULL_NEW_BASE_CELL_CONTROL,316,339,,COMPLETE,1,1366,126510
71,FULL_NEW_BASE_CELL_CONTROL,316,340,,COMPLETE,1,1361,126919
72,FULL_NEW_BASE_CELL_CONTROL,316,341,,COMPLETE,1,1346,124752
73,FULL_NEW_BASE_CELL_CONTROL,316,342,,COMPLETE,1,1404,131651
74,FULL_NEW_BASE_CELL_CONTROL,316,343,,COMPLETE,1,1442,134713
75,FULL_NEW_BASE_CELL_CONTROL,316,348,,COMPLETE,1,1430,132862
76,FULL_NEW_BASE_CELL_CONTROL,316,349,,COMPLETE,1,1450,135583
77,FULL_NEW_BASE_CELL_CONTROL,316,350,,COMPLETE,1,1392,131031
78,FULL_NEW_BASE_CELL_CONTROL,316,351,,COMPLETE,1,1464,136659
79,FULL_NEW_BASE_CELL_CONTROL,316,352,,COMPLETE,1,1497,139625
80,FULL_NEW_BASE_CELL_CONTROL,316,353,,COMPLETE,1,1551,145343
81,FULL_NEW_BASE_CELL_CONTROL,316,354,,COMPLETE,1,1560,146446
82,FULL_NEW_BASE_CELL_CONTROL,316,367,,COMPLETE,1,1952,179018
83,FULL_NEW_BASE_CELL_CONTROL,317,320,,COMPLETE,1,1125,104100
84,FULL_NEW_BASE_CELL_CONTROL,317,336,,COMPLETE,1,1258,116341
85,FULL_NEW_BASE_CELL_CONTROL,317,337,,COMPLETE,1,1290,118358
86,FULL_NEW_BASE_CELL_CONTROL,317,338,,COMPLETE,1,1299,120600
87,FULL_NEW_BASE_CELL_CONTROL,317,340,,COMPLETE,1,1349,124987
88,FULL_NEW_BASE_CELL_CONTROL,317,341,,COMPLETE,1,1388,128661
