shift_radius_arcsec,direction,raw_control_le10_associations_sum,raw_control_le3_associations_sum,primary_registered_sum,sparse_diagnostic_registered_sum,unregistered_sum,primary_corrected_le3_sum,sparse_diagnostic_corrected_le3_sum,primary_loo_robust_corrected_le3_sum,primary_loo_crosses_gt3_sum
60.0,N,191253,17334,188867,2383,3,16913,205,14598,2315
60.0,NE,190265,16917,187983,2281,1,16774,205,14413,2361
60.0,E,191227,17556,189151,2075,1,16985,192,14496,2489
60.0,SE,189659,17081,187695,1962,2,16972,174,14557,2415
60.0,S,190395,17050,188490,1901,4,16946,181,14584,2362
60.0,SW,192154,17128,190189,1963,2,16769,167,14427,2342
60.0,W,192771,17238,190753,2013,5,17176,177,14681,2495
60.0,NW,190640,17158,188494,2143,3,16925,223,14438,2487
120.0,N,190141,17254,187987,2150,4,16732,187,14449,2283
120.0,NE,189350,16878,186911,2438,1,16654,211,14278,2376
120.0,E,187989,16778,186066,1923,0,16833,164,14500,2333
120.0,SE,189744,17064,187843,1897,4,16631,172,14376,2255
120.0,S,190311,17280,188485,1823,3,16950,157,14633,2317
120.0,SW,190663,17113,188777,1886,0,17017,155,14587,2430
120.0,W,192705,17712,190795,1910,0,17490,165,14924,2566
120.0,NW,189148,17107,187073,2071,4,16744,181,14414,2330
