canonical_pair,direction,endpoint_a,endpoint_b,pair_index,position_angle_deg_east_of_north,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,shift_radius_arcsec,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,E,APPLAUSE:132099,DASCH:bi05640:exp0,1,90.0,0,0,0,0,0,0,0,0,0,0,0,12,2,60.0,0,12,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,N,APPLAUSE:132099,DASCH:bi05640:exp0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,16,4,60.0,2,16,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,NE,APPLAUSE:132099,DASCH:bi05640:exp0,1,45.0,0,0,0,0,0,0,0,0,0,0,0,11,3,60.0,0,11,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,NW,APPLAUSE:132099,DASCH:bi05640:exp0,1,315.0,0,0,0,0,0,0,0,0,0,0,0,6,1,60.0,1,6,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,S,APPLAUSE:132099,DASCH:bi05640:exp0,1,180.0,0,0,0,0,0,0,0,0,0,0,0,11,0,60.0,1,11,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,SE,APPLAUSE:132099,DASCH:bi05640:exp0,1,135.0,0,0,0,0,0,0,0,0,0,0,0,6,0,60.0,0,6,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,SW,APPLAUSE:132099,DASCH:bi05640:exp0,1,225.0,0,0,0,0,0,0,0,0,0,0,0,9,1,60.0,1,9,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,W,APPLAUSE:132099,DASCH:bi05640:exp0,1,270.0,0,0,0,0,0,0,0,0,0,0,0,18,1,60.0,1,17,1
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,E,APPLAUSE:132099,DASCH:bi05640:exp0,1,90.0,0,0,0,0,0,0,0,0,0,0,0,10,2,120.0,1,10,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,N,APPLAUSE:132099,DASCH:bi05640:exp0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,9,1,120.0,0,9,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,NE,APPLAUSE:132099,DASCH:bi05640:exp0,1,45.0,0,0,0,0,0,0,0,0,0,0,0,11,0,120.0,1,11,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,NW,APPLAUSE:132099,DASCH:bi05640:exp0,1,315.0,0,0,0,0,0,0,0,0,0,0,0,15,2,120.0,0,13,2
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,S,APPLAUSE:132099,DASCH:bi05640:exp0,1,180.0,0,0,0,0,0,0,0,0,0,0,0,17,2,120.0,2,16,1
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,SE,APPLAUSE:132099,DASCH:bi05640:exp0,1,135.0,0,0,0,0,0,0,0,0,0,0,0,11,1,120.0,2,11,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,SW,APPLAUSE:132099,DASCH:bi05640:exp0,1,225.0,0,0,0,0,0,0,0,0,0,0,0,18,0,120.0,0,18,0
APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,W,APPLAUSE:132099,DASCH:bi05640:exp0,1,270.0,0,0,0,0,0,0,0,0,0,0,0,11,2,120.0,1,11,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,E,APPLAUSE:13623,DASCH:bi05607:exp0,2,90.0,2,2,0,2,7,0,50,9,15,26,0,593,59,60.0,57,543,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,N,APPLAUSE:13623,DASCH:bi05607:exp0,2,0.0,6,5,1,6,2,0,41,4,9,28,0,646,51,60.0,55,605,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,NE,APPLAUSE:13623,DASCH:bi05607:exp0,2,45.0,5,4,1,2,6,3,49,4,10,35,0,610,58,60.0,50,561,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,NW,APPLAUSE:13623,DASCH:bi05607:exp0,2,315.0,3,3,0,3,6,0,55,5,13,37,0,609,62,60.0,56,554,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,S,APPLAUSE:13623,DASCH:bi05607:exp0,2,180.0,2,1,1,2,2,0,37,0,21,16,0,587,50,60.0,45,550,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,SE,APPLAUSE:13623,DASCH:bi05607:exp0,2,135.0,4,3,1,4,5,0,47,3,14,30,0,604,52,60.0,46,557,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,SW,APPLAUSE:13623,DASCH:bi05607:exp0,2,225.0,1,1,0,1,5,0,46,7,9,30,0,605,45,60.0,47,559,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,W,APPLAUSE:13623,DASCH:bi05607:exp0,2,270.0,2,1,1,2,5,0,51,9,11,31,0,594,55,60.0,49,543,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,E,APPLAUSE:13623,DASCH:bi05607:exp0,2,90.0,6,5,1,6,2,0,46,3,13,30,0,544,45,120.0,47,498,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,N,APPLAUSE:13623,DASCH:bi05607:exp0,2,0.0,4,4,0,3,7,1,45,3,14,28,0,607,52,120.0,44,562,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,NE,APPLAUSE:13623,DASCH:bi05607:exp0,2,45.0,4,4,0,4,5,0,48,5,11,32,0,577,64,120.0,53,529,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,NW,APPLAUSE:13623,DASCH:bi05607:exp0,2,315.0,4,4,0,4,5,0,58,3,10,45,0,645,63,120.0,62,587,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,S,APPLAUSE:13623,DASCH:bi05607:exp0,2,180.0,6,5,1,5,2,1,48,2,23,23,0,624,48,120.0,44,576,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,SE,APPLAUSE:13623,DASCH:bi05607:exp0,2,135.0,2,2,0,1,2,1,45,1,16,28,0,617,47,120.0,51,572,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,SW,APPLAUSE:13623,DASCH:bi05607:exp0,2,225.0,6,4,2,4,3,2,40,3,7,30,0,598,60,120.0,55,558,0
APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,W,APPLAUSE:13623,DASCH:bi05607:exp0,2,270.0,5,4,1,5,1,0,40,4,7,29,0,588,45,120.0,48,548,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,E,APPLAUSE:131892,DASCH:ax04674:exp0,3,90.0,0,0,0,0,1,0,3,0,1,2,0,218,26,60.0,22,215,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,N,APPLAUSE:131892,DASCH:ax04674:exp0,3,0.0,0,0,0,0,0,0,5,0,1,4,0,190,16,60.0,18,185,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,NE,APPLAUSE:131892,DASCH:ax04674:exp0,3,45.0,2,2,0,2,1,0,10,0,3,7,0,186,20,60.0,16,176,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,NW,APPLAUSE:131892,DASCH:ax04674:exp0,3,315.0,0,0,0,0,0,0,8,0,2,6,0,180,16,60.0,13,172,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,S,APPLAUSE:131892,DASCH:ax04674:exp0,3,180.0,0,0,0,0,0,0,10,0,1,9,0,171,16,60.0,12,161,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,SE,APPLAUSE:131892,DASCH:ax04674:exp0,3,135.0,0,0,0,0,0,0,3,0,0,3,0,163,15,60.0,13,160,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,SW,APPLAUSE:131892,DASCH:ax04674:exp0,3,225.0,1,1,0,1,0,0,6,0,1,5,0,162,13,60.0,11,156,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,W,APPLAUSE:131892,DASCH:ax04674:exp0,3,270.0,0,0,0,0,0,0,2,0,0,2,0,174,14,60.0,12,172,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,E,APPLAUSE:131892,DASCH:ax04674:exp0,3,90.0,0,0,0,0,0,0,3,0,0,3,0,179,13,120.0,17,176,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,N,APPLAUSE:131892,DASCH:ax04674:exp0,3,0.0,1,1,0,1,0,0,6,0,3,3,0,232,30,120.0,27,226,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,NE,APPLAUSE:131892,DASCH:ax04674:exp0,3,45.0,0,0,0,0,2,0,9,0,0,9,0,213,27,120.0,25,204,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,NW,APPLAUSE:131892,DASCH:ax04674:exp0,3,315.0,1,1,0,1,0,0,7,1,2,4,0,188,19,120.0,18,181,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,S,APPLAUSE:131892,DASCH:ax04674:exp0,3,180.0,0,0,0,0,0,0,7,0,1,6,0,179,19,120.0,14,172,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,SE,APPLAUSE:131892,DASCH:ax04674:exp0,3,135.0,1,1,0,1,1,0,6,0,1,5,0,208,18,120.0,22,202,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,SW,APPLAUSE:131892,DASCH:ax04674:exp0,3,225.0,1,1,0,1,0,0,6,0,2,4,0,188,17,120.0,23,182,0
APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,W,APPLAUSE:131892,DASCH:ax04674:exp0,3,270.0,1,1,0,1,0,0,6,0,3,3,0,181,13,120.0,11,175,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,E,DASCH:bi05352:exp0,APPLAUSE:11788,4,90.0,10,9,1,10,7,0,158,17,64,77,0,236,11,60.0,5,78,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,N,DASCH:bi05352:exp0,APPLAUSE:11788,4,0.0,9,9,0,8,9,1,114,14,54,46,0,202,15,60.0,6,87,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NE,DASCH:bi05352:exp0,APPLAUSE:11788,4,45.0,13,12,1,8,8,5,136,18,56,62,0,247,25,60.0,8,111,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NW,DASCH:bi05352:exp0,APPLAUSE:11788,4,315.0,10,10,0,8,14,2,141,12,61,68,0,244,22,60.0,8,102,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,S,DASCH:bi05352:exp0,APPLAUSE:11788,4,180.0,9,9,0,5,8,4,112,7,46,59,0,209,26,60.0,13,95,2
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SE,DASCH:bi05352:exp0,APPLAUSE:11788,4,135.0,13,13,0,11,9,2,109,6,44,59,0,210,24,60.0,7,100,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SW,DASCH:bi05352:exp0,APPLAUSE:11788,4,225.0,15,14,1,14,7,1,114,13,40,61,0,200,18,60.0,7,85,1
