pair_index,canonical_pair,raw_control_le10_associations_all_jobs,raw_control_le3_associations_all_jobs,primary_registered_all_jobs,sparse_diagnostic_registered_all_jobs,unregistered_all_jobs,primary_corrected_le3_all_jobs,sparse_diagnostic_corrected_le3_all_jobs,primary_loo_robust_corrected_le3_all_jobs,primary_loo_crosses_gt3_all_jobs
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,191,22,0,187,4,0,13,0,0
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,9648,856,746,8902,0,62,809,10,52
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,3012,292,97,2915,0,8,274,0,8
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,3679,337,2138,1527,14,167,127,9,158
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,3679,337,2138,1527,14,167,127,9,158
6,APPLAUSE:12565 | APPLAUSE:139011,6009,493,5526,483,0,465,46,194,271
7,APPLAUSE:12568 | APPLAUSE:139012,8980,790,8834,146,0,795,11,339,456
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,1126,99,270,856,0,22,74,2,20
9,APPLAUSE:12563 | APPLAUSE:139010,9578,848,9294,284,0,817,33,374,443
10,APPLAUSE:12566 | APPLAUSE:139011,6001,490,5522,479,0,462,46,201,261
11,APPLAUSE:12569 | APPLAUSE:139012,8985,788,8852,133,0,777,10,357,420
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,36317,3553,34840,1477,0,3627,134,1862,1765
13,APPLAUSE:13878 | APPLAUSE:139432,937784,84476,937784,0,0,84580,0,80022,4558
14,APPLAUSE:13879 | APPLAUSE:139433,707470,63939,707470,0,0,63731,0,58836,4895
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,30848,2774,30781,67,0,2582,6,664,1918
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,14888,1393,14872,16,0,1231,1,180,1051
17,APPLAUSE:132654 | APPLAUSE:14120,4249,380,4248,1,0,303,0,150,153
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,14888,1393,14872,16,0,1231,1,180,1051
19,APPLAUSE:12404 | APPLAUSE:131662,7147,680,6109,1038,0,556,103,288,268
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,1126,99,270,856,0,22,74,2,20
21,APPLAUSE:12562 | APPLAUSE:139010,9578,848,9294,284,0,817,33,374,443
22,APPLAUSE:12570 | APPLAUSE:139012,12037,1080,12029,8,0,1055,2,567,488
23,APPLAUSE:12564 | APPLAUSE:139011,6009,493,5526,483,0,465,46,194,271
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,2462,224,1126,1336,0,52,112,6,46
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,34,5,0,33,1,0,6,0,0
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,8015,717,2141,5874,0,188,478,29,159
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,11121,1001,9120,1997,4,765,173,144,621
28,APPLAUSE:13877 | APPLAUSE:139431,296306,26870,296306,0,0,26438,0,22092,4346
29,APPLAUSE:13876 | APPLAUSE:139430,356276,31664,356276,0,0,32022,0,27388,4634
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,414543,37085,414543,0,0,37164,0,34587,2577
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,108156,9843,108156,0,0,9362,0,3005,6357
32,APPLAUSE:12405 | APPLAUSE:131662,7147,680,6109,1038,0,556,103,288,268
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,1126,99,270,856,0,22,74,2,20
