canonical_pair,pair_family,time_gate,physical_overlap_s,side,endpoint,exposure_id,plate_id,archive_id,archive_name,institute,obs_start_utc,obs_end_utc,exposure_ra_icrs,exposure_dec_icrs,v052_geometry_status,official_solution_row_count,polygonable_solution_count,official_stc_polygon_solution_count,header_wcs_derived_polygon_solution_count,nearest_solution_id_by_exposure_center,nearest_scan_id_by_exposure_center,nearest_solution_num_by_exposure_center,nearest_exposure_center_sep_deg,v058_metadata_resolution_state,v052_classification_changed
APPLAUSE:115011 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,APPLAUSE <-> DASCH,LE5_MIN,120.0,b,APPLAUSE:115011,115011,66353,111,,,1954-02-05 01:08:26,1954-02-05 01:10:26,153.6471,27.4198,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:12414 | APPLAUSE:139005,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,b,APPLAUSE:139005,139005,95875,501,,,1951-09-01 21:04:00,1951-09-01 21:44:00,303.6933,36.8,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:115048 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,APPLAUSE <-> DASCH,LE5_MIN,359.0,b,APPLAUSE:115048,115048,66362,111,,,1954-02-06 01:07:30,1954-02-06 01:13:29,135.6814,27.2329,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:12422 | APPLAUSE:139006,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,b,APPLAUSE:139006,139006,95876,501,,,1951-09-01 21:49:00,1951-09-01 22:21:00,303.6933,36.8,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:115054 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,APPLAUSE <-> DASCH,LE5_MIN,359.0,b,APPLAUSE:115054,115054,66364,111,,,1954-02-06 02:06:20,1954-02-06 02:12:19,148.9065,27.2467,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:132097 | DASCH:ivo://org.gavo.dc/~?dasch/q/b76371,APPLAUSE <-> DASCH,LE5_MIN,2700.0,b,APPLAUSE:132097,132097,89024,208,,,1952-09-16 19:13:00,1952-09-16 20:10:00,285.5965,0.0702,UNRESOLVED_APPLAUSE_SOLUTION_EXPOSURE_ASSOCIATION,1,1,1,0,110940,113574,1,10.198333697550337,UNIQUE_POLYGONABLE_OFFICIAL_SOLUTION,False
APPLAUSE:12404 | APPLAUSE:139004,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,b,APPLAUSE:139004,139004,95874,501,,,1951-09-01 20:18:00,1951-09-01 20:54:00,298.9175,39.3308,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:12405 | APPLAUSE:139004,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,a,APPLAUSE:139004,139004,95874,501,,,1951-09-01 20:18:00,1951-09-01 20:54:00,298.9175,39.3308,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:12423 | APPLAUSE:139006,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,a,APPLAUSE:139006,139006,95876,501,,,1951-09-01 21:49:00,1951-09-01 22:21:00,303.6933,36.8,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
APPLAUSE:12415 | APPLAUSE:139005,APPLAUSE <-> APPLAUSE,LE5_MIN,30.0,a,APPLAUSE:139005,139005,95875,501,,,1951-09-01 21:04:00,1951-09-01 21:44:00,303.6933,36.8,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,0,0,0,0,,,,,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,False
