plate_id,archive_id,scan_id,filename_scan,naxis1,naxis2,endpoint_occurrences,unique_exposure_count,exposure_ids,v058_states,process_row_count_exact_scan,completed_process_row_count,solved_process_row_count,positive_num_solutions_process_row_count,solution_set_row_count_exact_scan,positive_solution_set_row_count,usable_solution_set_wcs_count,solution_set_wcs_inventory_json,v059_plate_state,v052_or_v058_classification_changed
6875,101,8924,DR4/scans/HAM-LA/LA07332_x.fits,12496,17105,1,1,11782,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
7752,101,47483,DR4/scans/HAM-LA-OP/LA08234_y.fits,11448,8552,1,1,14206,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,0,0,0,0,0,0,0,[],NO_PROCESS_ROW_FOR_EXACT_SCAN,False
66353,111,74100,DR4/scans/HAM-SS/SS01700_x.fits,8432,8467,4,4,115010;115011;115012;115013,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
66354,111,74101,DR4/scans/HAM-SS/SS01701_x.fits,8432,8405,2,2,115016;115017,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
66355,111,74102,DR4/scans/HAM-SS/SS01702_x.fits,8432,8467,2,2,115018;115021,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
66356,111,74103,DR4/scans/HAM-SS/SS01703_x.fits,8432,8405,1,1,115022,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
66362,111,74109,DR4/scans/HAM-SS/SS01709_x.fits,8464,8467,4,4,115046;115047;115048;115049,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
66364,111,74111,DR4/scans/HAM-SS/SS01711_x.fits,8464,8467,2,2,115054;115055,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
89024,208,113574,DR4/scans/Bamberg-North/012087_1952_h.fits,8111,10780,1,1,132097,UNIQUE_POLYGONABLE_OFFICIAL_SOLUTION,1,1,1,1,2,2,2,"[{""num_solutions"": 1, ""polygon_icrs_deg"": [[300.82654074215134, -11.337903737418555], [302.5741567144618, 31.364165197941986], [265.2033364378697, 30.8191446496289], [268.247764754585, -11.969959222865993]], ""process_id"": 103595, ""provenance"": ""SOLUTION_SET_HEADER_WCS_PLUS_EXACT_SCAN_DIMENSIONS"", ""solutionset_id"": 94143}, {""num_solutions"": 1, ""polygon_icrs_deg"": [[300.8506053692618, -11.333520528766671], [302.62443084664557, 31.3778673520867], [265.19593754579273, 30.828410940148768], [268.2213765894349, -11.980578363559554]], ""process_id"": 103596, ""provenance"": ""SOLUTION_SET_HEADER_WCS_PLUS_EXACT_SCAN_DIMENSIONS"", ""solutionset_id"": 90977}]",V058_OFFICIAL_SOLUTION_ALREADY_PRESENT,False
95874,501,120359,DR4/scans/Vatican-DoubleAstro/A1565_1600.fits,11202,15042,5,1,139004,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
95875,501,120360,DR4/scans/Vatican-DoubleAstro/A1566_1600.fits,14674,11317,6,1,139005,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
95876,501,120361,DR4/scans/Vatican-DoubleAstro/A1567_1600.fits,14672,11278,6,1,139006,NO_OFFICIAL_SOLUTION_ROWS_FOR_PHYSICAL_PLATE,1,1,0,0,0,0,0,[],PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,False
