plate_id,archive_id,scan_id,process_id,v059_plate_state,plate_num,plate_num_orig,series,instrument,method_code,plate_size1_cm,plate_size2_cm,ota_foclen_m,ota_scale_arcsec_per_mm,naxis1,naxis2,scanner,pixel_size1_um,pixel_size2_um,scan_fov1_prior_deg,scan_fov2_prior_deg,physical_plate_fov1_prior_deg,physical_plate_fov2_prior_deg,pointing_ra_deg,pointing_dec_deg,max_pointing_spread_deg,process_num_sources,top_clean_centroids_returned,top_clean_sextractor_flags0_count,top_clean_model_prediction_ge_0p9_count,top_clean_both_count,existing_source_xmatch_sample_rows,existing_source_xmatch_diagnostic_status,v060_rescue_readiness,solver_run,science_pixels_read
6875,101,8924,8950,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,LA07332,,,,2,13.0,18.0,1.5,137.5,12496,17105,Epson Expression 10000XL,10.58329963684082,10.58329963684082,5.051173732227749,6.914238691561752,4.965277777777778,6.875,68.9063,17.2147,0.0,31789,1000,777,765,686,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
7752,101,47483,,NO_PROCESS_ROW_FOR_EXACT_SCAN,LA08234,,,,4,9.0,12.0,1.5,137.5,11448,8552,Epson Expression 10000XL,10.58329963684082,10.58329963684082,4.627547766208648,3.456917234155867,3.4375,4.583333333333333,156.2945,28.8147,0.0,,0,0,0,0,0,NOT_APPLICABLE_NO_PROCESS,PIXEL_SOURCE_EXTRACTION_REQUIRED_NO_APPLAUSE_PROCESS,False,False
66353,111,74100,72670,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01700,,,,2,,,0.6200000047683716,330.0,8432,8467,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.180185065968832,8.214139818970363,,,153.6471,27.4198,0.0,2240,1000,932,139,127,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
66354,111,74101,72671,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01701,,,,2,,,0.6200000047683716,330.0,8432,8405,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.180185065968832,8.15399139936765,,,158.3868,27.5111,0.0,1733,1000,972,131,125,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
66355,111,74102,72672,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01702,,,,2,,,0.6200000047683716,330.0,8432,8467,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.180185065968832,8.214139818970363,,,162.3773,27.3051,0.0,1450,1000,918,145,134,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
66356,111,74103,72673,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01703,,,,2,,,0.6200000047683716,330.0,8432,8405,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.180185065968832,8.15399139936765,,,198.29199999999997,27.3393,2.2825039031414435e-14,1398,854,808,106,98,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
66362,111,74109,72679,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01709,,,,2,,,0.6200000047683716,330.0,8464,8467,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.211229411570232,8.214139818970363,,,135.6814,27.232900000000004,3.1805546814635168e-15,1716,1000,951,140,133,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
66364,111,74111,72681,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,SS01711,,,,2,,,0.6200000047683716,330.0,8464,8467,Epson Expression 10000XL,10.58329963684082,10.58329963684082,8.211229411570232,8.214139818970363,,,148.9065,27.2467,0.0,1920,1000,944,133,123,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
95874,501,120359,110382,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,A1565,,,,4,,,,,11202,15042,EPSON TWAIN Pro,,,,,,,298.9175,39.3308,0.0,64340,1000,104,439,49,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
95875,501,120360,110383,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,A1566,,,,4,,,,,14674,11317,EPSON TWAIN Pro,,,,,,,303.6933,36.800000000000004,9.54166404439055e-15,63204,1000,92,213,53,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
95876,501,120361,110384,PROCESS_COMPLETED_ASTROMETRICALLY_UNSOLVED,A1567,,,,4,,,,,14672,11278,EPSON TWAIN Pro,,,,,,,303.6933,36.800000000000004,9.54166404439055e-15,59119,1000,74,281,45,0,XMATCH_DIAGNOSTIC_UNAVAILABLE,OFFICIAL_CENTROID_CATALOGUE_READY_FOR_PROSPECTIVE_SOLVER,False,False
