global_query_index,cell_ira,cell_idec,consumer_pair_count,consumer_pair_indices,status,resolved_leaf_queries,cached_rows_across_leaves
1,314,331,1,3,COMPLETE,1,1292
2,314,337,1,3,COMPLETE,1,1314
3,314,359,1,3,COMPLETE,1,1604
4,314,374,1,3,COMPLETE,1,1992
5,315,334,1,3,COMPLETE,1,1249
6,315,357,1,3,COMPLETE,1,1630
7,315,360,1,3,COMPLETE,1,1645
8,315,364,1,3,COMPLETE,1,1764
9,315,370,1,3,COMPLETE,1,1895
10,316,323,1,3,COMPLETE,1,1179
11,316,325,1,3,COMPLETE,1,1251
12,316,333,1,3,COMPLETE,1,1225
13,316,361,1,3,COMPLETE,1,1754
14,316,374,1,3,COMPLETE,1,2029
15,317,329,1,3,COMPLETE,1,1304
16,317,333,1,3,COMPLETE,1,1267
17,317,346,1,3,COMPLETE,1,1382
18,317,371,1,3,COMPLETE,1,1926
19,318,325,1,3,COMPLETE,1,1219
20,318,329,1,3,COMPLETE,1,1306
21,318,330,1,3,COMPLETE,1,1291
22,319,332,1,3,COMPLETE,1,1352
23,319,339,1,3,COMPLETE,1,1242
24,319,354,1,3,COMPLETE,1,1645
25,319,369,1,3,COMPLETE,1,2041
26,320,331,1,3,COMPLETE,1,1314
27,320,333,1,3,COMPLETE,1,1356
28,320,339,1,3,COMPLETE,1,1311
29,320,340,1,3,COMPLETE,1,1318
30,320,362,1,3,COMPLETE,1,1894
31,321,332,1,3,COMPLETE,1,1339
32,321,335,1,3,COMPLETE,1,1385
33,321,359,1,3,COMPLETE,1,1907
34,321,362,1,3,COMPLETE,1,1893
35,321,368,1,3,COMPLETE,1,2011
36,322,325,1,3,COMPLETE,1,1294
37,322,334,1,3,COMPLETE,1,1528
38,322,340,1,3,COMPLETE,1,1501
39,322,347,1,3,COMPLETE,1,1550
40,322,359,1,3,COMPLETE,1,1945
41,322,365,1,3,COMPLETE,1,2163
42,322,369,1,3,COMPLETE,1,2184
43,322,371,1,3,COMPLETE,1,2234
44,323,322,1,3,COMPLETE,1,1290
45,323,323,1,3,COMPLETE,1,1252
46,323,326,1,3,COMPLETE,1,1344
47,323,333,1,3,COMPLETE,1,1491
48,323,347,1,3,COMPLETE,1,1660
49,323,350,1,3,COMPLETE,1,1559
50,323,354,1,3,COMPLETE,1,1779
51,323,364,1,3,COMPLETE,1,2212
52,324,338,1,3,COMPLETE,1,1578
53,324,346,1,3,COMPLETE,1,1640
54,324,353,1,3,COMPLETE,1,1815
55,324,360,1,3,COMPLETE,1,1980
56,324,369,1,3,COMPLETE,1,2268
57,324,370,1,3,COMPLETE,1,2262
58,325,324,1,3,COMPLETE,1,1410
59,325,325,1,3,COMPLETE,1,1364
60,325,336,1,3,COMPLETE,1,1575
61,325,340,1,3,COMPLETE,1,1629
62,325,357,1,3,COMPLETE,1,2027
63,325,358,1,3,COMPLETE,1,2057
64,326,341,1,3,COMPLETE,1,1627
65,326,370,1,3,COMPLETE,1,2356
66,326,371,1,3,COMPLETE,1,2375
67,327,355,1,3,COMPLETE,1,1894
68,327,363,1,3,COMPLETE,1,2275
69,327,369,1,3,COMPLETE,1,2496
70,328,334,1,3,COMPLETE,1,1641
71,328,348,1,3,COMPLETE,1,1666
72,328,362,1,3,COMPLETE,1,2222
73,329,326,1,3,COMPLETE,1,1425
74,329,359,1,3,COMPLETE,1,2106
75,329,364,1,3,COMPLETE,1,2459
76,330,350,1,3,COMPLETE,1,1678
77,330,354,1,3,COMPLETE,1,1862
78,330,355,1,3,COMPLETE,1,1701
79,330,357,1,3,COMPLETE,1,1860
80,330,359,1,3,COMPLETE,1,2109
81,330,360,1,3,COMPLETE,1,2135
82,330,361,1,3,COMPLETE,1,2259
83,330,362,1,3,COMPLETE,1,2281
84,331,326,1,3,COMPLETE,1,1452
85,331,358,1,3,COMPLETE,1,2102
86,332,340,1,3,COMPLETE,1,1069
87,332,361,1,3,COMPLETE,1,2522
88,332,373,1,3,COMPLETE,1,2477
89,333,342,1,3,COMPLETE,1,1570
90,333,350,1,3,COMPLETE,1,1855
91,333,365,1,3,COMPLETE,1,2280
92,333,372,1,3,COMPLETE,1,2683
93,334,332,1,3,COMPLETE,1,1297
94,334,345,1,3,COMPLETE,1,1480
95,334,356,1,3,COMPLETE,1,2232
96,334,371,1,3,COMPLETE,1,2664
97,335,332,1,3,COMPLETE,1,843
98,335,333,1,3,COMPLETE,1,565
99,335,340,1,3,COMPLETE,1,1128
100,335,352,1,3,COMPLETE,1,2281
101,335,355,1,3,COMPLETE,1,2309
102,335,363,1,3,COMPLETE,1,2323
103,335,368,1,3,COMPLETE,1,2645
104,335,382,3,16;17;18,COMPLETE,1,2434
105,335,383,5,4;5;16;17;18,COMPLETE,1,2511
106,335,384,5,4;5;16;17;18,COMPLETE,1,2640
107,335,385,5,4;5;16;17;18,COMPLETE,1,2691
