global_hpm_query_index,query_ra_deg,query_dec_deg,query_radius_deg,pm_min_masyr,j2016_margin_arcsec,consumer_pair_count,consumer_pair_indices,source_v063_row_count
1,83.570476494392,-3.000567182463,8.523598350737,1700.0,900.0,1,3,1
2,84.944870129297,8.800647647902,4.132959584299,1700.0,900.0,2,16;18,2
3,85.206849190454,9.012300205491,3.865014515826,1700.0,900.0,1,17,1
4,85.81333035088,9.444349762032,4.446683005469,1700.0,900.0,1,31,1
5,86.58513712746,8.184425955586,4.945486419846,1700.0,900.0,2,4;5,2
6,100.662471768653,-0.265356603204,6.087342989343,1700.0,900.0,1,15,1
7,104.141451080627,-1.102281295111,8.770066367859,1700.0,900.0,1,27,1
8,157.229303428848,10.047398442731,7.911629948063,1700.0,900.0,1,24,1
9,285.335955599483,12.318489367356,6.295530874269,1700.0,900.0,1,12,1
10,294.156632498133,31.038911650756,4.495720030051,1700.0,900.0,1,13,1
11,294.27197763936,31.085422576543,4.627709765386,1700.0,900.0,1,14,1
12,294.371654847273,30.233234188835,7.73457169666,1700.0,900.0,1,2,1
13,298.896873637143,30.191753346961,4.1866469097,1700.0,900.0,1,29,1
14,298.966962833501,30.248305525527,4.26686010528,1700.0,900.0,1,28,1
15,300.354658849738,30.498143346847,3.898641417268,1700.0,900.0,1,30,1
16,301.528875532398,37.58113717289,2.001455761208,1700.0,900.0,3,6;10;23,3
17,301.83150341062,36.306380093064,2.891792956772,1700.0,900.0,2,19;32,2
18,301.854984179719,37.525154881053,2.24598605546,1700.0,900.0,1,22,1
19,301.866457722892,37.560645765808,2.263521295351,1700.0,900.0,2,7;11,2
20,301.891522961155,37.690647316647,2.267267538773,1700.0,900.0,2,9;21,2
21,301.981420304942,34.402058796553,2.305872258193,1700.0,900.0,3,8;20;33,3
22,317.768313060021,16.344658122369,7.870752757293,1700.0,900.0,1,26,1
23,330.232820012169,21.242282002618,11.835904754513,1700.0,900.0,1,1,1
24,331.9509018081,32.398827900436,0.25,1700.0,900.0,1,25,1
