global_query_index,cell_ira,cell_idec,cell_size_deg,query_ra_deg,query_dec_deg,query_radius_deg,ordinary_j2016_margin_arcsec,maxrec,consumer_pair_count,consumer_pair_indices,source_v063_row_count
1,314,331,0.25,78.625,-7.125,0.209440651395,120.0,50000,1,3,1
2,314,337,0.25,78.625,-5.625,0.209694285807,120.0,50000,1,3,1
3,314,359,0.25,78.625,-0.125,0.210109958514,120.0,50000,1,3,1
4,314,374,0.25,78.625,3.625,0.2099392928,120.0,50000,1,3,1
5,315,334,0.25,78.875,-6.375,0.209574925868,120.0,50000,1,3,1
6,315,357,0.25,78.875,-0.625,0.210105751621,120.0,50000,1,3,1
7,315,360,0.25,78.875,0.125,0.210109958514,120.0,50000,1,3,1
8,315,364,0.25,78.875,1.125,0.210094814478,120.0,50000,1,3,1
9,315,370,0.25,78.875,2.625,0.210021648794,120.0,50000,1,3,1
10,316,323,0.25,79.125,-9.125,0.209010132437,120.0,50000,1,3,1
11,316,325,0.25,79.125,-8.625,0.209127597383,120.0,50000,1,3,1
12,316,333,0.25,79.125,-6.625,0.209531822153,120.0,50000,1,3,1
13,316,361,0.25,79.125,0.375,0.210108696429,120.0,50000,1,3,1
14,316,374,0.25,79.125,3.625,0.2099392928,120.0,50000,1,3,1
15,317,329,0.25,79.375,-7.625,0.209342877602,120.0,50000,1,3,1
16,317,333,0.25,79.375,-6.625,0.209531822153,120.0,50000,1,3,1
17,317,346,0.25,79.375,-3.375,0.209962396429,120.0,50000,1,3,1
18,317,371,0.25,79.375,2.875,0.210003575408,120.0,50000,1,3,1
19,318,325,0.25,79.625,-8.625,0.209127597383,120.0,50000,1,3,1
20,318,329,0.25,79.625,-7.625,0.209342877602,120.0,50000,1,3,1
21,318,330,0.25,79.625,-7.375,0.209392588736,120.0,50000,1,3,1
22,319,332,0.25,79.875,-6.875,0.209487063275,120.0,50000,1,3,1
23,319,339,0.25,79.875,-5.125,0.209765547572,120.0,50000,1,3,1
24,319,354,0.25,79.875,-1.375,0.210086822662,120.0,50000,1,3,1
25,319,369,0.25,79.875,2.375,0.21003804361,120.0,50000,1,3,1
26,320,331,0.25,80.125,-7.125,0.209440651395,120.0,50000,1,3,1
27,320,333,0.25,80.125,-6.625,0.209531822153,120.0,50000,1,3,1
28,320,339,0.25,80.125,-5.125,0.209765547572,120.0,50000,1,3,1
29,320,340,0.25,80.125,-4.875,0.209798679758,120.0,50000,1,3,1
30,320,362,0.25,80.125,0.625,0.210105751621,120.0,50000,1,3,1
31,321,332,0.25,80.375,-6.875,0.209487063275,120.0,50000,1,3,1
32,321,335,0.25,80.375,-6.125,0.20961637236,120.0,50000,1,3,1
33,321,359,0.25,80.375,-0.125,0.210109958514,120.0,50000,1,3,1
34,321,362,0.25,80.375,0.625,0.210105751621,120.0,50000,1,3,1
35,321,368,0.25,80.375,2.125,0.210052759062,120.0,50000,1,3,1
36,322,325,0.25,80.625,-8.625,0.209127597383,120.0,50000,1,3,1
37,322,334,0.25,80.625,-6.375,0.209574925868,120.0,50000,1,3,1
38,322,340,0.25,80.625,-4.875,0.209798679758,120.0,50000,1,3,1
39,322,347,0.25,80.625,-3.125,0.209983824306,120.0,50000,1,3,1
40,322,359,0.25,80.625,-0.125,0.210109958514,120.0,50000,1,3,1
41,322,365,0.25,80.625,1.375,0.210086822662,120.0,50000,1,3,1
42,322,369,0.25,80.625,2.375,0.21003804361,120.0,50000,1,3,1
43,322,371,0.25,80.625,2.875,0.210003575408,120.0,50000,1,3,1
44,323,322,0.25,80.875,-9.375,0.208948953465,120.0,50000,1,3,1
45,323,323,0.25,80.875,-9.125,0.209010132437,120.0,50000,1,3,1
46,323,326,0.25,80.875,-8.375,0.209183877687,120.0,50000,1,3,1
47,323,333,0.25,80.875,-6.625,0.209531822153,120.0,50000,1,3,1
48,323,347,0.25,80.875,-3.125,0.209983824306,120.0,50000,1,3,1
49,323,350,0.25,80.875,-2.375,0.21003804361,120.0,50000,1,3,1
50,323,354,0.25,80.875,-1.375,0.210086822662,120.0,50000,1,3,1
51,323,364,0.25,80.875,1.125,0.210094814478,120.0,50000,1,3,1
52,324,338,0.25,81.125,-5.375,0.209730749034,120.0,50000,1,3,1
53,324,346,0.25,81.125,-3.375,0.209962396429,120.0,50000,1,3,1
54,324,353,0.25,81.125,-1.625,0.210077149172,120.0,50000,1,3,1
55,324,360,0.25,81.125,0.125,0.210109958514,120.0,50000,1,3,1
56,324,369,0.25,81.125,2.375,0.21003804361,120.0,50000,1,3,1
57,324,370,0.25,81.125,2.625,0.210021648794,120.0,50000,1,3,1
58,325,324,0.25,81.375,-8.875,0.209069681369,120.0,50000,1,3,1
59,325,325,0.25,81.375,-8.625,0.209127597383,120.0,50000,1,3,1
60,325,336,0.25,81.375,-5.875,0.209656159643,120.0,50000,1,3,1
61,325,340,0.25,81.375,-4.875,0.209798679758,120.0,50000,1,3,1
62,325,357,0.25,81.375,-0.625,0.210105751621,120.0,50000,1,3,1
63,325,358,0.25,81.375,-0.375,0.210108696429,120.0,50000,1,3,1
64,326,341,0.25,81.625,-4.625,0.209830144011,120.0,50000,1,3,1
65,326,370,0.25,81.625,2.625,0.210021648794,120.0,50000,1,3,1
66,326,371,0.25,81.625,2.875,0.210003575408,120.0,50000,1,3,1
67,327,355,0.25,81.875,-1.125,0.210094814478,120.0,50000,1,3,1
68,327,363,0.25,81.875,0.875,0.210101124232,120.0,50000,1,3,1
69,327,369,0.25,81.875,2.375,0.21003804361,120.0,50000,1,3,1
70,328,334,0.25,82.125,-6.375,0.209574925868,120.0,50000,1,3,1
71,328,348,0.25,82.125,-2.875,0.210003575408,120.0,50000,1,3,1
72,328,362,0.25,82.125,0.625,0.210105751621,120.0,50000,1,3,1
73,329,326,0.25,82.375,-8.375,0.209183877687,120.0,50000,1,3,1
74,329,359,0.25,82.375,-0.125,0.210109958514,120.0,50000,1,3,1
75,329,364,0.25,82.375,1.125,0.210094814478,120.0,50000,1,3,1
76,330,350,0.25,82.625,-2.375,0.21003804361,120.0,50000,1,3,1
77,330,354,0.25,82.625,-1.375,0.210086822662,120.0,50000,1,3,1
78,330,355,0.25,82.625,-1.125,0.210094814478,120.0,50000,1,3,1
79,330,357,0.25,82.625,-0.625,0.210105751621,120.0,50000,1,3,1
80,330,359,0.25,82.625,-0.125,0.210109958514,120.0,50000,1,3,1
81,330,360,0.25,82.625,0.125,0.210109958514,120.0,50000,1,3,1
82,330,361,0.25,82.625,0.375,0.210108696429,120.0,50000,1,3,1
