pair_index,canonical_pair,query_ra_deg,query_dec_deg,query_radius_deg,pm_min_masyr,historical_reference_window_arcmin,candidate_association_arcsec,j2016_hpm_transport_margin_arcsec,registration_epoch_utc
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,330.12394208817847,21.586378125571986,12.686531930625282,1700.0,30.0,15.0,915.0,1952-09-16T20:45:30+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,294.68377352178203,30.15729576069057,7.9193799977256365,1700.0,30.0,15.0,915.0,1952-08-14T21:11:08.500000+00:00
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,83.65351014951001,-2.78716047461613,8.764108669298158,1700.0,30.0,15.0,915.0,1952-02-14T19:13:20.900000+00:00
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,86.61123993374159,8.512443103851703,5.129830794824572,1700.0,30.0,15.0,915.0,1951-01-30T21:17:51.500000+00:00
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,86.61123993374159,8.512443103851703,5.129830794824572,1700.0,30.0,15.0,915.0,1951-01-30T21:11:53+00:00
6,APPLAUSE:12565 | APPLAUSE:139011,301.1562426729231,37.65996136928224,2.1694327336101744,1700.0,30.0,15.0,915.0,1951-09-19T19:42:46+00:00
7,APPLAUSE:12568 | APPLAUSE:139012,301.18756466633965,37.59917565876095,2.2029270069360427,1700.0,30.0,15.0,915.0,1951-09-19T20:02:43+00:00
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,302.0489406391259,34.39620686335889,2.4957039540153527,1700.0,30.0,15.0,915.0,1951-09-06T20:08:52+00:00
9,APPLAUSE:12563 | APPLAUSE:139010,301.10726916739173,37.59204158395165,2.179155920931655,1700.0,30.0,15.0,915.0,1951-09-19T19:22:44+00:00
10,APPLAUSE:12566 | APPLAUSE:139011,301.1562426729231,37.65996136928224,2.1694327336101744,1700.0,30.0,15.0,915.0,1951-09-19T19:47:40+00:00
11,APPLAUSE:12569 | APPLAUSE:139012,301.18756466633965,37.59917565876095,2.2029270069360427,1700.0,30.0,15.0,915.0,1951-09-19T20:07:37+00:00
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,285.6423653437364,13.048743397582369,6.214779645145256,1700.0,30.0,15.0,915.0,1952-09-16T19:37:49.100000+00:00
13,APPLAUSE:13878 | APPLAUSE:139432,294.1285080187687,31.2094662625364,4.59564136728643,1700.0,30.0,15.0,915.0,1953-08-11T23:11:19.500000+00:00
14,APPLAUSE:13879 | APPLAUSE:139433,294.20193443325513,31.269819644428537,4.776164338838211,1700.0,30.0,15.0,915.0,1953-08-12T00:00:15.500000+00:00
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,100.68092173042618,-0.2588137590427323,6.5941781049476615,1700.0,30.0,15.0,915.0,1953-02-15T20:03:56.500000+00:00
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,85.1041936374527,8.838108329119446,4.45276869815932,1700.0,30.0,15.0,915.0,1951-01-30T21:17:51.500000+00:00
17,APPLAUSE:132654 | APPLAUSE:14120,85.14540182690664,9.52583696892123,4.743099363411628,1700.0,30.0,15.0,915.0,1953-12-02T20:48:58.500000+00:00
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,85.1041936374527,8.838108329119446,4.45276869815932,1700.0,30.0,15.0,915.0,1951-01-30T21:11:53+00:00
19,APPLAUSE:12404 | APPLAUSE:131662,301.5544634933193,36.33190792592038,3.2179532846247643,1700.0,30.0,15.0,915.0,1951-09-01T20:33:31+00:00
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,302.0489406391259,34.39620686335889,2.4957039540153527,1700.0,30.0,15.0,915.0,1951-09-06T20:13:51+00:00
21,APPLAUSE:12562 | APPLAUSE:139010,301.10726916739173,37.59204158395165,2.179155920931655,1700.0,30.0,15.0,915.0,1951-09-19T19:17:45+00:00
22,APPLAUSE:12570 | APPLAUSE:139012,301.2023140391435,37.58327359177745,2.2082567618021445,1700.0,30.0,15.0,915.0,1951-09-19T20:12:36+00:00
23,APPLAUSE:12564 | APPLAUSE:139011,301.1562426729231,37.65996136928224,2.1694327336101744,1700.0,30.0,15.0,915.0,1951-09-19T19:38:08.500000+00:00
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,156.9323214598647,10.930692407473222,8.923305179563657,1700.0,30.0,15.0,915.0,1952-04-17T20:31:45.100000+00:00
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,332.08171587268333,32.401248251051165,0.7959746549720351,1700.0,30.0,15.0,915.0,1951-09-24T20:20:30+00:00
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,317.4763102574314,15.835947737436715,7.784812308577152,1700.0,30.0,15.0,915.0,1952-09-16T20:40:44.050000+00:00
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,103.4240147862769,-0.41189522695462255,8.123877503637875,1700.0,30.0,15.0,915.0,1951-02-28T21:07:33+00:00
28,APPLAUSE:13877 | APPLAUSE:139431,299.2932258152307,30.218585970129883,4.4909982893238185,1700.0,30.0,15.0,915.0,1953-08-11T22:23:23+00:00
29,APPLAUSE:13876 | APPLAUSE:139430,299.220925510902,30.181894233775832,4.5001152536680085,1700.0,30.0,15.0,915.0,1953-08-11T21:36:57+00:00
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,300.40382813556727,30.628842762476737,4.246331785410201,1700.0,30.0,15.0,915.0,1953-11-29T23:32:00.700000+00:00
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,86.39250970079694,9.695257549509442,4.3789042418662385,1700.0,30.0,15.0,915.0,1951-01-30T21:34:04+00:00
32,APPLAUSE:12405 | APPLAUSE:131662,301.5544634933193,36.33190792592038,3.2179532846247643,1700.0,30.0,15.0,915.0,1951-09-01T20:38:30+00:00
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,302.0489406391259,34.39620686335889,2.4957039540153527,1700.0,30.0,15.0,915.0,1951-09-06T20:18:50.500000+00:00
