pair_index,canonical_pair,raw_targets,reference_domain_detector_candidates,required_candidate_cells,cells_already_present_v064,new_full_cells_required,registration_epoch_utc,delta_from_gaia2016_years
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,8,764,137,8,129,1952-09-16T20:45:30+00:00,63.28989536010343
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,614,498346,2063,1261,802,1952-08-14T21:11:08.500000+00:00,63.380195683955684
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,196,43997,1762,180,1582,1952-02-14T19:13:20.900000+00:00,63.87870848594316
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,239,133063,601,499,102,1951-01-30T21:17:51.500000+00:00,64.91885505602454
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,239,133063,601,499,102,1951-01-30T21:11:53+00:00,64.91886641620403
6,APPLAUSE:12565 | APPLAUSE:139011,362,19416,125,93,32,1951-09-19T19:42:46+00:00,64.28385446979492
7,APPLAUSE:12568 | APPLAUSE:139012,522,21570,121,93,28,1951-09-19T20:02:43+00:00,64.2838165391538
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,57,17356,141,77,64,1951-09-06T20:08:52+00:00,64.31939690648211
9,APPLAUSE:12563 | APPLAUSE:139010,610,30290,158,107,51,1951-09-19T19:22:44+00:00,64.28389255887646
10,APPLAUSE:12566 | APPLAUSE:139011,362,19416,125,93,32,1951-09-19T19:47:40+00:00,64.2838451534971
11,APPLAUSE:12569 | APPLAUSE:139012,522,21570,121,93,28,1951-09-19T20:07:37+00:00,64.28380722285598
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,5646,177315,1199,938,261,1952-09-16T19:37:49.100000+00:00,63.29002404225923
13,APPLAUSE:13878 | APPLAUSE:139432,177728,613951,719,669,50,1953-08-11T23:11:19.500000+00:00,62.38886519621264
14,APPLAUSE:13879 | APPLAUSE:139433,102791,537803,742,677,65,1953-08-12T00:00:15.500000+00:00,62.388772159986814
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,1885,254239,1308,929,379,1953-02-15T20:03:56.500000+00:00,62.87382105470631
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,888,104762,457,356,101,1951-01-30T21:17:51.500000+00:00,64.91885505602454
17,APPLAUSE:132654 | APPLAUSE:14120,1618,42928,493,379,114,1953-12-02T20:48:58.500000+00:00,62.079758705224734
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,888,104762,457,356,101,1951-01-30T21:11:53+00:00,64.91886641620403
19,APPLAUSE:12404 | APPLAUSE:131662,747,44934,428,257,171,1951-09-01T20:33:31+00:00,64.3330392937359
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,57,17356,141,77,64,1951-09-06T20:13:51+00:00,64.31938743174386
21,APPLAUSE:12562 | APPLAUSE:139010,610,30290,158,107,51,1951-09-19T19:17:45+00:00,64.28390203361472
22,APPLAUSE:12570 | APPLAUSE:139012,732,26468,121,93,28,1951-09-19T20:12:36+00:00,64.28379774811772
23,APPLAUSE:12564 | APPLAUSE:139011,362,19416,125,93,32,1951-09-19T19:38:08.500000+00:00,64.28386326323928
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,434,43714,1947,358,1589,1952-04-17T20:31:45.100000+00:00,63.70607481925115
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,1,316,21,1,20,1951-09-24T20:20:30+00:00,64.27009347402844
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,441,224192,1811,372,1439,1952-09-16T20:40:44.050000+00:00,63.289904421312144
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,1988,496995,1858,1301,557,1951-02-28T21:07:33+00:00,64.83947698228002
28,APPLAUSE:13877 | APPLAUSE:139431,60331,310110,624,571,53,1953-08-11T22:23:23+00:00,62.38895634699723
29,APPLAUSE:13876 | APPLAUSE:139430,67751,340162,633,567,66,1953-08-11T21:36:57+00:00,62.389044630009884
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,76566,359320,595,504,91,1953-11-29T23:32:00.700000+00:00,62.087662278373514
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,6789,190479,589,474,115,1951-01-30T21:34:04+00:00,64.91882423935914
32,APPLAUSE:12405 | APPLAUSE:131662,747,44934,428,257,171,1951-09-01T20:38:30+00:00,64.33302981899764
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,57,17356,141,77,64,1951-09-06T20:18:50.500000+00:00,64.31937794116156
