pair_index,canonical_pair,endpoint_a,endpoint_b,raw_le10_matches,raw_le3_matches,ordinary_query_cells,hpm_queries,physical_overlap_start_utc,physical_overlap_end_utc,registration_epoch_utc,timing_provenance
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,8,2,8,1,1952-09-16T20:17:00+00:00,1952-09-16T21:14:00+00:00,1952-09-16T20:45:30+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,614,54,416,1,1952-08-14T20:51:12+00:00,1952-08-14T21:31:05+00:00,1952-08-14T21:11:08.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,196,19,180,1,1952-02-14T19:03:20.900000+00:00,1952-02-14T19:23:20.900000+00:00,1952-02-14T19:13:20.900000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,239,25,144,1,1951-01-30T21:13:52+00:00,1951-01-30T21:21:51+00:00,1951-01-30T21:17:51.500000+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,239,25,144,1,1951-01-30T21:10:53+00:00,1951-01-30T21:12:53+00:00,1951-01-30T21:11:53+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,362,31,68,1,1951-09-19T19:42:26+00:00,1951-09-19T19:43:06+00:00,1951-09-19T19:42:46+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
7,APPLAUSE:12568 | APPLAUSE:139012,APPLAUSE:12568,APPLAUSE:139012,522,44,68,1,1951-09-19T20:02:23+00:00,1951-09-19T20:03:03+00:00,1951-09-19T20:02:43+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,57,8,34,1,1951-09-06T20:08:37+00:00,1951-09-06T20:09:07+00:00,1951-09-06T20:08:52+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,610,66,73,1,1951-09-19T19:22:29+00:00,1951-09-19T19:22:59+00:00,1951-09-19T19:22:44+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,362,31,68,1,1951-09-19T19:47:25+00:00,1951-09-19T19:47:55+00:00,1951-09-19T19:47:40+00:00,results/wide_census_timing_survivors_for_footprint_v049a.csv
