exact_footprint_priority,canonical_pair,time_gate,physical_overlap_s,pair_family,classification,exposure_a,archive_a,geometry_a_status,geometry_a_candidate_count,geometry_a_best_center_sep_deg,geometry_a_repair_branch,geometry_a_repairability,geometry_a_repair_action,exposure_b,archive_b,geometry_b_status,geometry_b_candidate_count,geometry_b_best_center_sep_deg,geometry_b_repair_branch,geometry_b_repairability,geometry_b_repair_action
1,APPLAUSE:115011 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,LE5_MIN,120.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115011,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
3,APPLAUSE:12414 | APPLAUSE:139005,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:12414,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:139005,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
4,APPLAUSE:13387 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,LE5_MIN,30.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:13387,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,UNRESOLVED_DASCH_NO_ASTROMETRY_HEADER,,,DASCH_IMAGING_AVAILABILITY_HOLD,MAYBE,"Check official DR7 exposure-list/value-added metadata for an imaging solution. If no WCS solution exists for the logged exposure, retain as no-imaging geometry hold, not a negative."
6,APPLAUSE:115048 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,LE5_MIN,359.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115048,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
7,APPLAUSE:12422 | APPLAUSE:139006,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:12422,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:139006,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
10,APPLAUSE:115054 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,LE5_MIN,359.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115054,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
12,APPLAUSE:132097 | DASCH:ivo://org.gavo.dc/~?dasch/q/b76371,LE5_MIN,2700.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/b76371,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:132097,"Astrograph, Bamberg Northern Sky Patrol",UNRESOLVED_APPLAUSE_SOLUTION_EXPOSURE_ASSOCIATION,,10.19833369755034,APPLAUSE_SOLUTION_SCAN_ASSOCIATION_REPAIR,LIKELY_METADATA_ONLY,Use exact solution_id/scan/process metadata and documented exposure identity/center. Do not choose a solution based on detector output; preserve multiple viable solutions and adjudicate overlap across all.
13,APPLAUSE:12404 | APPLAUSE:139004,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:12404,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:139004,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
14,APPLAUSE:12405 | APPLAUSE:139004,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:139004,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",APPLAUSE:12405,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
20,APPLAUSE:12423 | APPLAUSE:139006,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:139006,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",APPLAUSE:12423,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
22,APPLAUSE:13388 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,LE5_MIN,30.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,UNRESOLVED_DASCH_NO_ASTROMETRY_HEADER,,,DASCH_IMAGING_AVAILABILITY_HOLD,MAYBE,"Check official DR7 exposure-list/value-added metadata for an imaging solution. If no WCS solution exists for the logged exposure, retain as no-imaging geometry hold, not a negative.",APPLAUSE:13388,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
24,APPLAUSE:12415 | APPLAUSE:139005,LE5_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:139005,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",APPLAUSE:12415,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
27,APPLAUSE:115047 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,LE5_MIN,120.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:115047,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
28,APPLAUSE:12413 | APPLAUSE:139005,GT5_LE10_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:12413,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:139005,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
29,APPLAUSE:13386 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,GT5_LE10_MIN,30.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:13386,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,UNRESOLVED_DASCH_NO_ASTROMETRY_HEADER,,,DASCH_IMAGING_AVAILABILITY_HOLD,MAYBE,"Check official DR7 exposure-list/value-added metadata for an imaging solution. If no WCS solution exists for the logged exposure, retain as no-imaging geometry hold, not a negative."
31,APPLAUSE:115012 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,GT5_LE10_MIN,359.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115012,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
33,APPLAUSE:12421 | APPLAUSE:139006,GT5_LE10_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:12421,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:139006,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
35,APPLAUSE:115010 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,GT5_LE10_MIN,359.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:115010,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
39,APPLAUSE:11782 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,GT5_LE10_MIN,598.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:11782,Lippert-Astrograph (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",DASCH:ivo://org.gavo.dc/~?dasch/q/bi05351,Harvard DASCH,UNRESOLVED_DASCH_NO_ASTROMETRY_HEADER,,,DASCH_IMAGING_AVAILABILITY_HOLD,MAYBE,"Check official DR7 exposure-list/value-added metadata for an imaging solution. If no WCS solution exists for the logged exposure, retain as no-imaging geometry hold, not a negative."
40,APPLAUSE:12406 | APPLAUSE:139004,GT5_LE10_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:139004,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",APPLAUSE:12406,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
44,APPLAUSE:115017 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13401,GT5_LE10_MIN,120.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:115017,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",DASCH:ivo://org.gavo.dc/~?dasch/q/fa13401,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
47,APPLAUSE:115049 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,GT5_LE10_MIN,119.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115049,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
48,APPLAUSE:12424 | APPLAUSE:139006,GT5_LE10_MIN,30.0,APPLAUSE <-> APPLAUSE,EXACT_FOOTPRINT_UNRESOLVED,APPLAUSE:139006,Zeiss Double Astrograph,UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions.",APPLAUSE:12424,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
49,APPLAUSE:13389 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,GT5_LE10_MIN,20.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,UNRESOLVED_DASCH_NO_ASTROMETRY_HEADER,,,DASCH_IMAGING_AVAILABILITY_HOLD,MAYBE,"Check official DR7 exposure-list/value-added metadata for an imaging solution. If no WCS solution exists for the logged exposure, retain as no-imaging geometry hold, not a negative.",APPLAUSE:13389,Lippert-Astrograph (Hamburg),RESOLVED,1,,NONE,N/A,Side geometry is already resolved.
52,APPLAUSE:115055 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,GT5_LE10_MIN,120.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13406,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:115055,Schmidtsches Spiegelteleskop (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
53,APPLAUSE:14206 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,GT5_LE10_MIN,1795.0,APPLAUSE <-> DASCH,EXACT_FOOTPRINT_UNRESOLVED,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13400,Harvard DASCH,RESOLVED,1,,NONE,N/A,Side geometry is already resolved.,APPLAUSE:14206,Lippert-Astrograph (Hamburg),UNRESOLVED_APPLAUSE_NO_EXACT_POLYGON,,,APPLAUSE_SOLUTION_SCAN_INVENTORY_REPAIR,LIKELY_METADATA_ONLY,"Inventory exact applause_dr4.solution rows for all scans/processes of the physical plate, with solution_id/header_wcs/stc_polygon provenance; retain all viable solutions."
