pair_index,canonical_pair,time_gate,physical_overlap_s,endpoint_a,endpoint_b,endpoint_a_candidates_total,endpoint_b_candidates_total,endpoint_a_candidates_in_common_polygon,endpoint_b_candidates_in_common_polygon,endpoint_a_uninformative_tiles_in_pair_bbox,endpoint_b_uninformative_tiles_in_pair_bbox,detector_coverage_state,raw_le_10arcsec_matches,raw_le_3arcsec_matches,candidate_science_state
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,LE5_MIN,3420.0,APPLAUSE:132099,DASCH:bi05640:exp0,28158,12546,10625,9034,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,8,2,RAW_COINCIDENCE_INVENTORY_ONLY
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,LE5_MIN,2393.0,APPLAUSE:13623,DASCH:bi05607:exp0,548770,9625,548770,4652,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,614,54,RAW_COINCIDENCE_INVENTORY_ONLY
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,LE5_MIN,1200.0,APPLAUSE:131892,DASCH:ax04674:exp0,35505,33198,35505,27500,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,196,19,RAW_COINCIDENCE_INVENTORY_ONLY
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,LE5_MIN,479.0,DASCH:bi05352:exp0,APPLAUSE:11788,3625,162753,2298,141523,0,1,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,239,25,RAW_COINCIDENCE_INVENTORY_WITH_UNINFORMATIVE_COVERAGE_HOLD
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,LE5_MIN,120.0,DASCH:bi05352:exp0,APPLAUSE:11787,3625,162753,2298,141523,0,1,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,239,25,RAW_COINCIDENCE_INVENTORY_WITH_UNINFORMATIVE_COVERAGE_HOLD
6,APPLAUSE:12565 | APPLAUSE:139011,LE5_MIN,40.0,APPLAUSE:12565,APPLAUSE:139011,14404,5013,13468,4283,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,362,31,RAW_COINCIDENCE_INVENTORY_ONLY
7,APPLAUSE:12568 | APPLAUSE:139012,LE5_MIN,40.0,APPLAUSE:12568,APPLAUSE:139012,14404,7166,13767,6243,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,522,44,RAW_COINCIDENCE_INVENTORY_ONLY
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,LE5_MIN,30.0,DASCH:bi05459:exp0,APPLAUSE:12469,2144,22193,1104,15904,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,57,8,RAW_COINCIDENCE_INVENTORY_ONLY
9,APPLAUSE:12563 | APPLAUSE:139010,LE5_MIN,30.0,APPLAUSE:12563,APPLAUSE:139010,22421,7924,18735,5878,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,610,66,RAW_COINCIDENCE_INVENTORY_ONLY
10,APPLAUSE:12566 | APPLAUSE:139011,LE5_MIN,30.0,APPLAUSE:139011,APPLAUSE:12566,5013,14404,4283,13468,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,362,31,RAW_COINCIDENCE_INVENTORY_ONLY
11,APPLAUSE:12569 | APPLAUSE:139012,LE5_MIN,30.0,APPLAUSE:139012,APPLAUSE:12569,7166,14404,6243,13767,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,522,44,RAW_COINCIDENCE_INVENTORY_ONLY
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,GT5_LE10_MIN,2978.2,DASCH:mf40300:exp0,APPLAUSE:132096,151246,28655,145318,24432,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,5646,655,RAW_COINCIDENCE_INVENTORY_ONLY
13,APPLAUSE:13878 | APPLAUSE:139432,GT5_LE10_MIN,2121.0,APPLAUSE:139432,APPLAUSE:13878,395426,218525,394746,197579,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,177728,64680,RAW_COINCIDENCE_INVENTORY_ONLY
14,APPLAUSE:13879 | APPLAUSE:139433,GT5_LE10_MIN,2009.0,APPLAUSE:139433,APPLAUSE:13879,338915,198888,338912,176011,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,102791,35488,RAW_COINCIDENCE_INVENTORY_ONLY
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,GT5_LE10_MIN,1795.0,APPLAUSE:13683,DASCH:am28458:exp0,231536,31202,231536,18725,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,1885,165,RAW_COINCIDENCE_INVENTORY_ONLY
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,GT5_LE10_MIN,479.0,DASCH:rb16848:exp0,APPLAUSE:11788,13952,162753,8415,83834,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,888,77,RAW_COINCIDENCE_INVENTORY_ONLY
17,APPLAUSE:132654 | APPLAUSE:14120,GT5_LE10_MIN,299.0,APPLAUSE:14120,APPLAUSE:132654,36624,7372,35769,5109,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,1618,211,RAW_COINCIDENCE_INVENTORY_ONLY
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,GT5_LE10_MIN,120.0,DASCH:rb16848:exp0,APPLAUSE:11787,13952,162753,8415,83834,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,888,77,RAW_COINCIDENCE_INVENTORY_ONLY
19,APPLAUSE:12404 | APPLAUSE:131662,GT5_LE10_MIN,30.0,APPLAUSE:131662,APPLAUSE:12404,10970,37040,5844,33854,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,747,117,RAW_COINCIDENCE_INVENTORY_ONLY
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,GT5_LE10_MIN,30.0,DASCH:bi05459:exp0,APPLAUSE:12470,2144,22193,1104,15904,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,57,8,RAW_COINCIDENCE_INVENTORY_ONLY
21,APPLAUSE:12562 | APPLAUSE:139010,GT5_LE10_MIN,30.0,APPLAUSE:12562,APPLAUSE:139010,22421,7924,18735,5878,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,610,66,RAW_COINCIDENCE_INVENTORY_ONLY
22,APPLAUSE:12570 | APPLAUSE:139012,GT5_LE10_MIN,30.0,APPLAUSE:139012,APPLAUSE:12570,7166,19302,6162,18319,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,732,75,RAW_COINCIDENCE_INVENTORY_ONLY
23,APPLAUSE:12564 | APPLAUSE:139011,GT5_LE10_MIN,17.0,APPLAUSE:12564,APPLAUSE:139011,14404,5013,13468,4283,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,362,31,RAW_COINCIDENCE_INVENTORY_ONLY
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,GT10_LE15_MIN,5400.0,DASCH:am28316:exp0,APPLAUSE:131918,18919,39138,12868,39138,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,434,36,RAW_COINCIDENCE_INVENTORY_ONLY
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,GT10_LE15_MIN,3300.0,DASCH:bi05468:exp0,APPLAUSE:131772,1143,11878,214,5689,0,0,COMPLETE_VALID_DETECTOR_COVERAGE,1,0,RAW_COINCIDENCE_INVENTORY_ONLY
