shift_radius_arcsec,direction,position_angle_deg_east_of_north,control_le_3arcsec_matches_sum,control_le_10arcsec_matches_sum,observed_le_3arcsec_matches,observed_le_10arcsec_matches,pair_count
60.0,N,0.0,17334,191253,185532,512788,33
60.0,NE,45.0,16917,190265,185532,512788,33
60.0,E,90.0,17556,191227,185532,512788,33
60.0,SE,135.0,17081,189659,185532,512788,33
60.0,S,180.0,17050,190395,185532,512788,33
60.0,SW,225.0,17128,192154,185532,512788,33
60.0,W,270.0,17238,192771,185532,512788,33
60.0,NW,315.0,17158,190640,185532,512788,33
120.0,N,0.0,17254,190141,185532,512788,33
120.0,NE,45.0,16878,189350,185532,512788,33
120.0,E,90.0,16778,187989,185532,512788,33
120.0,SE,135.0,17064,189744,185532,512788,33
120.0,S,180.0,17280,190311,185532,512788,33
120.0,SW,225.0,17113,190663,185532,512788,33
120.0,W,270.0,17712,192705,185532,512788,33
120.0,NW,315.0,17107,189148,185532,512788,33
