pair_index,canonical_pair,endpoint_a,endpoint_b,detector_coverage_state,observed_le_3arcsec_matches,control3_mean,control3_median,control3_min,control3_max,control3_stdev,observed_to_control3_mean_ratio,observed_le_10arcsec_matches,control10_mean,control10_median,control10_min,control10_max,control10_stdev,observed_to_control10_mean_ratio,individual_candidate_disposition
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,2,1.375,1.0,0.0,4.0,1.1474609652039003,1.4545454545454546,8,11.9375,11.0,6.0,18.0,3.8378596465564847,0.6701570680628273,NONE_POPULATION_CONTEXT_ONLY
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,54,53.5,52.0,45.0,64.0,6.733003292241385,1.0093457943925233,614,603.0,604.5,544.0,646.0,24.765567494675615,1.0182421227197347,NONE_POPULATION_CONTEXT_ONLY
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,19,18.25,16.5,13.0,30.0,5.208966628164681,1.0410958904109588,196,188.25,183.5,162.0,232.0,19.881314510531407,1.0411686586985391,NONE_POPULATION_CONTEXT_ONLY
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,25,21.0625,21.5,11.0,30.0,5.118186527798038,1.1869436201780414,239,229.9375,229.5,198.0,263.0,22.552069380288216,1.039412883935852,NONE_POPULATION_CONTEXT_ONLY
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,25,21.0625,21.5,11.0,30.0,5.118186527798038,1.1869436201780414,239,229.9375,229.5,198.0,263.0,22.552069380288216,1.039412883935852,NONE_POPULATION_CONTEXT_ONLY
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,31,30.8125,31.5,22.0,38.0,4.40028408173836,1.0060851926977687,362,375.5625,380.0,322.0,424.0,29.763442341234658,0.963887502080213,NONE_POPULATION_CONTEXT_ONLY
7,APPLAUSE:12568 | APPLAUSE:139012,APPLAUSE:12568,APPLAUSE:139012,COMPLETE_VALID_DETECTOR_COVERAGE,44,49.375,50.5,40.0,59.0,6.88839603971781,0.8911392405063291,522,561.25,563.0,487.0,641.0,43.24272578519228,0.9300668151447662,NONE_POPULATION_CONTEXT_ONLY
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,COMPLETE_VALID_DETECTOR_COVERAGE,8,6.1875,6.0,2.0,11.0,2.4281337140555777,1.292929292929293,57,70.375,72.5,40.0,86.0,10.461835403025608,0.8099467140319716,NONE_POPULATION_CONTEXT_ONLY
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,COMPLETE_VALID_DETECTOR_COVERAGE,66,53.0,54.0,41.0,65.0,7.0898989179442236,1.2452830188679245,610,598.625,605.0,505.0,701.0,51.965212722871954,1.0190018793067446,NONE_POPULATION_CONTEXT_ONLY
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,COMPLETE_VALID_DETECTOR_COVERAGE,31,30.625,31.0,22.0,38.0,4.588027898781785,1.0122448979591836,362,375.0625,379.0,322.0,423.0,29.867415355199384,0.9651724712547909,NONE_POPULATION_CONTEXT_ONLY
