pair_index,canonical_pair,endpoint_a,endpoint_b,detector_coverage_state,endpoint_a_candidates_in_common_polygon,endpoint_b_candidates_in_common_polygon,shifted_endpoint,shift_radius_arcsec,direction,position_angle_deg_east_of_north,control_le_3arcsec_matches,control_le_10arcsec_matches,observed_le_3arcsec_matches,observed_le_10arcsec_matches,fixed_pre_shift_candidate_denominator,population_context_only
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,N,0.0,4,16,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,NE,45.0,3,11,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,E,90.0,2,12,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,SE,135.0,0,6,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,S,180.0,0,11,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,SW,225.0,1,9,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,W,270.0,1,18,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,60.0,NW,315.0,1,6,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,N,0.0,1,9,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,NE,45.0,0,11,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,E,90.0,2,10,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,SE,135.0,1,11,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,S,180.0,2,17,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,SW,225.0,0,18,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,W,270.0,2,11,2,8,True,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,10625,9034,endpoint_b,120.0,NW,315.0,2,15,2,8,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,N,0.0,51,646,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,NE,45.0,58,610,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,E,90.0,59,593,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,SE,135.0,52,604,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,S,180.0,50,587,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,SW,225.0,45,605,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,W,270.0,55,594,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,60.0,NW,315.0,62,609,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,N,0.0,52,607,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,NE,45.0,64,577,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,E,90.0,45,544,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,SE,135.0,47,617,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,S,180.0,48,624,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,SW,225.0,60,598,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,W,270.0,45,588,54,614,True,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,548770,4652,endpoint_b,120.0,NW,315.0,63,645,54,614,True,True
