adjudication_order,pair_key,endpoint_a,endpoint_b,pair_family,physical_overlap_s,summary_raw_le10,summary_raw_le3,summary_uninformative_coverage,manual_review_state
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,,3420.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,,2393.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,,1200.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,,479.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,,120.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,,40.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
7,APPLAUSE:12568 | APPLAUSE:139012,APPLAUSE:12568,APPLAUSE:139012,,40.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,,2978.2,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,,2121.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,,2009.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,,1795.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,,479.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,,299.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,,120.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,,30.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,,17.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,,5400.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,,3300.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,,2848.1,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,,2394.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,,1874.0,,,,NOT_REACHED_AUTOMATED_ADJUDICATION_PENDING
