adjudication_order,pair_key,endpoint_a,endpoint_b,window_arcmin,minimum_same_gaia_common_refs,model,clipping,higher_order,sparse_fallback_only_if_primary_lt5_at_30arcmin
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
1,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,APPLAUSE:132099,DASCH:bi05640:exp0,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,APPLAUSE:13623,DASCH:bi05607:exp0,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
3,APPLAUSE:131892 | DASCH:ivo://org.gavo.dc/~?dasch/q/ax04674,APPLAUSE:131892,DASCH:ax04674:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
