recno,POSS,MLP,RAradmin,RAradmax,GLON,GLAT,SAO,Obs,fObs,ObsE,ObsO,EHA,EHAew,OHA,OHAew,Eexp,Oexp,Erate,Orate,RA1950,DE1950,_RA.icrs,_DE.icrs,source_archive,source_url
 , , ,rad,rad,deg,deg, ,Y:M:D,Y:M:D,h:m:s,h:m:s,h:m:s, ,h:m:s, ,min,min, , ,h:m:s,d:m:s, ,d:m:s,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
--------,----,----,-----------,-----------,------,------,---,----------,----------,-----,-----,-----,-,-----,-,--,--,---,---,--------,---------,----------,---------,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       1, 570,   1,           ,           ,123.00, 27.40,523,1952-08-22,   0-08-23,21:32,21:12,00:08,W,00:13,E,50,10, 3 ,2-3,19 43 00,+90 00 00,12 01 15.9,+89 43 18,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       2, 567,   2,           ,           ,123.00, 27.40,539,1952-08-21,   0-08-22,00:32,01:30,00:16,W,01:14,E,50,10, 2 ,2-3,22 31 00,+90 00 00,12 01 15.9,+89 43 18,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       3, 568,   3,-0.93284023, 0.98869079,121.91, 22.02,591,1952-08-21,   0-08-22,01:57,03:02,00:05,W,01:10,W,50,10, 2 , 2 ,00 06 24,+84 31 40,00 09 22.4,+84 48 21,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       4,1277,   4,-0.18526113, 1.67329884,126.08, 22.51,545,1954-11-22,   0-11-23,23:22,23:01,00:51,W,00:29,W,45,12,2-3, 3 ,02 50 31,+84 22 24,03 01 03.9,+84 34 25,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       5,1328,   5, 0.54402769, 2.28631306,129.11, 25.13,532,1955-01-28,   0-01-29,22:09,23:00,01:28,W,02:19,W,45,12, 2 , 2 ,05 24 20,+84 04 04,05 37 33.4,+84 06 11,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       6, 692,   6, 1.24665165, 2.87552261,129.89, 28.94,546,1953-03-08,   0-03-09,21:15,20:57,00:41,W,00:22,W,45,10, 3 , 3 ,07 52 22,+83 44 22,08 03 39.9,+83 36 08,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       7, 727,   7, 1.89212418, 3.45018101,127.85, 32.34,574,1953-04-15,   0-04-16,21:20,21:03,00:55,W,00:38,W,45,10,1-2, 2 ,10 12 11,+83 30 58,10 18 58.4,+83 15 58,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       8,1340,   8, 2.51448154, 4.05944443,123.54, 33.91,530,1955-02-28,   0-03-01,03:32,04:28,01:45,W,02:41,W,50,12,2-3, 2 ,12 33 19,+83 28 23,12 34 28.5,+83 11 52,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
       9,1363,   9, 3.09760475, 4.68728924,119.12, 32.83,546,1955-03-23,   0-03-24,03:12,02:54,00:37,W,00:19,W,50,12, 2 , 2 ,14 52 05,+83 37 04,14 48 01.6,+83 24 45,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      10, 775,  10, 3.67689037, 5.36304092,116.56, 29.66,577,1953-08-10,   0-08-11,20:14,21:06,00:28,W,01:20,W,45,12, 2 ,1-2,17 15 54,+83 54 34,17 08 18.2,+83 51 06,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      11, 802,  11, 4.26639652, 6.07088280,116.78, 25.88,610,1953-09-02,   0-09-03,20:50,21:42,00:08,W,01:00,W,45,12, 2 , 2 ,19 44 34,+84 14 05,19 37 02.9,+84 21 12,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      12,1216,  12, 4.91797352, 6.82110023,119.49, 22.89,731,1954-09-22,   0-09-23,21:43,22:39,00:22,E,00:35,W,50,13, 2 ,1-3,22 25 12,+84 29 00,22 22 58.1,+84 44 16,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      13,1213,  13,-0.35174334, 0.39479476,120.73, 16.12,434,1954-09-21,   0-09-22,23:29,23:10,00:20,E,00:39,E,50,13, 2 , 2 ,00 04 56,+78 31 45,00 07 38.9,+78 48 27,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      14,1214,  14, 0.06953126, 0.81229538,125.68, 16.15,310,1954-09-21,   0-09-22,00:46,00:26,00:41,E,00:59,E,50,13, 4 , 2 ,01 41 03,+78 28 58,01 46 01.5,+78 43 59,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      15,1226,  15, 0.49080724, 1.22397804,130.31, 17.91,367,1954-09-26,   0-09-27,02:32,03:28,00:09,E,00:47,W,50,13, 2 , 2 ,03 16 30,+78 21 46,03 23 14.1,+78 32 30,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      16,1322,  16, 0.91014183, 1.62698269,134.04, 21.13,446,1955-01-14,   0-01-15,21:35,22:28,00:32,W,01:24,W,45,12, 2 , 2 ,04 50 44,+78 09 05,04 58 24.3,+78 13 47,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      17,1256,  17, 1.32007313, 2.02208328,136.27, 25.41,471,1954-10-06,   0-10-07,03:34,03:14,01:35,E,01:55,E,45,13,1-2, 2 ,06 22 59,+77 57 04,06 30 43.1,+77 55 07,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      18,1295,  18, 1.72218990, 2.41074753,136.62, 30.14,464,1954-11-26,   0-11-27,01:51,02:42,01:27,E,00:36,E,45,12,2-3,2-3,07 53 36,+77 45 44,08 00 36.8,+77 37 34,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      19, 693,  19, 2.11878204, 2.79533482,134.79, 34.63,426,1953-03-08,   0-03-09,22:31,22:14,00:26,W,00:09,W,45,10, 3 , 3 ,09 23 07,+77 35 15,09 28 48.0,+77 22 11,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
      20,1326,  20, 2.50864983, 3.17908573,130.74, 38.09,302,1955-01-25,   0-01-26,02:49,03:40,00:30,W,01:21,W,45,12, 2 ,1-2,10 51 46,+77 29 46,10 55 44.7,+77 13 46,POSS-I VI/25,https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/25
