rank,legacy_id,unique_id,recno
1,POSS-I:413:E,POSS-I:413:E:rec297,297
2,POSS-I:368:E,POSS-I:368:E:rec192,192
3,POSS-I:606:E,POSS-I:606:E:rec348,348
4,POSS-I:320:E,POSS-I:320:E:rec463,463
5,POSS-I:1102:E,POSS-I:1102:E:rec140,140
6,POSS-I:236:E,POSS-I:236:E:rec425,425
7,POSS-I:320:E,POSS-I:320:E:rec463,463
8,POSS-I:320:E,POSS-I:320:E:rec463,463
9,POSS-I:293:E,POSS-I:293:E:rec754,754
10,POSS-I:340:E,POSS-I:340:E:rec231,231
11,POSS-I:407:E,POSS-I:407:E:rec246,246
12,POSS-I:306:E,POSS-I:306:E:rec703,703
13,POSS-I:318:E,POSS-I:318:E:rec524,524
14,POSS-I:1103:E,POSS-I:1103:E:rec397,397
15,POSS-I:779:E,POSS-I:779:E:rec404,404
16,POSS-I:782:E,POSS-I:782:E:rec514,514
17,POSS-I:876:E,POSS-I:876:E:rec239,239
18,POSS-I:976:E,POSS-I:976:E:rec492,492
19,POSS-I:832:E,POSS-I:832:E:rec760,760
20,POSS-I:875:E,POSS-I:875:E:rec521,521
21,POSS-I:985:E,POSS-I:985:E:rec726,726
22,POSS-I:1024:E,POSS-I:1024:E:rec742,742
23,POSS-I:1023:O,POSS-I:1023:O:rec675,675
24,POSS-I:872:O,POSS-I:872:O:rec148,148
25,POSS-I:1023:O,POSS-I:1023:O:rec799,799
26,POSS-I:297:O,POSS-I:297:O:rec635,635
27,POSS-I:872:O,POSS-I:872:O:rec148,148
28,POSS-I:989:O,POSS-I:989:O:rec258,258
29,POSS-I:1405:O,POSS-I:1405:O:rec616,616
30,POSS-I:988:O,POSS-I:988:O:rec207,207
31,POSS-I:236:O,POSS-I:236:O:rec425,425
32,POSS-I:236:O,POSS-I:236:O:rec425,425
33,POSS-I:372:O,POSS-I:372:O:rec455,455
34,POSS-I:313:O,POSS-I:313:O:rec523,523
35,POSS-I:449:O,POSS-I:449:O:rec198,198
36,POSS-I:415:O,POSS-I:415:O:rec479,479
37,POSS-I:415:O,POSS-I:415:O:rec479,479
38,POSS-I:558:O,POSS-I:558:O:rec517,517
39,POSS-I:305:O,POSS-I:305:O:rec637,637
40,POSS-I:1009:O,POSS-I:1009:O:rec785,785
41,POSS-I:305:E,POSS-I:305:E:rec637,637
42,POSS-I:500:E,POSS-I:500:E:rec679,679
43,POSS-I:236:O,POSS-I:236:O:rec425,425
44,POSS-I:445:E,POSS-I:445:E:rec481,481
45,POSS-I:314:E,POSS-I:314:E:rec646,646
46,POSS-I:297:O,POSS-I:297:O:rec635,635
47,POSS-I:533:O,POSS-I:533:O:rec187,187
